record_id,canonical_name,dataset_doi,source_version,source_title,expected_file_count,expected_bytes,source_data_origin,population_scope,population_evidence,file_review_level,structure_summary,data_granularity,plausible_model_use,evidence_basis,model_use_decision,headline_catalog_included,reason,related_catalog_record_ids_or_names,confidence,review_date
dryad_clcc1_retinitis_pigmentosa,CLCC1 Retinitis Pigmentosa Genomics Dataset,10.5061/dryad.3vv31qq,1,Data from: Mutation in the intracellular chloride channel CLCC1 associated with autosomal recessive retinitis pigmentosa,1,36607394,mixed_with_separable_human_component,mixed_with_separable_human_component,"Data from: Mutation in the intracellular chloride channel CLCC1 associated with autosomal recessive retinitis pigmentosa We identified a homozygous missense alteration (c.75C>A, p.D25E) in CLCC1, encoding a presumptive intracellular chloride channel highly expressed in the retina, associated with autosomal recessive retinitis pigmentosa (arRP) in eight consanguineous families of Pakistani descent.",complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: zip_archive=1,family-level human VCFs and genotype workbook,variant prioritization or genotype-phenotype analysis,Official Dryad title/abstract/methods and complete structural inspection; named deposited files include Raw data.zip.,included_human_or_human_derived_model_resource,True,"The deposit documents family-level human VCFs and genotype workbook, providing structured human-derived inputs and/or targets for variant prioritization or genotype-phenotype analysis.",,high,2026-08-02
dryad_cone_synapse_computation,Cone Photoreceptor Synapse Dataset,10.5061/dryad.0p2ngf25g,8,Mechanisms of simultaneous linear and nonlinear computations at the mammalian cone photoreceptor synapse,4,11191747623,nonhuman_or_nonhuman_derived,ground_squirrel,"Using super-resolution microscopy and tracking vesicle fusion and postsynaptic response at the quantal level in the thirteen-lined ground squirrel, Ictidomys tridecemlineatus , we show that certain bipolar cell types respond to individual fusion events in the stream while other types respond to degrees of locally coincident events, creating a gradient across tiers that are increasingly nonlinear.",complete_official_file_listing,official_current_version_file_listing_reviewed,"ground squirrel observations, tissues, images, signals, or sequences",Not applicable under the human-only screening boundary.,Official Dryad title/abstract/methods identify ground squirrel; current file listing reviewed (official_current_version_file_listing_reviewed).,excluded_nonhuman_or_nonhuman_derived,False,Mechanisms of simultaneous linear and nonlinear computations at the mammalian cone photoreceptor synapse is explicitly ground squirrel; no separable human participant or human-derived component is documented.,,high,2026-08-02
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,10.5061/dryad.0gb5mkm9b,13,Postural stability and optic flow sensitivity following sight restoration from congenital bilateral cataracts,11,31105,human_participant_or_patient_data,human_participant_or_patient_data,Postural stability and optic flow sensitivity following sight restoration from congenital bilateral cataracts Vision is crucial for maintaining balance and facilitating locomotion.,complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: text=11,participant/trial behavioral and demographic text tables,visual-rehabilitation performance modeling,"Official Dryad title/abstract/methods and complete structural inspection; named deposited files include demographics_cataract.txt, developmental.txt, ethiopian_controls_exp1.txt, ethiopian_controls_exp2.txt.",included_human_or_human_derived_model_resource,True,"The deposit documents participant/trial behavioral and demographic text tables, providing structured human-derived inputs and/or targets for visual-rehabilitation performance modeling.",,high,2026-08-02
dryad_congenital_glaucoma_wes,Identification of novel variants in LTBP2 and PXDN using whole-exome sequencing in developmental and congenital glaucoma,10.5061/dryad.k7455,1,Data from: Identification of novel variants in LTBP2 and PXDN using whole-exome sequencing in developmental and congenital glaucoma,4,442116648,human_participant_or_patient_data,human_participant_or_patient_data,Data from: Identification of novel variants in LTBP2 and PXDN using whole-exome sequencing in developmental and congenital glaucoma,complete_official_file_listing,official_current_version_file_listing_reviewed,individual human exome variant-difference files,rare-variant filtering or congenital-glaucoma genetics evaluation,"Official Dryad title/abstract/methods and official current-version file listing; named deposited files include DNA12-14956.hcdiffs.txt, DNA13-07602.hcdiffs.txt, DNA13-07606.hcdiffs.txt, DNA13-07610.hcdiffs.txt.",included_human_or_human_derived_model_resource,True,"The deposit documents individual human exome variant-difference files, providing structured human-derived inputs and/or targets for rare-variant filtering or congenital-glaucoma genetics evaluation.",,medium,2026-08-02
dryad_cornea_oct_pentacam,Corneal OCT and Pentacam Tomography Dataset,10.5061/dryad.tht76hf0c,5,Dataset for RSOS-211108,1,383898834,human_participant_or_patient_data,human_participant_or_patient_data,Dataset for RSOS-211108,complete_official_file_listing,official_current_version_file_listing_reviewed,participant-eye corneal OCT/Scheimpflug image data with segmentation workflow,corneal image segmentation or measurement modeling,Official Dryad title/abstract/methods and official current-version file listing; named deposited files include OCT_.zip.,included_human_or_human_derived_model_resource,True,"The deposit documents participant-eye corneal OCT/Scheimpflug image data with segmentation workflow, providing structured human-derived inputs and/or targets for corneal image segmentation or measurement modeling.",,medium,2026-08-02
dryad_corneal_biomechanics_prostaglandin,Changes in corneal biomechanical properties after long-term topical prostaglandin therapy,10.5061/dryad.d35s0,1,Data from: Changes in corneal biomechanical properties after long-term topical prostaglandin therapy,1,55426,human_participant_or_patient_data,human_participant_or_patient_data,Data from: Changes in corneal biomechanical properties after long-term topical prostaglandin therapy,complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: xlsx_workbook=1,patient-eye Corvis biomechanical measurement workbook,therapy-associated biomechanics regression,Official Dryad title/abstract/methods and complete structural inspection; named deposited files include Na Wu-corvis primary data.xlsx.,included_human_or_human_derived_model_resource,True,"The deposit documents patient-eye Corvis biomechanical measurement workbook, providing structured human-derived inputs and/or targets for therapy-associated biomechanics regression.",,high,2026-08-02
dryad_corneal_conjunctivitis_biomarker,Corneal Conjunctivitis Biomarker Dataset,10.5061/dryad.4j0zpc8mm,3,Data from: Biomarker detection and validation for corneal involvement in patients with acute infectious conjunctivitis: A multi-country study,4,8983041,human_participant_or_patient_data,human_participant_or_patient_data,"The dataset includes raw transcriptomic counts, sample metadata, and gene mapping files, enabling replication and further exploration of the findings.",complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: delimited_table=2, text=1, zip_archive=1",sample-by-gene count matrix plus 58-sample metadata,corneal-involvement biomarker classification,"Official Dryad title/abstract/methods and complete structural inspection; named deposited files include biomarker_detection_count_data_md5-9b4b21f9.csv, biomarker_detection_sample_table_md5-7bd7fef2.csv, ENSG_ID2Name.txt.zip, README.md.",included_human_or_human_derived_model_resource,True,"The deposit documents sample-by-gene count matrix plus 58-sample metadata, providing structured human-derived inputs and/or targets for corneal-involvement biomarker classification.",,high,2026-08-02
dryad_corneal_laser_procedure,Corneal Laser Procedure for safety and efficacy in vision improvement,10.5061/dryad.m905qfv2r,8,Corneal Laser Procedure for safety and efficacy in vision improvement,3,76650,human_participant_or_patient_data,human_participant_or_patient_data,"Corneal Laser Procedure for safety and efficacy in vision improvement Purpose: To determine the safety and efficacy of corneal photovitrification (CPV), a corneal laser procedure, for vision improvement in patients with neovascular age-related macular degeneration (nAMD) and other retinal disorders involving central vision loss.",complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: text=1, xls_workbook=2",72-eye longitudinal acuity and potential-acuity measurements,post-procedure visual-outcome regression,"Official Dryad title/abstract/methods and complete structural inspection; named deposited files include F1000Rearch_Dataset_1_-_Devenyi_et_al_-_Corneal_laser_procedure.xls, F1000Rearch_Dataset_2_-_Devenyi_et_al_-_Corneal_laser_procedure.xls, README.txt.",included_human_or_human_derived_model_resource,True,"The deposit documents 72-eye longitudinal acuity and potential-acuity measurements, providing structured human-derived inputs and/or targets for post-procedure visual-outcome regression.",,high,2026-08-02
dryad_crvo_vegf_tortuosity,CRVO Retinal Tortuosity and VEGF Dataset,10.5061/dryad.5dn13,1,Data from: Significant correlation between retinal venous tortuosity and aqueous vascular endothelial growth factor concentration in eyes with central retinal vein occlusion,1,18399,human_participant_or_patient_data,human_participant_or_patient_data,Data from: Significant correlation between retinal venous tortuosity and aqueous vascular endothelial growth factor concentration in eyes with central retinal vein occlusion Purpose: To determine whether the degree of venous tortuosity is significantly correlated with the aqueous vascular endothelial growth factor (VEGF) concentration in eyes with a central retinal vein occlusion (CRVO).,complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: xlsx_workbook=1,"eye-level vessel-tortuosity, VEGF, thickness, and acuity measurements",biomarker association or prediction,Official Dryad title/abstract/methods and complete structural inspection; named deposited files include CRVO tortuosity Data English.xlsx.,included_human_or_human_derived_model_resource,True,"The deposit documents eye-level vessel-tortuosity, VEGF, thickness, and acuity measurements, providing structured human-derived inputs and/or targets for biomarker association or prediction.",,high,2026-08-02
dryad_d12d9f,Excitatory neurotransmission activates compartmentalized calcium transients in Müller glia without affecting lateral process motility,10.6078/d12d9f,4,Excitatory neurotransmission activates compartmentalized calcium transients in Müller glia without affecting lateral process motility,16,704982604,nonhuman_or_nonhuman_derived,mouse,"Here we explore this phenomenon in Müller glia, which are specialized radial astroglia that are the predominant glial type of the vertebrate retina.",complete_official_file_listing,official_current_version_file_listing_reviewed,"mouse observations, tissues, images, signals, or sequences",Not applicable under the human-only screening boundary.,Official Dryad title/abstract/methods identify mouse; current file listing reviewed (official_current_version_file_listing_reviewed).,excluded_nonhuman_or_nonhuman_derived,False,Excitatory neurotransmission activates compartmentalized calcium transients in Müller glia without affecting lateral process motility is explicitly mouse; no separable human participant or human-derived component is documented.,,high,2026-08-02
dryad_d1895r,Directed Evolution of AAV for Efficient Gene Delivery to Canine and Primate Retina - Raw counts of variants from deep sequencing,10.6078/d1895r,1,Directed Evolution of AAV for Efficient Gene Delivery to Canine and Primate Retina - Raw counts of variants from deep sequencing,3,180261221,nonhuman_or_nonhuman_derived,canine,Directed Evolution of AAV for Efficient Gene Delivery to Canine and Primate Retina - Raw counts of variants from deep sequencing Efficient AAV-mediated gene delivery remains a significant obstacle to effective retinal gene therapies.,complete_official_file_listing,official_current_version_file_listing_reviewed,"canine observations, tissues, images, signals, or sequences",Not applicable under the human-only screening boundary.,Official Dryad title/abstract/methods identify canine; current file listing reviewed (official_current_version_file_listing_reviewed).,excluded_nonhuman_or_nonhuman_derived,False,Directed Evolution of AAV for Efficient Gene Delivery to Canine and Primate Retina - Raw counts of variants from deep sequencing is explicitly canine; no separable human participant or human-derived component is documented.,,high,2026-08-02
dryad_d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,10.5068/d1zd5s,9,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,4,43985647,human_participants_or_human_derived_biological_material,human_participants_or_human_derived_biological_material,"Single-cell transcriptome analyses identify three states of proliferating retinal progenitors: pre-neurogenic, neurogenic, and cell cycle-exiting progenitors.",complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: file_type_confirmed=3, text=1",human retinal-organoid single-cell gene-by-barcode matrices,cell-state clustering or expression-model evaluation,"Official Dryad title/abstract/methods and complete structural inspection; named deposited files include AEP_filtered_gene_bc_matrices_h5.h5, DATASET_Readme.txt, GFP_filtered_gene_bc_matrices_h5.h5, NEP_filtered_gene_bc_matrices_h5.h5.",included_human_or_human_derived_model_resource,True,"The deposit documents human retinal-organoid single-cell gene-by-barcode matrices, providing structured human-derived inputs and/or targets for cell-state clustering or expression-model evaluation.",,high,2026-08-02
dryad_diabetes_retinal_capillary,Diabetes Retinal Capillary Rarefaction Dataset,10.5061/dryad.58791,1,Data from: Retinal capillary rarefaction in patients with type 2 diabetes mellitus,1,54983,human_participant_or_patient_data,human_participant_or_patient_data,Data from: Retinal capillary rarefaction in patients with type 2 diabetes mellitus,complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: file_type_confirmed=1,patient-level retinal-capillary study dataset,diabetes-associated capillary measurement prediction,Official Dryad title/abstract/methods and complete structural inspection; named deposited files include PlosOne_beb.sav.,included_human_or_human_derived_model_resource,True,"The deposit documents patient-level retinal-capillary study dataset, providing structured human-derived inputs and/or targets for diabetes-associated capillary measurement prediction.",,high,2026-08-02
dryad_diabetic_retinopathy_renal,Diabetic Retinopathy and Renal Function Dataset,10.5061/dryad.6kg1sd7,1,Data from: Association of diabetic retinopathy and diabetic macular edema with renal function in southern Chinese patients with type 2 diabetes mellitus: a single-center observational study,1,202240,human_participant_or_patient_data,human_participant_or_patient_data,"So we aimed to study the correlation between stage of DR and DME with stage of eGFR (estimated glomerular filtration rate) and stage of UACR (urine albumin to creatinine ratio), and to explore the systemic risk factors for DR and DME.",complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: file_type_confirmed=1,"413-patient diabetic retinopathy, renal-stage, and systemic measurement dataset",DR/DME risk classification,Official Dryad title/abstract/methods and complete structural inspection; named deposited files include datas.et.,included_human_or_human_derived_model_resource,True,"The deposit documents 413-patient diabetic retinopathy, renal-stage, and systemic measurement dataset, providing structured human-derived inputs and/or targets for DR/DME risk classification.",,high,2026-08-02
dryad_dome_shaped_macula,Observational study of clinical characteristics of dome-shaped macula in Chinese Han with high myopia at Zhongshan Ophthalmic Center,10.5061/dryad.h544560,1,Data from: Observational study of clinical characteristics of dome-shaped macula in Chinese Han with high myopia at Zhongshan Ophthalmic Center,2,589392,human_participant_or_patient_data,human_participant_or_patient_data,"In highly myopic eyes without macular complications, the best corrected visual acuity is significantly worse in patients with DSM (P=0.002), and the ratio between subfoveal and parafoveal choroidal thickness (S/PCT) is significantly elevated in patients with DSM (P=0.021).",complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: file_type_confirmed=1, xlsx_workbook=1",multi-sheet high-myopia clinical database with thousands of observation rows,dome-shaped-macula phenotype classification,"Official Dryad title/abstract/methods and complete structural inspection; named deposited files include high myopia database.xlsx, README_for_high myopia database.docx.",included_human_or_human_derived_model_resource,True,"The deposit documents multi-sheet high-myopia clinical database with thousands of observation rows, providing structured human-derived inputs and/or targets for dome-shaped-macula phenotype classification.",,high,2026-08-02
dryad_dry_eye_nlrp3,Dry Eye NLRP3 Ocular Surface Dataset,10.5061/dryad.7vn28,1,Data from: Upregulation of NLRP3 inflammasome in the tears and ocular surface of dry eye patients,1,283622,human_participant_or_patient_data,human_participant_or_patient_data,"IL-18 mRNA expression levels were significantly upregulated in the SSDE (relative 2.97-fold upregulation, p=0.001) and NSSDE (relative 2.05-fold upregulation, p=0.001) groups compared with the controls; tear IL-18 concentrations were also significantly increased in the SSDE (p<0.001) and NSSDE (p<0.05) groups.",complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: zip_archive=1,patient tear/ocular-surface inflammatory assay data,dry-eye biomarker classification,Official Dryad title/abstract/methods and complete structural inspection; named deposited files include Niu et al.plos one raw data.zip.,included_human_or_human_derived_model_resource,True,"The deposit documents patient tear/ocular-surface inflammatory assay data, providing structured human-derived inputs and/or targets for dry-eye biomarker classification.",,high,2026-08-02
dryad_eye_care_quality_of_life,Utility index and vision related quality of life in patients awaiting specialist eye care,10.5061/dryad.h44j0zpv3,7,Utility index and vision related quality of life in patients awaiting specialist eye care,2,95224,human_participant_or_patient_data,human_participant_or_patient_data,"We derived a utility index (VFQ-UI) from the patients’ responses, then calculated the correlation between this index and waiting time and compared utility across demographic subgroups stratified by age, sex, and care setting.",complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: text=1, xlsx_workbook=1","individual questionnaire, demographics, waiting-time, and utility records",vision-related quality-of-life regression,"Official Dryad title/abstract/methods and complete structural inspection; named deposited files include Dataset_VFQ-Utility_ageRANGE.xlsx, README.md.",included_human_or_human_derived_model_resource,True,"The deposit documents individual questionnaire, demographics, waiting-time, and utility records, providing structured human-derived inputs and/or targets for vision-related quality-of-life regression.",,high,2026-08-02
dryad_eye_head_visual_selection,Eye and Head Visual Selection Dataset,10.5061/dryad.33kh1,1,Data from: Eye and head movements are complementary in visual selection,1,82791,human_aggregate_visual_behavior_summary,human_aggregate_visual_behavior_summary,"These results are consistent with a nested system in which the head favours exploration of unknown regions, while the eye exploits what can be seen with finer-scale saccades.",complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: xlsx_workbook=1,aggregate angular-distribution and horizontal-bias summaries,None: no participant/trial-level ophthalmic ML task is exposed,Official Dryad source metadata and file listing; complete_small_deposit_structure_reviewed: xlsx_workbook=1.,excluded_not_suitable_for_model_training_or_evaluation,False,The structurally inspected workbook contains aggregate visual-selection summaries; it is generic behavior research rather than an ophthalmic observation-level resource.,,high,2026-08-02
dryad_functional_oct_alzheimer,Functional OCT Retinal Response Dataset,10.5061/dryad.msbcc2ftc,6,A practical approach to functional optical coherence tomography shows abnormal retinal responses in Alzheimer’s disease,1,843520297,human_participant_or_patient_data,human_participant_or_patient_data,"A practical approach to functional optical coherence tomography shows abnormal retinal responses in Alzheimer’s disease Spectral-domain optical coherence tomography (SD-OCT) is an accessible clinical tool for measuring structural changes to the retina, and increasingly as a biomarker for brain-predominant neurodegenerative diseases like Alzheimer’s.",complete_official_file_listing,official_current_version_file_listing_reviewed,human functional-OCT study archive,Alzheimer-related retinal-response classification,Official Dryad title/abstract/methods and official current-version file listing; named deposited files include OCT__FOR_DRYAD_2020-03MAR-08.rar.,included_human_or_human_derived_model_resource,True,"The deposit documents human functional-OCT study archive, providing structured human-derived inputs and/or targets for Alzheimer-related retinal-response classification.",,medium,2026-08-02
dryad_fundus_venous_pulsation,Fundus Venous Pulsation Sequence Dataset,10.5061/dryad.56f1h,1,Data from: Quantitative analysis of fundus-image sequences reveals phase of spontaneous venous pulsations,2,118583295,human_participant_or_patient_data,human_participant_or_patient_data,Data from: Quantitative analysis of fundus-image sequences reveals phase of spontaneous venous pulsations,complete_official_file_listing,official_current_version_file_listing_reviewed,human fundus-video sequences with venous-pulsation measurements,pulsation phase or sequence-analysis evaluation,"Official Dryad title/abstract/methods and official current-version file listing; named deposited files include Movies_Raw.zip, README_for_Movies_Raw.txt.",included_human_or_human_derived_model_resource,True,"The deposit documents human fundus-video sequences with venous-pulsation measurements, providing structured human-derived inputs and/or targets for pulsation phase or sequence-analysis evaluation.",,medium,2026-08-02
