doi,title,prior_decision,scope_decision,rationale,normalized_primary_category,normalized_tasks,primary_quantity_count,primary_quantity_unit,research_object_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.rn38r,"Data from: Do picture-based charts overestimate visual acuity? Comparison of Kay Pictures, Lea Symbols, HOTV and Keeler logMAR charts with Sloan Letters in adults and children",add_now,core_add,Human adult/child visual-acuity chart data directly support ophthalmic acuity measurement.,tabular,measurement,42,participants,"Official Dryad current metadata and file listing: 1 files, 37953 bytes.",10.1371/journal.pone.0170839,1,1,37953,,no_documented_catalog_relationship,high
10.5061/dryad.rn8pk0p70,Socioeconomic status and decreasing incidence of ocular injuries in Bosnia and Herzegovina,add_now,core_add,Human ocular-injury clinical and epidemiology records are direct ophthalmic data.,tabular,demographic_analysis,unknown,unknown,"Official Dryad current metadata and file listing: 3 files, 871004 bytes.",10.1080/08820538.2021.1893350,11,3,871004,,no_documented_catalog_relationship,high
10.5061/dryad.rn8pk0pdp,"Detection of SARS-CoV-2 in conjunctival secretion and tears in patients with COVID-19 in a tertiary care centre, South India",add_now,core_add,Human conjunctival-secretion and tear diagnostic data are direct ocular-surface clinical data.,tabular,detection,80,patients,"Official Dryad current metadata and file listing: 2 files, 197569 bytes.",10.12688/f1000research.123556.1,6,2,197569,,no_documented_catalog_relationship,high
10.5061/dryad.rn8pk0pmm,The c.119-123dup5bp mutation in human gamma-C-crystallin destabilizes the protein and activates the unfolded protein response to cause highly variable cataracts,add_now,adjacent_add,Lens/cataract sequencing data directly support ocular disease-mechanism research.,omics,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 38 files, 33285472018 bytes.",10.1038/s41598-025-90977-2,3,38,33285472018,,no_documented_catalog_relationship,high
10.5061/dryad.rs2qp,Data from: Inhibition decorrelates visual feature representations in the inner retina,add_now,adjacent_add,Retinal bipolar-cell functional matrices are directly reusable retinal-biology data.,electrophysiology,measurement,13000,bipolar_cell_terminals,"Official Dryad current metadata and file listing: 12 files, 31980086478 bytes.",10.1038/nature21394,2,12,31980086478,,no_documented_catalog_relationship,high
10.5061/dryad.rv15dv4bv,Late gene therapy limits the restoration of retinal function in a mouse model of retinitis pigmentosa,add_now,adjacent_add,Mouse retinitis-pigmentosa gene-therapy microscopy directly supports retinal disease mechanism and restoration research.,cell_microscopy,restoration,unknown,unknown,"Official Dryad current metadata and file listing: 104 files, 13737883499 bytes.",10.1038/s41467-023-44063-8,5,104,13737883499,,no_documented_catalog_relationship,high
10.5061/dryad.s1rn8pkhb,Transcriptional responses in a mouse model of silicone wire embolization induced acute retinal artery Ischemia and Reperfusion,add_now,adjacent_add,Mouse retinal-artery ischemia expression data directly support retinal vascular-injury mechanisms.,omics,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 2 files, 7907110 bytes.",10.7554/elife.98949.4,6,2,7907110,,no_documented_catalog_relationship,high
10.5061/dryad.s4mw6m9b0,Evolutionary insights into Felidae iris color through ancestral state reconstruction,add_now,exclude_scope,"Felid iris-color ancestral reconstruction is comparative evolution, not an ophthalmic dataset.",,,unknown,unknown,"Official Dryad current metadata and file listing: 22 files, 42135617 bytes.",10.1016/j.isci.2024.110903,13,22,42135617,,no_documented_catalog_relationship,high
10.5061/dryad.s502854,Data from: Exploring the visual world of fossilized and modern fungus gnat eyes (Diptera: Keroplatidae) with X-ray microtomography,add_now,exclude_scope,Fungus-gnat eye micro-CT is comparative visual ecology rather than translational ocular biology.,,,unknown,unknown,"Official Dryad current metadata and file listing: 2 files, 159228298 bytes.",10.1098/rsif.2019.0750,2,2,159228298,,no_documented_catalog_relationship,high
10.5061/dryad.sbcc2fr6n,Exploring phenotypic diversity of pigmented traits and iris features in Pakistani population,add_now,core_add,Individual human iris-feature and pigmentation records are directly reusable ocular-biometric data.,iris_biometrics,classification,514,participants,"Official Dryad current metadata and file listing: 2 files, 6562270 bytes.",10.1098/rsos.150424,7,2,6562270,,no_documented_catalog_relationship,high
10.5061/dryad.sbcc2fr7r,Gender and age-related differences of ccular biometric parameters in patients undergoing cataract surgery in Bosnia and Herzegovina,add_now,core_add,Cataract-surgery patient ocular-biometry table is direct human ophthalmic clinical data.,tabular,measurement,1278,patients,"Official Dryad current metadata and file listing: 2 files, 1469701 bytes.",10.1155/2023/1950257,8,2,1469701,,no_documented_catalog_relationship,high
10.5061/dryad.sf7m0cggh,Robust semi-automatic vessel tracing in the human retinal image by an instance segmentation neural network,add_now,core_add,Human retinal-vessel trace annotations are a meaningful fundus-imaging annotation layer.,fundus,segmentation;vessel_analysis,unknown,unknown,"Official Dryad current metadata and file listing: 5 files, 117131 bytes.",10.1126/sciadv.ado8268,9,5,117131,drive,derived_from,high
10.5061/dryad.sj3tx968w,The origin of blinking in both mudskippers and tetrapods is linked to life on land,add_now,exclude_scope,"Mudskipper/tetrapod blinking videos address evolutionary transition and nonclinical behavior, outside strict scope.",,,unknown,unknown,"Official Dryad current metadata and file listing: 5 files, 3891336384 bytes.",10.1073/pnas.2220404120,3,5,3891336384,,no_documented_catalog_relationship,high
10.5061/dryad.sn02v6x2x,Data from: Corneal laser procedure for vision improvement in patients with late stage dry age-related macular degeneration,add_now,core_add,Human corneal-laser outcomes in AMD are direct ophthalmic clinical data.,tabular,progression_analysis,32,eyes,"Official Dryad current metadata and file listing: 1 files, 560050 bytes.",10.12688/f1000research.27881.1,4,1,560050,,no_documented_catalog_relationship,high
10.5061/dryad.sqv9s4nhj,Data from: Evaluating the roles of signaling and camouflage in the evolution of iris color in <em>Tyranni</em> passerines,add_now,exclude_scope,"Passerine iris-color evolution is comparative ecology/evolution, not an ophthalmic resource.",,,unknown,unknown,"Official Dryad current metadata and file listing: 2 files, 510916 bytes.",10.1093/evolut/qpaf228,4,2,510916,,no_documented_catalog_relationship,high
10.5061/dryad.t0p2f2c,Data from: Cardinalfishes (Apogonidae) show visual system adaptations typical of nocturnally and diurnally active fish,add_now,exclude_scope,"Cardinalfish visual-system adaptation data are comparative ecology/evolution, outside strict scope.",,,unknown,unknown,"Official Dryad current metadata and file listing: 15 files, 702562 bytes.",10.1111/mec.15102,1,15,702562,,no_documented_catalog_relationship,high
10.5061/dryad.tb2rbp0cq,Serial block face scanning electron micrographs of mouse outer retina,add_now,adjacent_add,Serial block-face images are directly reusable mouse outer-retina ultrastructure data.,cell_microscopy,reconstruction,358,images,"Official Dryad current metadata and file listing: 358 files, 5051903547 bytes.",10.1085/jgp.202413746,4,358,5051903547,,no_documented_catalog_relationship,high
10.5061/dryad.tdz08kq8t,"Sphingosine-1-phosphate signaling regulates the ability of Müller glia to become neurogenic, proliferating progenitor-like cells",add_now,adjacent_add,Chick Müller-glia single-cell data directly support retinal regeneration biology.,omics,classification,unknown,unknown,"Official Dryad current metadata and file listing: 22 files, 2018076463 bytes.",10.1002/cne.25270,8,22,2018076463,,no_documented_catalog_relationship,high
10.5061/dryad.th8334d,Data from: Evolutionary signatures of photoreceptor transmutation in geckos reveal potential adaptation and convergence with snakes,add_now,exclude_scope,"Gecko photoreceptor transmutation study is evolutionary comparison rather than disease, imaging, or translational retinal biology.",,,unknown,unknown,"Official Dryad current metadata and file listing: 5 files, 87835519 bytes.",10.1111/evo.13810,1,5,87835519,,no_documented_catalog_relationship,high
10.5061/dryad.tmpg4f4vb,Effects of capsular tension ring on surgical outcomes of premium intraocular lens in patients with suspected zonular weakness,add_now,core_add,Human cataract IOL surgical outcomes are direct ophthalmic clinical data.,tabular,regression,55,eyes,"Official Dryad current metadata and file listing: 1 files, 72304 bytes.",10.1371/journal.pone.0228999,5,1,72304,,no_documented_catalog_relationship,high
10.5061/dryad.v6wwpzh1b,Data from: Micropulse transscleral cyclophotocoagulation results in secondary glaucoma,add_now,core_add,Human secondary-glaucoma treatment outcomes are direct ophthalmic clinical data.,tabular,progression_analysis,unknown,unknown,"Official Dryad current metadata and file listing: 2 files, 14771 bytes.",10.3390/life13051149,4,2,14771,,no_documented_catalog_relationship,high
10.5061/dryad.v9p0b,Data from: Retinal capillary rarefaction in patients with untreated mild-moderate hypertension,add_now,core_add,Human retinal-capillary measurements are directly reusable retinal vascular clinical data.,tabular,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 1 files, 57171 bytes.",10.1186/s12872-017-0732-x,1,1,57171,,no_documented_catalog_relationship,high
10.5061/dryad.vhhmgqp2c,Data from: Light environment and seasonal variation in the visual system of the red shiner (Cyprinella lutrensis),add_now,exclude_scope,Red-shiner visual-system adaptation data are comparative ecology/evolution outside the strict boundary.,,,unknown,unknown,"Official Dryad current metadata and file listing: 13 files, 103482113 bytes.",10.1242/jeb.249878,4,13,103482113,,no_documented_catalog_relationship,high
10.5061/dryad.vq83bk3s8,Spatially displaced excitation contributes to the encoding of interrupted motion by the retinal direction-selective circuit,add_now,adjacent_add,Mouse retinal direction-selective circuit recordings are directly reusable retinal-biology data.,electrophysiology,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 910 files, 6461489656 bytes.",10.7554/elife.68181,5,910,6461489656,,no_documented_catalog_relationship,high
10.5061/dryad.vx0k6djwf,Amacrine cells differentially balance zebrafish colour circuits in the central and peripheral retina,add_now,adjacent_add,Zebrafish amacrine-cell recordings are directly reusable inner-retina biology data.,electrophysiology,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 5 files, 1599209651 bytes.",10.1016/j.celrep.2023.112055,5,5,1599209651,,no_documented_catalog_relationship,high
10.5061/dryad.w3r228143,Photoreceptor loss does not recruit neutrophils despite strong microglial activation,add_now,adjacent_add,Photoreceptor-loss microscopy directly supports retinal-degeneration and ocular-inflammation mechanisms.,adaptive_optics,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 2 files, 9123577630 bytes.",10.7554/elife.98662.4,5,2,9123577630,,no_documented_catalog_relationship,high
10.5061/dryad.wdbrv15rj,Natural disease history of a canine model of oligogenic RPGRIP1-cone-rod dystrophy establishes variable effects of previously and newly mapped modifier loci,add_now,adjacent_add,Canine cone-rod-dystrophy sequencing directly supports inherited retinal-disease mechanism research.,omics,classification,unknown,unknown,"Official Dryad current metadata and file listing: 19 files, 212240887027 bytes.",10.1093/hmg/ddad046,5,19,212240887027,,no_documented_catalog_relationship,high
10.5061/dryad.wstqjq2n5,Data from: Spectral inference reveals principal cone-integration rules of the zebrafish inner retina,add_now,adjacent_add,Zebrafish bipolar-cell traces are directly reusable inner-retina physiology data.,electrophysiology,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 4 files, 310660490 bytes.",10.1016/j.cub.2021.09.047,4,4,310660490,,no_documented_catalog_relationship,high
10.5061/dryad.x95x69pmq,Robust cone-mediated signaling persists late into rod photoreceptor degeneration,add_now,adjacent_add,Raw rod-degeneration microscopy directly supports retinal-degeneration mechanisms.,cell_microscopy,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 20 files, 5659015815 bytes.",10.7554/elife.80271,5,20,5659015815,,no_documented_catalog_relationship,high
10.5061/dryad.xgxd254d1,Systemic paralogy and function of retinal determination network homologs in arachnids,add_now,exclude_scope,"Arachnid retinal-determination study is evolutionary developmental comparison, not a translational ocular biology resource.",,,unknown,unknown,"Official Dryad current metadata and file listing: 6 files, 275905271 bytes.",10.1186/s12864-020-07149-x,9,6,275905271,,no_documented_catalog_relationship,high
10.5061/dryad.xgxd254pk,"Supporting information for: Discrimination ability of central visual field testing using stimulus size I, II, and III and relationship with macular ganglion cell thickness in chiasmal compression",add_now,core_add,Human visual-field and macular-ganglion-cell thickness measurements are direct ophthalmic clinical data.,visual_field,measurement,60,eyes,"Official Dryad current metadata and file listing: 2 files, 333966 bytes.",10.1371/journal.pone.0300103,5,2,333966,,no_documented_catalog_relationship,high
10.5061/dryad.xpnvx0kb6,"Data from: Oxidative stress in the retina and retinal pigment epithelium (RPE): role of aging, and DJ-1",add_now,adjacent_add,Retina/RPE oxidative-stress microscopy is directly reusable retinal-degeneration biology data.,cell_microscopy,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 118 files, 736182399 bytes.",10.1016/j.redox.2020.101623,9,118,736182399,,no_documented_catalog_relationship,high
10.5061/dryad.xwdbrv1kd,GTPBP2 in-frame deletion in a canine model with progressive retinal degeneration,add_now,adjacent_add,Canine progressive-retinal-degeneration sequencing directly supports inherited retinal-disease research.,omics,classification,unknown,unknown,"Official Dryad current metadata and file listing: 11 files, 199231877370 bytes.",10.1038/s41598-025-89446-7,7,11,199231877370,,no_documented_catalog_relationship,high
10.5061/dryad.z08kprrk3,Data from: A naturally occurring canine model of syndromic congenital microphthalmia ,add_now,adjacent_add,Canine congenital microphthalmia sequencing/GWAS directly supports ocular developmental-disease mechanism research.,omics,classification,unknown,unknown,"Official Dryad current metadata and file listing: 5 files, 26446559668 bytes.",10.1093/g3journal/jkae067,8,5,26446559668,,no_documented_catalog_relationship,high
10.5061/dryad.z08kprrk6,Frameshift variant in AMPD2 in Cirneco dell’ Etna with retinopathy and tremors,add_now,adjacent_add,Canine inherited retinopathy sequencing directly supports retinal disease mechanisms.,omics,classification,unknown,unknown,"Official Dryad current metadata and file listing: 7 files, 123431491592 bytes.",10.3390/genes15020238,4,7,123431491592,,no_documented_catalog_relationship,high
10.5061/dryad.z8w9ghx9c,Accuracy of intraocular lens calculation formulas in cataract patients with steep corneal curvature,add_now,core_add,Human IOL-calculation cohort is direct cataract-surgery ocular-biometry data.,tabular,regression,112,eyes,"Official Dryad current metadata and file listing: 1 files, 120727 bytes.",10.1371/journal.pone.0241630,3,1,120727,,no_documented_catalog_relationship,high
10.5061/dryad.z8w9ghx9f,Inflation test on eye globe for: Experimental evaluation of stiffening effect induced by UVA/riboflavin corneal cross-linking using intact porcine eye globes,add_now,adjacent_add,Porcine corneal cross-linking inflation measurements are directly reusable ocular-surgery biomechanics data.,tabular,measurement,7,eye_globes,"Official Dryad current metadata and file listing: 15 files, 8482952 bytes.",,4,15,8482952,,no_documented_catalog_relationship,high
10.5061/dryad.z8w9ghxpp,ApoM-bound S1P acts via endothelial S1PR1 to suppress choroidal neovascularization and vascular leak,add_now,adjacent_add,Experimental choroidal-neovascularization images and quantification directly support retinal vascular disease mechanisms.,cell_microscopy,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 47 files, 4159288366 bytes.",10.1007/s10456-025-09975-7,11,47,4159288366,,no_documented_catalog_relationship,high
10.5061/dryad.zkh1893nt,Glaucoma-associated optineurin mutations increase transcellular degradation of mitochondria in a vertebrate optic nerve,add_now,adjacent_add,Optic-nerve imaging and analysis files directly support glaucoma-related optic-nerve biology.,cell_microscopy,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 32 files, 130554606106 bytes.",10.7554/elife.103844,7,32,130554606106,,no_documented_catalog_relationship,high
10.5061/dryad.zs7h44jd9,Data for: Impact of alpha crystallin loss on zebrafish lens development,add_now,adjacent_add,Zebrafish lens/eye micrographs directly support lens-development and cataract mechanisms.,cell_microscopy,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 2 files, 1795736344 bytes.",10.1016/j.exer.2022.109358,4,2,1795736344,,no_documented_catalog_relationship,high
10.5061/dryad.zw3r228km,Seeing in the deep: evolution of the opsin gene expression in Bermin crater lake cichlids,add_now,exclude_scope,"Cichlid opsin-expression evolution is comparative ecology/evolution, outside strict scope.",,,unknown,unknown,"Official Dryad current metadata and file listing: 7 files, 107709 bytes.",10.1093/molbev/msaf286,2,7,107709,,no_documented_catalog_relationship,high
10.5068/d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,add_now,adjacent_add,Human retinal-organoid single-cell matrices are directly reusable retinal developmental-biology data.,omics,classification,3,matrices,"Official Dryad current metadata and file listing: 4 files, 44225447 bytes.",10.3389/fcell.2021.653305,9,4,44225447,,no_documented_catalog_relationship,high
10.6075/j0707ztm,Early removal of  senescent cells protects retinal ganglion cells loss in experimental ocular hypertension,add_now,adjacent_add,Experimental ocular-hypertension retinal-ganglion-cell data directly support glaucoma mechanism studies.,tabular,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 1 files, 382720 bytes.",10.1111/acel.13089,4,1,382720,,no_documented_catalog_relationship,medium
10.6078/d12d9f,Excitatory neurotransmission activates compartmentalized calcium transients in Müller glia without affecting lateral process motility,add_now,adjacent_add,Müller-glia calcium and morphology matrices directly support retinal glial biology.,electrophysiology,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 16 files, 2052296419 bytes.",10.7554/elife.73202,4,16,2052296419,,no_documented_catalog_relationship,high
10.6078/d1895r,Directed Evolution of AAV for Efficient Gene Delivery to Canine and Primate Retina - Raw counts of variants from deep sequencing,add_now,adjacent_add,Canine/primate retinal AAV deep-sequencing counts directly support ocular gene-delivery development.,omics,classification,unknown,unknown,"Official Dryad current metadata and file listing: 3 files, 180282926 bytes.",10.1172/jci.insight.135112,1,3,180282926,,no_documented_catalog_relationship,high
10.7272/q6rv0kz3,Asymmetric retinal direction tuning predicts optokinetic eye movements across stimulus conditions,add_now,adjacent_add,"Mouse retinal circuit, eye-movement, and electrophysiology matrices directly support retinal physiology.",multimodal,gaze_estimation;measurement,unknown,unknown,"Official Dryad current metadata and file listing: 19 files, 693075185 bytes.",10.7554/elife.81780,6,19,693075185,,no_documented_catalog_relationship,high
10.7272/q6w37t8b,10x Lacrimal Gland scRNA seq data matrix,add_now,adjacent_add,Lacrimal-gland single-cell matrices directly support ocular-surface adnexal biology.,omics,classification,2,count_matrices,"Official Dryad current metadata and file listing: 6 files, 15630284 bytes.",10.1242/dev.150789,1,6,15630284,,no_documented_catalog_relationship,high
