doi,title,original_query_hits,initial_decision,matched_existing_record,relationship_type,final_decision,final_catalog_slug,reason,review_stage,official_source_url
10.5061/dryad.0qk7f,Data from: Identification of genetic defects in 33 probands with Stargardt disease by WES-based bioinformatics gene panel analysis,"[""macular"", ""ophthalmic"", ""retinal""]",include,,,included_new_record,dryad_stargardt_wes,The 33-proband Stargardt variant table is a direct inherited-retinal-disease genomics resource.,scope_screen_a,https://doi.org/10.5061/dryad.0qk7f
10.5061/dryad.0vt4b8h0d,A historic global ground-based monthly seasonal aerosol climatology based in AERONET data: a database 1993-2013,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0vt4b8h0d
10.5061/dryad.0vt4b8hbz,Data and code from: Sub-surface deformation of individual fingerprint ridges during tactile interactions,"[""\""optical coherence tomography\""""]",exclude,,,excluded_insufficient_reusable_ophthalmic_data,,"Paper, review, or software/code release without a distinct reusable eye-data resource.",broad_screen,https://doi.org/10.5061/dryad.0vt4b8hbz
10.5061/dryad.0zpc866zm,"A comparative study on the stability of the furfural molecule on the low index Ni, Pd and Pt surfaces","[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0zpc866zm
10.5061/dryad.0zpc86769,Direct magnetic imaging of  fractional Chern insulators in twisted MoTe2,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0zpc86769
10.5061/dryad.12751,Data from: Microsaccadic sampling of moving image information provides Drosophila hyperacute vision,"[""\""retinal image\"""", ""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.12751
10.5061/dryad.12jm63z04,Multivesicular Release LIF Spike Data,"[""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.12jm63z04
10.5061/dryad.12jm63z62,Melanopsin-mediated amplification of cone signals in the human visual cortex,"[""retina"", ""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Vision/behaviour search hit without direct ocular or ophthalmic data in the repository metadata.,broad_screen,https://doi.org/10.5061/dryad.12jm63z62
10.5061/dryad.13bp2,Data from: Changing patterns of cataract services in North-West Nigeria: 2005–2016,"[""cataract""]",include,,,included_new_record,dryad_nigeria_cataract_services,The documented Nigerian cataract-service survey is direct human ophthalmic epidemiology data.,scope_screen_a,https://doi.org/10.5061/dryad.13bp2
10.5061/dryad.144h1s1,"Data from: Extraocular motoneuron pools develop along a dorsoventral axis in zebrafish, Danio rerio","[""orbit""]",include,,,excluded_out_of_scope_or_false_positive,,Zebrafish extraocular motoneuron developmental figure archives are basic neurodevelopmental research rather than a translational ocular resource.,scope_screen_a,https://doi.org/10.5061/dryad.144h1s1
10.5061/dryad.163mp,Data from: Rat retinal vasomotion assessed by laser speckle imaging,"[""retinal""]",include,,,included_new_record,dryad_retinal_vasomotion,Rat retinal laser-speckle measurements are a defined ocular vascular-imaging method resource.,scope_screen_a,https://doi.org/10.5061/dryad.163mp
10.5061/dryad.18931zd2t,Data for: Prediction in cultured cortical neural networks,"[""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.18931zd2t
10.5061/dryad.18931zd46,Additional morphometrical and ecological data collected during the 2018 expedition of the UMMZ in Nicaragua,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.18931zd46
10.5061/dryad.1c05010,Data from: Perceived shift of the centres of contracting and expanding optic flow fields: different biases in the lower-right and upper-right visual quadrants,"[""\""visual field\""""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1c05010
10.5061/dryad.1c59zw3sc,Data from: Insights in the diagnosis of a retinal arteriovenous malformation,"[""\""anterior segment\"""", ""angiography"", ""macular"", ""ophthalmology"", ""orbit"", ""retinal""]",needs_manual_review,,,excluded_insufficient_reusable_ophthalmic_data,,"The deposit documents one 15-year-old case report with ophthalmic images, so it is an insufficiently characterized case supplement rather than a reusable cohort resource.",deferred_resolution,https://doi.org/10.5061/dryad.1c59zw3sc
10.5061/dryad.1d64r,Data from: Infection with Haemoproteus iwa affects vector movement in a hippoboscid fly – frigatebird system,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1d64r
10.5061/dryad.1dm02,Data from: Identifying the core components of emotional intelligence: evidence from amplitude of low-frequency fluctuations during resting state,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1dm02
10.5061/dryad.1f1rc,Data from: Error-robust modes of the retinal population code,"[""retina"", ""retinal""]",include,,,excluded_out_of_scope_or_false_positive,,Salamander retinal population coding is general visual neuroscience without a stated ophthalmic disease or translational imaging use.,scope_screen_a,https://doi.org/10.5061/dryad.1f1rc
10.5061/dryad.1g1jwstzs,Comparison of allosteric signaling in DnaK and BiP using mutual information between simulated residue conformations,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1g1jwstzs
10.5061/dryad.1g1jwsv8g,"Data from: North American barn swallows pair, mate, and interact assortatively","[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1g1jwsv8g
10.5061/dryad.1g1jwsv9d,Retinal calcium waves coordinate uniform tissue patterning of the Drosophila eye,"[""retinal""]",include,,,excluded_insufficient_reusable_ophthalmic_data,,"Workbook set is organized solely as article figure panels, without a separately documented reusable data object.",strict_screen_a,https://doi.org/10.5061/dryad.1g1jwsv9d
10.5061/dryad.1g23q,Data from: Diagnostic value of transthoracic echocardiography in patients with coarctation of aorta: the Chinese experience in 53 patients studied between 2008 and 2012 in one major medical center,"[""angiography""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1g23q
10.5061/dryad.1g6vm34,"Data from: Ophthalmologic evaluation of severely obese patients undergoing bariatric surgery: a pilot, monocentric, prospective, open-label study","[""\""optical coherence tomography\"""", ""macular"", ""ophthalmology"", ""retinal""]",include,,,included_new_record,dryad_bariatric_ophthalmology,Longitudinal human ophthalmic and OCT measurements in the bariatric cohort are directly reusable clinical data.,scope_screen_a,https://doi.org/10.5061/dryad.1g6vm34
10.5061/dryad.1gm77f6,Data from: Number of neighbors instead of group size significantly affects individual vigilance levels in large animal aggregations,"[""\""visual field\""""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1gm77f6
10.5061/dryad.1h272,Data from: The opsin genes of Amazonian cichlids,"[""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1h272
10.5061/dryad.1j1f3,Data from: Sexual dimorphism and retinal mosaic diversification following the evolution of a violet receptor in butterflies,"[""retinal""]",exclude,,,excluded_insufficient_reusable_ophthalmic_data,,Retina term is not sufficient here to establish a distinct reusable eye-data resource from the supplied metadata.,broad_screen,https://doi.org/10.5061/dryad.1j1f3
10.5061/dryad.1jwstqk8h,Supplementary data from: Early vertebrate biomineralisation and eye structure determined by synchrotron X-ray analyses of Silurian jawless fish,"[""retinal""]",include,,,excluded_insufficient_reusable_ophthalmic_data,,"Deposit contains only a supplementary-information PDF and README for fossil research, not reusable ocular data.",strict_screen_a,https://doi.org/10.5061/dryad.1jwstqk8h
10.5061/dryad.1kf36,Data from: Dendritic network structure and dispersal affect temporal dynamics of diversity and species persistence,"[""glaucoma""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1kf36
10.5061/dryad.1kv63,Data from: Loss of reproductive output caused by an invasive species,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1kv63
10.5061/dryad.1n50q,Data from: Axial myopia is associated with visual field prognosis of primary open-angle glaucoma,"[""\""visual field\"""", ""glaucoma"", ""perimetry""]",include,,,included_new_record,dryad_myopia_glaucoma_visual_field,The 270-eye glaucoma visual-field dataset directly supports prognosis and progression analysis.,scope_screen_a,https://doi.org/10.5061/dryad.1n50q
10.5061/dryad.1pj40,Data from: A qualitative study exploring the health literacy issues in the care of Chinese American immigrants with diabetes,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1pj40
10.5061/dryad.1qh4c,"Data from: The core planar cell polarity gene, Vangl2, directs adult corneal epithelial cell alignment and migration","[""cornea"", ""corneal""]",include,,,excluded_insufficient_reusable_ophthalmic_data,,"Prism/figure files are paper-specific supporting materials, not a distinct corneal data resource.",strict_screen_a,https://doi.org/10.5061/dryad.1qh4c
10.5061/dryad.1rn8pk0wz,"Functional and ecomorphological evolution of orbit shape in Mesozoic archosaurs is driven by body size and diet: Geometric morphometric data, 3D models (stl files), FEA models (Hypermesh, Abaqus files)","[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1rn8pk0wz
10.5061/dryad.1rn8pk11k,Data from: Current-induced switching of a van der Waals ferromagnet at room temperature,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1rn8pk11k
10.5061/dryad.1rn8pk13p,Supplementary data from: 2'-O-Galloylhyperin prevents tissue remodeling in thyroid eye disease: prospects as a thyrotropin receptor antagonist,"[""\""thyroid eye\"""", ""orbit""]",needs_manual_review,,,excluded_insufficient_reusable_ophthalmic_data,,A small generic Data.zip/README supplementary deposit does not identify a distinct reusable thyroid-eye-disease dataset beyond article support.,deferred_resolution,https://doi.org/10.5061/dryad.1rn8pk13p
10.5061/dryad.1v8kj,Data from: Nocturnality in Synapsids predates the origin of mammals by over 100 million years,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.1v8kj
10.5061/dryad.1vhhmgqp7,The functional organization of excitation and inhibition in the dendritic arbors of retinal direction-selective ganglion cells,"[""retinal""]",include,,,excluded_insufficient_reusable_ophthalmic_data,,Figure-source spreadsheets are article support files without a separately described reusable retinal resource.,strict_screen_a,https://doi.org/10.5061/dryad.1vhhmgqp7
10.5061/dryad.1zcrjdfq7,"Eye size and investment in frogs and toads correlate with adult habitat, activity pattern and breeding ecology","[""corneal""]",include,,,excluded_out_of_scope_or_false_positive,,"Anuran eye-size ecology is comparative morphology without a clear ophthalmic modality, disease mechanism, or clinical method use.",scope_screen_a,https://doi.org/10.5061/dryad.1zcrjdfq7
10.5061/dryad.21705km,Data from: Convergent evolution of body color between sympatric freshwater fishes via different visual sensory evolution,"[""iris""]",include,,,excluded_insufficient_reusable_ophthalmic_data,,"Files are phylogenetic contigs for fish colour evolution, not direct ocular measurements or annotations.",strict_screen_a,https://doi.org/10.5061/dryad.21705km
10.5061/dryad.224h5kr,Data from: Pest suppression in cultivar mixtures is influenced by neighbor-specific plant-plant communication,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.224h5kr
10.5061/dryad.2280gb5qw,Data from: Are acute and acclimated thermal effects on metabolic rate modulated by cell size? A comparison between diploid and triploid zebrafish larvae,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.2280gb5qw
10.5061/dryad.2306t,Data from: Shear-induced orientational dynamics and spatial heterogeneity  in suspensions of motile phytoplankton,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.2306t
10.5061/dryad.23rj4pm,Data from: Bumblebee visual allometry results in locally improved resolution and globally improved sensitivity,"[""\""visual field\""""]",include,,,excluded_out_of_scope_or_false_positive,,Bumblebee visual allometry is comparative insect-eye ecology rather than an ophthalmic or translational ocular resource.,scope_screen_a,https://doi.org/10.5061/dryad.23rj4pm
10.5061/dryad.245j1p8,Data from: Predicted tracking error triggers catch-up saccades during smooth pursuit,"[""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.245j1p8
10.5061/dryad.246qg,Data from: Transformation of stimulus correlations by the retina,"[""retina"", ""retinal""]",include,,,excluded_out_of_scope_or_false_positive,,Retinal responses to artificial/natural stimuli in salamander are general visual-neuroscience data without a translational ocular use.,scope_screen_a,https://doi.org/10.5061/dryad.246qg
10.5061/dryad.24732,Data from: Near absence of differential gene expression in the retina of rainbow trout after exposure to a magnetic pulse: implications for magnetoreception,"[""retina""]",include,,,excluded_out_of_scope_or_false_positive,,"Rainbow-trout retinal magnetoreception transcriptomics is comparative sensory biology, not an ophthalmic disease or method resource.",scope_screen_a,https://doi.org/10.5061/dryad.24732
10.5061/dryad.2547d7wpr,Quantum interference between spin-orbit split partial waves in the F+HD→HF+D reaction,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",broad_screen,https://doi.org/10.5061/dryad.2547d7wpr
10.5061/dryad.26530,Data from: Macroevolutionary and morphofunctional patterns in theropod skulls: a morphometric approach,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.26530
10.5061/dryad.27812c7,Data from: Reconstruction of larval origins based on genetic relatedness and biophysical modeling,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.27812c7
10.5061/dryad.27m63,Data from: Vascular patterns in iguanas and other squamates: blood vessels and sites of thermal exchange,"[""orbit""]",include,,,excluded_out_of_scope_or_false_positive,,General iguana head vascular CT deposit is not an ocular resource despite eye-adjacent anatomy.,strict_screen_a,https://doi.org/10.5061/dryad.27m63
10.5061/dryad.27sk4,Data from: Patients’ subjective assessment of the duration of cataract surgery: a case series,"[""cataract""]",exclude,,,excluded_insufficient_reusable_ophthalmic_data,,"Ocular keyword hit, but title/metadata does not establish a distinct reusable eye or ophthalmology data resource.",broad_screen,https://doi.org/10.5061/dryad.27sk4
10.5061/dryad.280gb5mtf,Multiple rod layers increase the speed and sensitivity of vision in nocturnal reef fishes,"[""retina"", ""retinal""]",include,,,excluded_out_of_scope_or_false_positive,,Reef-fish multibank-retina measurements are comparative visual ecology without a clear translational ophthalmic application.,scope_screen_a,https://doi.org/10.5061/dryad.280gb5mtf
10.5061/dryad.280gb5mxc,"Structural, electronic, and magnetic properties of CrTe2","[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.280gb5mxc
10.5061/dryad.29j22tt,Data from: Visual approach computation in feeding hoverflies,"[""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Vision/behaviour search hit without direct ocular or ophthalmic data in the repository metadata.,broad_screen,https://doi.org/10.5061/dryad.29j22tt
10.5061/dryad.2fqz612kr,Parallel CRISPR-Cas9 screens clarify impacts of p53 on screen performance,"[""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.2fqz612kr
10.5061/dryad.2fqz612mk,"Data from: Global vegetation patterns of the past 140,000 years","[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.2fqz612mk
10.5061/dryad.2fqz612r4,Factors associated with coronary heart disease in COPD patients and controls,"[""angiography""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.2fqz612r4
10.5061/dryad.2fqz612x7,Eccentric orbits may enhance the habitability of Earth-like exoplanets,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",broad_screen,https://doi.org/10.5061/dryad.2fqz612x7
10.5061/dryad.2gn8c,Data from: Oxidative stress-mediated NFκB phosphorylation upregulates p62/SQSTM1 and promotes retinal pigmented epithelial cell survival through increased autophagy,"[""macular"", ""retina"", ""retinal""]",include,,,excluded_insufficient_reusable_ophthalmic_data,,The sole generic supporting-data archive contains paper-associated assays and slides without a separately defined reusable RPE resource.,deferred_resolution,https://doi.org/10.5061/dryad.2gn8c
10.5061/dryad.2jm63xskb,Ventral motion parallax enhances fruit fly steering to visual sideslip,"[""\""visual field\""""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.2jm63xskb
10.5061/dryad.2jm63xt1s,"Data from: Comprehensive first principles study on CO and NO gas adsorption effects on the structural, electronic, and optical properties of ASiSn nanoribbons","[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.2jm63xt1s
10.5061/dryad.2jm63xt35,Type I hair cells of striolar and central zones in vestibular organs are essential for head stability and postural control,"[""ocular""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.2jm63xt35
10.5061/dryad.2jn03,Data from: The flashlight fish Anomalops katoptron uses bioluminescent light to detect prey in the dark,"[""ocular""]",include,,,excluded_out_of_scope_or_false_positive,,Flashlight-fish blink and light-organ data concern animal foraging behavior rather than an ophthalmic modality or disease mechanism.,scope_screen_a,https://doi.org/10.5061/dryad.2jn03
10.5061/dryad.2k4v4,Data from: Measurement of systemic mitochondrial function in advanced primary open-angle glaucoma and Leber hereditary optic neuropathy,"[""glaucoma"", ""retinal""]",include,,,included_new_record,dryad_glaucoma_lhon_mitochondrial,Systemic mitochondrial-function measurements are directly linked to human glaucoma and LHON disease mechanisms.,scope_screen_a,https://doi.org/10.5061/dryad.2k4v4
10.5061/dryad.2rbnzs7jm,"Ectopic expression of BBS1 rescues male infertility, but not retinal degeneration, in a BBS1 mouse model ","[""\""optical coherence tomography\"""", ""retinal""]",include,,,included_new_record,dryad_bbs1_retinal_degeneration,"BBS1 mouse data include retinal-degeneration and OCT phenotypes, making it a direct disease-mechanism resource.",scope_screen_a,https://doi.org/10.5061/dryad.2rbnzs7jm
10.5061/dryad.2rbnzs7m4,Quantitative analysis of optical coherence tomography for neovascular age-related macular degeneration using deep learning,"[""\""optical coherence tomography\"""", ""macular"", ""ophthalmology"", ""retina"", ""retinal""]",exclude,dryad_namd_oct_quant,exact_duplicate,existing_catalog_record,,Exact Dryad DOI already cataloged as dryad_namd_oct_quant.,broad_screen_exact_catalog_doi_match,https://doi.org/10.5061/dryad.2rbnzs7m4
10.5061/dryad.2v6wwq02w,Data from: Structural and mechanical properties facilitate shock wave damping by helmet-like orbital hoods in snapping shrimp,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",broad_screen,https://doi.org/10.5061/dryad.2v6wwq02w
10.5061/dryad.2v7m744,Data from: Longitudinal optic neuritis-unrelated visual evoked potential changes in NMO spectrum disorders,"[""ophthalmology""]",include,,,excluded_insufficient_reusable_ophthalmic_data,,"Deposit provides only supplemental-figure PDFs, with no reusable VEP table or signal archive.",strict_screen_a,https://doi.org/10.5061/dryad.2v7m744
