doi,title,prior_decision,scope_decision,rationale,normalized_primary_category,normalized_tasks,primary_quantity_count,primary_quantity_unit,research_object_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.1zcrjdfq7,"Eye size and investment in frogs and toads correlate with adult habitat, activity pattern and breeding ecology",add_now,exclude_scope,"Anuran eye-size ecology is comparative morphology without a clear ophthalmic modality, disease mechanism, or clinical method use.",external_eye,measurement,640,specimens,"Defined object exists, but scope is excluded.",https://doi.org/10.1098/rspb.2020.1393,5,6,656860,,no_documented_catalog_relationship,high
10.5061/dryad.23rj4pm,Data from: Bumblebee visual allometry results in locally improved resolution and globally improved sensitivity,add_now,exclude_scope,Bumblebee visual allometry is comparative insect-eye ecology rather than an ophthalmic or translational ocular resource.,external_eye,measurement,8,specimens,"Numeric primary quantity: eight specimens, but scope is excluded.",https://doi.org/10.7554/eLife.40613,1,4,59991139,,no_documented_catalog_relationship,high
10.5061/dryad.246qg,Data from: Transformation of stimulus correlations by the retina,add_now,exclude_scope,Retinal responses to artificial/natural stimuli in salamander are general visual-neuroscience data without a translational ocular use.,electrophysiology,classification,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1371/journal.pcbi.1003344,1,8,638548041,,no_documented_catalog_relationship,high
10.5061/dryad.24732,Data from: Near absence of differential gene expression in the retina of rainbow trout after exposure to a magnetic pulse: implications for magnetoreception,add_now,exclude_scope,"Rainbow-trout retinal magnetoreception transcriptomics is comparative sensory biology, not an ophthalmic disease or method resource.",omics,classification,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1098/rsbl.2018.0209,1,10,602881490,,no_documented_catalog_relationship,high
10.5061/dryad.280gb5mtf,Multiple rod layers increase the speed and sensitivity of vision in nocturnal reef fishes,add_now,exclude_scope,Reef-fish multibank-retina measurements are comparative visual ecology without a clear translational ophthalmic application.,electrophysiology,measurement,3,species,"Numeric primary quantity: three species, but scope is excluded.",https://doi.org/10.1098/rspb.2023.1749,8,5,26748,,no_documented_catalog_relationship,high
10.5061/dryad.2jn03,Data from: The flashlight fish Anomalops katoptron uses bioluminescent light to detect prey in the dark,add_now,exclude_scope,Flashlight-fish blink and light-organ data concern animal foraging behavior rather than an ophthalmic modality or disease mechanism.,external_eye,measurement,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1371/journal.pone.0170489,1,1,968028,,no_documented_catalog_relationship,high
10.5061/dryad.2k4v4,Data from: Measurement of systemic mitochondrial function in advanced primary open-angle glaucoma and Leber hereditary optic neuropathy,add_now,core_add,Systemic mitochondrial-function measurements are directly linked to human glaucoma and LHON disease mechanisms.,omics,regression,unknown,unknown,Defined object: named mitochondrial-function data archive with official usage notes.,https://doi.org/10.1371/journal.pone.0140919,1,1,14688,,no_documented_catalog_relationship,high
10.5061/dryad.2rbnzs7jm,"Ectopic expression of BBS1 rescues male infertility, but not retinal degeneration, in a BBS1 mouse model ",add_now,adjacent_add,"BBS1 mouse data include retinal-degeneration and OCT phenotypes, making it a direct disease-mechanism resource.",oct,regression,unknown,unknown,Defined object: TG_Raw_Data.xlsx with eye-specific OCT notes.,https://doi.org/10.1038/s41434-021-00241-1,6,1,58847,,no_documented_catalog_relationship,medium
10.5061/dryad.2z34tmpnc,Visual pursuit behavior in mice maintains the pursued prey on the retinal region with least optic flow,add_now,exclude_scope,"Mouse prey-pursuit reconstruction is non-ocular behavior/vision research, not a defined ophthalmic imaging or disease resource.",eye_tracking,gaze_estimation,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.7554/eLife.70838,4,5,995489475,,no_documented_catalog_relationship,high
10.5061/dryad.32j0040,Data from: The evolution of iris colour in relation to nocturnality in owls,add_now,exclude_scope,Owl iris-colour evolution is comparative ecology rather than ocular biometrics or translational ophthalmology.,external_eye,classification,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1111/jav.01908,1,1,20684,,no_documented_catalog_relationship,high
10.5061/dryad.33kh1,Data from: Eye and head movements are complementary in visual selection,add_now,adjacent_add,The human gaze-contingent experiment provides a defined eye-tracking research object for ocular-motor measurement.,eye_tracking,gaze_estimation|measurement,unknown,unknown,Defined object: eye/head angular-distribution spreadsheet with official variable description.,https://doi.org/10.1098/rsos.160569,1,1,82791,,no_documented_catalog_relationship,medium
10.5061/dryad.37pvmcvzx,Data from: Bulk-seq results from peripheral blood mononuclear cells (PBMCs) of VKH patients and proteomic profiling of shAPOE-transduced HMC3 cells were employed to uncover potential downstream targets of APOE,add_now,core_add,VKH PBMC transcriptomics and proteomics are a direct translational uveitis biomarker resource.,omics,classification,unknown,unknown,"Defined objects: VKH_Bulk-seq.zip, Proteomics.zip, differential-expression tables, and README.",unknown,3,5,68879258875,,no_documented_catalog_relationship,high
10.5061/dryad.3b65k44,Data from: Reverting ontogeny: rapid phenotypic plasticity of color vision in cichlid fish,add_now,exclude_scope,Cichlid opsin-expression plasticity is comparative visual biology without a specified ophthalmic disease or method application.,omics,classification,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1098/rsos.190841,1,1,30387,,no_documented_catalog_relationship,high
10.5061/dryad.3cp54,"Data from: Analysis of potential ischemic effect of intravitreal bevacizumab on unaffected retina in treatment-naïve macular edema due to branch retinal vein occlusion: a prospective, interventional case-series",add_now,core_add,"The 27-eye BRVO archive contains named OCT, fluorescein, and mfERG research objects for retinal treatment analysis.",multimodal,regression|measurement,27,eyes,Numeric primary quantity: 27 eyes in the official description.,https://doi.org/10.1371/journal.pone.0162533,1,3,61440336,,no_documented_catalog_relationship,high
10.5061/dryad.3gq6t,Data from: Zinc supplementation inhibits complement activation in age-related macular degeneration,add_now,core_add,AMD complement/zinc clinical-trial data directly support human retinal disease biomarker and outcome analysis.,omics,regression,72,participants,Numeric primary quantity: 72 participants in the official description.,https://doi.org/10.1371/journal.pone.0112682,1,2,62634,,no_documented_catalog_relationship,high
10.5061/dryad.3tx95x6n6,"Data from: Two genes, one culprit - a functional candidate validation of a <em>SPATA7</em> deletion in dogs with day blindness/retinal degeneration",add_now,adjacent_add,Canine SPATA7 sequencing and retinal-degeneration data are a defined inherited-retinal-disease mechanism resource.,omics,classification,unknown,unknown,Defined objects: genotype/sequence files and README.,https://doi.org/10.1371/journal.pgen.1011961,4,5,34380282367,,no_documented_catalog_relationship,medium
10.5061/dryad.3vv31qq,Data from: Mutation in the intracellular chloride channel CLCC1 associated with autosomal recessive retinitis pigmentosa,add_now,core_add,Human retinitis-pigmentosa WES/SNP data from eight families directly support inherited-retinal-disease analysis.,omics,classification,8,families,Numeric primary quantity: eight families in the official description.,https://doi.org/10.1371/journal.pgen.1007504,1,1,36607394,,no_documented_catalog_relationship,high
10.5061/dryad.3xsj3txbr,Microhabitat partitioning correlates with opsin gene expression in coral reef cardinalfishes (Apogonidae),add_now,exclude_scope,Cardinalfish microhabitat and opsin analyses are comparative visual ecology rather than a translational ocular resource.,omics,regression,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1111/1365-2435.13529,2,13,3313628,,no_documented_catalog_relationship,high
10.5061/dryad.444s1,Data from: UV wavelengths experienced during development affect larval newt visual sensitivity and predation efficiency,add_now,exclude_scope,Newt visual sensitivity and predation experiments are comparative behavioral ecology rather than ophthalmology.,omics,classification,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1098/rsbl.2015.0954,1,3,38086,,no_documented_catalog_relationship,high
10.5061/dryad.475bv7s,Data from: Predation selects for smaller eye size in a vertebrate: effects of environmental conditions and sex,add_now,exclude_scope,Perch eye-size predator-selection data are comparative ecology without a clear ocular clinical or method route.,external_eye,regression,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1098/rspb.2018.2625,1,4,93161,,no_documented_catalog_relationship,high
10.5061/dryad.47d7wm3kx,An ON-type direction selective ganglion cell in primate retina,add_now,adjacent_add,"Primate ON-DSGC transcriptomic and retinal physiology archives are a defined, translationally relevant retinal-cell resource.",electrophysiology,classification|measurement,unknown,unknown,"Defined objects: eight EDF archives, figure data archives, and README.",https://doi.org/10.1038/s41586-023-06659-4,4,13,64655258350,,no_documented_catalog_relationship,medium
10.5061/dryad.47d7wm3tz,Cone bipolar cell synapses generate transient versus sustained signals in parallel ON pathways of the mouse retina,add_now,exclude_scope,Mouse bipolar-cell circuit experiments are general visual neuroscience without a stated disease mechanism or clinical imaging method.,electrophysiology,measurement,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.7554/elife.98817.3,5,7,1519297,,no_documented_catalog_relationship,high
10.5061/dryad.4fn70,Data from: The effect of Speed of Processing training on microsaccade magnitude,add_now,exclude_scope,Microsaccade changes after cognitive training are general behavioral research rather than an ophthalmic or ocular-biometric resource.,eye_tracking,measurement,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1371/journal.pone.0107808,1,2,755249031,,no_documented_catalog_relationship,high
10.5061/dryad.4j0zpc8mm,Data from: Biomarker detection and validation for corneal involvement in patients with acute infectious conjunctivitis: A multi-country study,add_now,core_add,Human conjunctivitis count matrices and sample metadata are direct corneal-disease biomarker data.,omics,classification,unknown,unknown,"Defined objects: raw count CSV, sample table, gene map, and README.",https://doi.org/10.1001/jamaophthalmol.2024.2891,3,4,8983041,,no_documented_catalog_relationship,high
10.5061/dryad.4mw6m906b,Data from: The Moorfields AMD database report 2 - fellow eye involvement with neovascular age-related macular degeneration,add_now,core_add,The Moorfields nAMD fellow-eye dataset is direct human retinal-disease longitudinal outcome data.,tabular,prognosis|regression,6265,patients,"Numeric primary quantity: 6,265 patients in the official description.",https://doi.org/10.1136/bjophthalmol-2019-314446,7,2,15505168,dryad_namd_oct_quant;dryad_namd_visual_prediction,shared_source_cohort_distinct_outcome_task,high
10.5061/dryad.4mw6m90d7,Ocular lens morphology is influenced by ecology and metamorphosis in frogs and toads,add_now,exclude_scope,Anuran lens morphology relates to ecology/metamorphosis and lacks a clear translational ophthalmic use.,external_eye,measurement,179,scans,"Numeric primary quantity: 179 microCT scans, but scope is excluded.",https://doi.org/10.1098/rspb.2022.0767,4,2,128490,,no_documented_catalog_relationship,high
10.5061/dryad.4p55b,Data from: Outcomes of cataract surgery in urban and rural population in the South Indian State of Andhra Pradesh: Rapid Assessment of Visual Impairment (RAVI) Project,add_now,core_add,RAVI cataract-surgery outcomes are direct human ophthalmic population data.,tabular,regression,1228,eyes,"Numeric primary quantity: 1,228 eyes in the official description.",https://doi.org/10.1371/journal.pone.0167708,1,1,1216284,,no_documented_catalog_relationship,high
10.5061/dryad.4qrfj6qm8,Larval salamander retinal population data in response to natural movies from the Chicago Motion Database,add_now,exclude_scope,Salamander retinal natural-movie recordings are general neural-coding data without a stated ophthalmic translation.,electrophysiology,classification,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1073/pnas.2313676121,3,8,1950953657,,no_documented_catalog_relationship,high
10.5061/dryad.4xgxd2593,The cell adhesion molecule Sdk1 shapes assembly of a retinal circuit that detects localized edges,add_now,exclude_scope,Mouse retinal edge-circuit experiments are general visual neuroscience rather than a disease-mechanism or ophthalmic method resource.,cell_microscopy,measurement,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.7554/eLife.70870,3,2,3453042981,,no_documented_catalog_relationship,high
10.5061/dryad.56f1h,Data from: Quantitative analysis of fundus-image sequences reveals phase of spontaneous venous pulsations,add_now,core_add,Twelve human fundus-image sequences are a direct ocular imaging resource for venous-pulsation measurement.,fundus,vessel_analysis|measurement,12,sequences,Numeric primary quantity: 12 fundus sequences in the official usage notes.,https://doi.org/10.1167/tvst.4.5.3,1,2,118583295,,no_documented_catalog_relationship,high
10.5061/dryad.58791,Data from: Retinal capillary rarefaction in patients with type 2 diabetes mellitus,add_now,core_add,The human diabetic retinal-capillary case-control measurements directly support retinal vascular analysis.,fundus,vessel_analysis|regression,73,participants,Numeric primary quantity: 73 diabetic participants in the official description.,https://doi.org/10.1371/journal.pone.0162608,1,1,54983,,no_documented_catalog_relationship,high
10.5061/dryad.597ch,Data from: Comprehensive analysis of vitreous specimens for uveitis classification: a prospective multicentre observational study,add_now,core_add,The prospective multicentre uveitis vitreous biomarker table is direct human ocular disease data.,omics,classification,234,eyes,Numeric primary quantity: 234 eyes in the official description.,https://doi.org/10.1136/bmjopen-2016-014549.,1,1,74836,,no_documented_catalog_relationship,high
10.5061/dryad.59zw3r2b7,Analysis of rod-cone dystrophy genes reveals unique mutational patterns,add_now,core_add,Rod-cone-dystrophy mutation association files are a direct inherited-retinal-disease genomics resource.,omics,classification,unknown,unknown,"Defined objects: association CSV, labels file, and README.",https://doi.org/10.1136/bmjos-2022-100291,7,3,69576,,no_documented_catalog_relationship,high
10.5061/dryad.59zw3r2bk,Utility of standard diffusion-weighted magnetic resonance imaging for the identification of ischemic optic neuropathy in giant cell arteritis,add_now,core_add,Optic-nerve diffusion-MRI assessment data directly support ischemic optic-neuropathy classification.,multimodal,classification,37,scans,Numeric primary quantity: 37 scans in the official description.,https://doi.org/10.1038/s41598-022-20916-y,4,2,695487,,no_documented_catalog_relationship,high
10.5061/dryad.5bc8vd7,Data from: Zebrafish differentially process colour across visual space to match natural scenes,add_now,exclude_scope,Zebrafish natural-scene retinal processing is basic visual neuroscience without a specific translational ocular method or disease aim.,electrophysiology,classification,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1016/j.cub.2018.04.075,1,4,553198835,,no_documented_catalog_relationship,high
10.5061/dryad.5dn13,Data from: Significant correlation between retinal venous tortuosity and aqueous vascular endothelial growth factor concentration in eyes with central retinal vein occlusion,add_now,core_add,The 32-eye CRVO tortuosity/VEGF table is direct human retinal vascular disease data.,tabular,regression,32,eyes,Numeric primary quantity: 32 eyes in the official description.,https://doi.org/10.1371/journal.pone.0134267,1,1,18399,,no_documented_catalog_relationship,high
10.5061/dryad.5qfttdz19,Association of cataract and sun exposure in geographically diverse populations of India: the case study. first report of the ICMR-EYE SEE study group,add_now,core_add,The large Indian cataract/UV exposure survey is direct human ophthalmic epidemiology data.,tabular,regression,9735,participants,"Numeric primary quantity: 9,735 participants in the official description.",https://doi.org/10.1371/journal.pone.0227868,6,2,2438708,,no_documented_catalog_relationship,high
10.5061/dryad.5qfttdz5d,WES of the proband with a novel RPGR mutation,add_now,core_add,The paired FASTQ files represent a defined human RPGR cone-rod-dystrophy sequencing object.,omics,classification,1,sequencing_samples,Numeric primary quantity: one sequencing sample/proband in the official description.,https://doi.org/10.1186/s12886-021-02166-0,2,2,4478935663,,no_documented_catalog_relationship,high
10.5061/dryad.5t9d1,Data from: Long-term visual outcomes of secondary intraocular lens implantation in children with congenital cataract,add_now,core_add,The pediatric secondary-IOL spreadsheet is a defined direct clinical ophthalmic outcome object.,tabular,regression,unknown,unknown,Defined object: Data for secondary IOL implantation.xlsx with official usage description.,https://doi.org/10.1371/journal.pone.0134864,1,1,21814,,no_documented_catalog_relationship,high
10.5061/dryad.612jm649r,Data from: Plane wave Doppler determination of blood flow in retinopathy of prematurity,add_now,core_add,The ROP Doppler examination table is a defined direct neonatal retinal measurement resource.,tabular,measurement,unknown,unknown,Defined object: ROP_by_exam_shared2.sav and README.,unknown,4,2,33701,,no_documented_catalog_relationship,high
10.5061/dryad.69p8cz982,Multimodal mucosal and systemic immune characterization of a non-human primate trachoma model highlights the critical role of local immunity during acute phase disease ,add_now,adjacent_add,The nonhuman-primate trachoma immune archive is a defined ocular infection disease-model resource with translational relevance.,omics,classification,unknown,unknown,Defined objects: data_main_folder.zip and README.,https://doi.org/10.1371/journal.pntd.0012388,3,2,1715551877,,no_documented_catalog_relationship,medium
10.5061/dryad.6cp6f,Data from: Controlled iris radiance in a diurnal fish looking at prey,add_now,exclude_scope,Fish iris-radiance experiments concern visual foraging behavior rather than an ocular biometric or ophthalmic method resource.,external_eye,measurement,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1098/rsos.170838,1,4,448698,,no_documented_catalog_relationship,high
10.5061/dryad.6djh9w17c,Data for: Global frequency analyses of canine progressive rod-cone degeneration–progressive retinal atrophy and collie eye anomaly using commercial genetic testing data,add_now,adjacent_add,"Canine PRA/CEA genotype data are a large, defined inherited-eye-disease resource relevant to disease mechanisms.",omics,demographic_analysis|classification,86667,genotypes,"Numeric primary quantity: 86,667 PRCD genotypes in the official description.",https://doi.org/10.3390/genes14112093,5,2,5825605,,no_documented_catalog_relationship,medium
10.5061/dryad.6kg1sd7,Data from: Association of diabetic retinopathy and diabetic macular edema with renal function in southern Chinese patients with type 2 diabetes mellitus: a single-center observational study,add_now,core_add,The 413-patient diabetic-retinopathy/macular-edema table is direct human ophthalmic clinical data.,tabular,classification|regression,413,participants,Numeric primary quantity: 413 participants in the official description.,https://doi.org/10.1136/bmjopen-2019-031194,1,1,202240,,no_documented_catalog_relationship,high
10.5061/dryad.6t1g1jx9s,Comparison of antimicrobial resistance genes on the ocular surface of patients with corneal infections in California and Malawi,add_now,core_add,Per-patient ocular-surface AMR counts and metadata are direct human keratitis translational data.,omics,classification,unknown,unknown,"Defined objects: per-patient AMR CSV, metadata CSV, and README.",https://doi.org/10.1093/inthealth/ihaf042,7,3,12880,,no_documented_catalog_relationship,high
10.5061/dryad.71hp4,"Data from: Cataract surgery visual outcomes and associated risk factors in secondary level eye care centers of L V Prasad Eye Institute, India",add_now,core_add,"The 2,049-surgery cataract outcome file is direct human ophthalmic care data.",tabular,regression,2049,surgeries,"Numeric primary quantity: 2,049 surgeries in the official description.",https://doi.org/10.1371/journal.pone.0144853,1,1,452222,,no_documented_catalog_relationship,high
10.5061/dryad.76hdr7t64,Data from: Phagocytosed photoreceptor outer segment particles within the retinal pigment epithelium show diurnal rhythmicity and variation between cone subtypes in larval zebrafish,add_now,adjacent_add,Zebrafish retinal/RPE phagosome data are a defined retinal-degeneration mechanism resource.,cell_microscopy,counting|measurement,unknown,unknown,Defined objects: Dataset_.zip and README.,https://doi.org/10.1096/fj.202500211R,3,2,6627585574,,no_documented_catalog_relationship,medium
10.5061/dryad.7pvmcvf8d,Plasma metabolomes of aged rhesus macaques with and without maculopathies,add_now,adjacent_add,Rhesus maculopathy plasma-metabolome workbook is a defined nonhuman-primate AMD-model biomarker resource.,omics,classification,unknown,unknown,Defined objects: NHPPDDrusen.xlsx and README.,unknown,8,2,659872,,no_documented_catalog_relationship,medium
10.5061/dryad.7q37g6b,Data from: All-optical recording and stimulation of retinal neurons in vivo in retinal degeneration mice,add_now,adjacent_add,Mouse all-optical retinal recording/stimulation archive is a defined retinal-degeneration imaging and therapy-method resource.,adaptive_optics,measurement|evaluation,unknown,unknown,Defined objects: DataArchive.zip and README.,https://doi.org/10.1371/journal.pone.0194947,1,2,221621774,,no_documented_catalog_relationship,medium
10.5061/dryad.7q5c7,Data from: Gendered disparities in quality of cataract surgery in a marginalised population in Pakistan: the Karachi marine fishing communities eye and general health survey,add_now,core_add,Karachi cataract-surgery quality data are direct human ophthalmic population outcomes.,tabular,regression,145,eyes,Numeric primary quantity: 145 operated eyes in the official description.,https://doi.org/10.1371/journal.pone.0131774,1,1,8591,,no_documented_catalog_relationship,high
10.5061/dryad.7sqv9s4pm,Data from: Zebrafish retinal ganglion cells asymmetrically encode spectral and temporal information across visual space,add_now,exclude_scope,Zebrafish RGC spectral coding is general visual neuroscience without a disease-mechanism or ophthalmic imaging-method focus.,electrophysiology,classification,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1016/j.cub.2020.05.055,7,24,590616657,,no_documented_catalog_relationship,high
10.5061/dryad.7vn28,Data from: Upregulation of NLRP3 inflammasome in the tears and ocular surface of dry eye patients,add_now,core_add,"Dry-eye clinical, tear, and ocular-surface molecular data directly support human ocular-surface disease analysis.",omics,classification,150,participants,Numeric primary quantity: 150 participants in the official description.,https://doi.org/10.1371/journal.pone.0126277,1,1,283622,,no_documented_catalog_relationship,high
10.5061/dryad.7wm37pvt0,Distinct synaptic transfer functions in same-type photoreceptors,add_now,exclude_scope,Zebrafish photoreceptor synaptic physiology is general visual neuroscience without a stated translational disease or method use.,electrophysiology,measurement,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.7554/elife.67851,3,8,8866983,,no_documented_catalog_relationship,high
10.5061/dryad.84hc0,Data from: A novel system for bi-ocular eye-tracking in vertebrates with laterally placed eyes,add_now,adjacent_add,The bi-ocular vertebrate eye-tracking spreadsheets are a defined ocular-motor measurement-method resource.,eye_tracking,gaze_estimation|measurement,unknown,unknown,Defined objects: two eye-tracking outcome spreadsheets with official column metadata.,https://doi.org/10.1111/2041-210X.12249,1,2,108554,,no_documented_catalog_relationship,medium
