doi,title,decision,reason,modality,tasks,primary_quantity_count,primary_quantity_unit,quantity_evidence_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.rbnzs7hft,Motor recalibration of visual and saccadic maps,add_now,Raw human saccade-adaptation and perceptual-localization matrices are a reusable eye-movement resource.,eye_tracking,saccade_analysis|visual_localization,,,not stated in official deposit metadata,10.1098/rspb.2022.2566,5,6,189105,,,high
10.5061/dryad.rn38r,"Data from: Do picture-based charts overestimate visual acuity? Comparison of Kay Pictures, Lea Symbols, HOTV and Keeler logMAR charts with Sloan Letters in adults and children",add_now,Visual-acuity chart comparison data are directly reusable for ophthalmic acuity measurement.,tabular,visual_acuity_assessment,42,participants,official Dryad abstract (25 adults and 17 children),10.1371/journal.pone.0170839,1,1,37953,,,high
10.5061/dryad.rn8pk0p70,Socioeconomic status and decreasing incidence of ocular injuries in Bosnia and Herzegovina,add_now,Prospective ocular-injury clinical/epidemiology table is a distinct ophthalmic cohort resource.,tabular,ocular_trauma_epidemiology,,,not stated in official deposit metadata,10.1080/08820538.2021.1893350,11,3,871004,,,high
10.5061/dryad.rn8pk0pdp,"Detection of SARS-CoV-2 in conjunctival secretion and tears in patients with COVID-19 in a tertiary care centre, South India",add_now,Conjunctival and tear SARS-CoV-2 testing cohort is directly reusable ocular-surface clinical data.,tabular,diagnostic_assessment,80,patients,official Dryad abstract,10.12688/f1000research.123556.1,6,2,197569,,,high
10.5061/dryad.rn8pk0pmm,The c.119-123dup5bp mutation in human gamma-C-crystallin destabilizes the protein and activates the unfolded protein response to cause highly variable cataracts,add_now,Raw lens/cataract sequencing files are a distinct ocular-omics resource.,omics,gene_expression_analysis|variant_analysis,,,not stated in official deposit metadata,10.1038/s41598-025-90977-2,3,38,33285472018,,,high
10.5061/dryad.rr4xgxdc4,Cephalopod retinal development shows vertebrate-like mechanisms of neurogenesis: Multiple sequence alignments and phylogenetic trees,exclude,"Sequence alignments and phylogenetic trees are paper support, not a standalone ocular data resource.",,,,,not assessed (excluded),10.1016/j.cub.2022.10.027,4,21,1379310,,,high
10.5061/dryad.rs2qp,Data from: Inhibition decorrelates visual feature representations in the inner retina,add_now,Large raw retinal bipolar-cell functional-imaging matrices are a reusable retinal signal resource.,signals,retinal_signal_analysis,13000,bipolar_cell_terminals,"official Dryad abstract (more than 13,000 terminals; approximate)",10.1038/nature21394,2,12,31980086478,,,high
10.5061/dryad.rv15dv4bv,Late gene therapy limits the restoration of retinal function in a mouse model of retinitis pigmentosa,add_now,Raw microscopy and functional data for retinal gene-therapy timing form a distinct retinal-imaging resource.,cell_microscopy,retinal_regeneration_analysis,,,not stated in official deposit metadata,10.1038/s41467-023-44063-8,5,104,13737883499,,,high
10.5061/dryad.rv15dv4p6,Data from: Zeolitic imidazolate frameworks (ZIF-8) as a carrier in a topical ocular delivery system for the treatment of ocular diseases,exclude,Material-characterization figure/source tables for an ocular delivery paper are not a standalone ocular data resource.,,,,,not assessed (excluded),10.1371/journal.pone.0346473,3,13,946077,,,high
10.5061/dryad.s1rn8pkhb,Transcriptional responses in a mouse model of silicone wire embolization induced acute retinal artery Ischemia and Reperfusion,add_now,Retinal artery ischemia/reperfusion expression matrices are a distinct retinal-omics resource.,omics,gene_expression_analysis,,,not stated in official deposit metadata,10.7554/elife.98949.4,6,2,7907110,,,high
10.5061/dryad.s4mw6m9b0,Evolutionary insights into Felidae iris color through ancestral state reconstruction,add_now,Felid iris-color pixel and trait tables are a reusable ocular-phenotype resource.,tabular,iris_phenotyping,40,species,official Dryad methods,10.1016/j.isci.2024.110903,13,22,42135617,,,high
10.5061/dryad.s502854,Data from: Exploring the visual world of fossilized and modern fungus gnat eyes (Diptera: Keroplatidae) with X-ray microtomography,add_now,Micro-CT-derived insect eye data are a distinct ocular morphology resource.,medical_imaging,ocular_morphometry,,,not stated in official deposit metadata,10.1098/rsif.2019.0750,2,2,159228298,,,high
10.5061/dryad.sbcc2fr6n,Exploring phenotypic diversity of pigmented traits and iris features in Pakistani population,add_now,Iris-feature and pigmentation measurements from 514 people are a reusable ocular phenotype resource.,tabular,iris_phenotyping,514,participants,official Dryad methods,10.1098/rsos.150424,7,2,6562270,,,high
10.5061/dryad.sbcc2fr7r,Gender and age-related differences of ccular biometric parameters in patients undergoing cataract surgery in Bosnia and Herzegovina,add_now,Cataract-surgery ocular-biometry cohort has a distinct clinical measurement use.,tabular,ocular_biometry_analysis,1278,patients,official Dryad methods,10.1155/2023/1950257,8,2,1469701,,,high
10.5061/dryad.sf7m0cggh,Robust semi-automatic vessel tracing in the human retinal image by an instance segmentation neural network,add_now,Retinal vessel trace annotations/results are a meaningful annotation layer with a distinct task.,fundus,retinal_vessel_tracing,,,not stated in official deposit metadata,10.1126/sciadv.ado8268,9,5,117131,drive,derived_from,high
10.5061/dryad.sj3tx968w,The origin of blinking in both mudskippers and tetrapods is linked to life on land,add_now,Raw blinking videos provide a distinct ocular-surface behavior resource.,video,blink_analysis,,,not stated in official deposit metadata,10.1073/pnas.2220404120,3,5,3891336384,,,high
10.5061/dryad.sn02v6x2x,Data from: Corneal laser procedure for vision improvement in patients with late stage dry age-related macular degeneration,add_now,Clinical corneal-laser outcomes for late AMD constitute a distinct ophthalmic cohort table.,tabular,treatment_outcome_analysis,32,eyes,official Dryad abstract,10.12688/f1000research.27881.1,4,1,560050,,,high
10.5061/dryad.sqv9s4nhj,Data from: Evaluating the roles of signaling and camouflage in the evolution of iris color in <em>Tyranni</em> passerines,add_now,"Bird iris-color evolution data are a distinct ocular-phenotype resource, not an unmodified mirror.",tabular,iris_phenotyping,1000,species,"official Dryad abstract (over 1,000; approximate)",10.1093/evolut/qpaf228,4,2,510916,,,medium
10.5061/dryad.t0p2f2c,Data from: Cardinalfishes (Apogonidae) show visual system adaptations typical of nocturnally and diurnally active fish,add_now,Retinal opsin-expression and sequence data support a distinct comparative visual-system resource.,omics,gene_expression_analysis,,,not stated in official deposit metadata,10.1111/mec.15102,1,15,702562,,,high
10.5061/dryad.t8011,Data from: Real-time modulation of perceptual eye dominance in humans,exclude,"Single small workbook is article-level perceptual source data, not a standalone ocular research resource.",,,,,not assessed (excluded),10.1098/rspb.2014.1717,1,1,60421,,,high
10.5061/dryad.t960f,Data from: Determination of the genetic architecture underlying short wavelength sensitivity in Lake Malawi cichlids,exclude,Two small derived gene-expression tables are paper support rather than a reusable ocular resource.,,,,,not assessed (excluded),10.1093/jhered/esx020,1,2,32271,,,high
10.5061/dryad.tb2rbp0cq,Serial block face scanning electron micrographs of mouse outer retina,add_now,"358 serial block-face micrographs form a substantial, directly reusable outer-retina imaging resource.",cell_microscopy,retinal_ultrastructure_analysis,358,images,official Dryad file listing,10.1085/jgp.202413746,4,358,5051903547,,,high
10.5061/dryad.tdz08kq8t,"Sphingosine-1-phosphate signaling regulates the ability of Müller glia to become neurogenic, proliferating progenitor-like cells",add_now,Chick retinal single-cell sequencing archives form a reusable retinal glia/regeneration resource.,omics,single_cell_analysis|retinal_regeneration_analysis,21,archives,official Dryad file listing (data archives excluding README),10.1002/cne.25270,8,22,2018076463,,,high
10.5061/dryad.th8334d,Data from: Evolutionary signatures of photoreceptor transmutation in geckos reveal potential adaptation and convergence with snakes,add_now,Gecko eye transcriptome/expression archive is a distinct photoreceptor-omics resource.,omics,gene_expression_analysis,,,not stated in official deposit metadata,10.1111/evo.13810,1,5,87835519,,,high
10.5061/dryad.tmpg4f4vb,Effects of capsular tension ring on surgical outcomes of premium intraocular lens in patients with suspected zonular weakness,add_now,Cataract IOL surgery cohort table is a distinct ophthalmic treatment-outcome resource.,tabular,treatment_outcome_analysis,55,eyes,official Dryad abstract,10.1371/journal.pone.0228999,5,1,72304,,,high
10.5061/dryad.tqjq2bw21,"Optomotor response (eye movment) and avoidance responses (locomotor activity) of crabs Neohelice granulata for LP-lesioned, control lesioned and control crabs",exclude,Crab locomotor tracking lacks ocular measurements and the source videos are absent; visual-keyword collision.,,,,,not assessed (excluded),10.1098/rspb.2022.0812,3,119,16891334,,,high
10.5061/dryad.v3s00,Data from: The evolution of complexity in the visual systems of stomatopods: insights from transcriptomics,exclude,Small opsin contig supplement does not establish a separately reusable ocular research object.,,,,,not assessed (excluded),10.1093/icb/ict060,1,4,98175,,,medium
10.5061/dryad.v6wwpzgs5,‘The last channel’:  Vision at the temporal margin of the field,exclude,Human peripheral-vision psychophysics is not ophthalmology or ocular data under the catalog boundary.,,,,,not assessed (excluded),10.1098/rspb.2020.0607,1,4,27324,,,high
10.5061/dryad.v6wwpzh1b,Data from: Micropulse transscleral cyclophotocoagulation results in secondary glaucoma,add_now,Secondary-glaucoma treatment outcomes are a documented ophthalmic clinical cohort resource.,tabular,treatment_outcome_analysis,,,not stated in official deposit metadata,10.3390/life13051149,4,2,14771,,,high
10.5061/dryad.v9p0b,Data from: Retinal capillary rarefaction in patients with untreated mild-moderate hypertension,add_now,Retinal capillary measurements in hypertension form a reusable retinal vascular clinical resource.,tabular,retinal_vascular_analysis,,,not stated in official deposit metadata,10.1186/s12872-017-0732-x,1,1,57171,,,high
10.5061/dryad.vhhmgqnvf,Multiple sequence alignments and phylogenetic trees from: Co-option of the limb patterning program in cephalopod eye development,exclude,Phylogenetic/alignment supplement for cephalopod development is not a standalone ocular data resource.,,,,,not assessed (excluded),10.1186/s12915-021-01182-2,2,1,559373,,,high
10.5061/dryad.vhhmgqp2c,Data from: Light environment and seasonal variation in the visual system of the red shiner (Cyprinella lutrensis),add_now,"Fish visual-system transcriptome, spectral, and environment data provide a distinct ocular-function resource.",omics,gene_expression_analysis|visual_function_analysis,,,not stated in official deposit metadata,10.1242/jeb.249878,4,13,103482113,,,high
10.5061/dryad.vq83bk3s8,Spatially displaced excitation contributes to the encoding of interrupted motion by the retinal direction-selective circuit,add_now,Retinal electrophysiology and calcium-imaging files are a substantial reusable circuit-data resource.,signals,electrophysiology_analysis|calcium_response_analysis,910,files,official Dryad file listing,10.7554/elife.68181,5,910,6461489656,,,high
10.5061/dryad.vx0k6djwf,Amacrine cells differentially balance zebrafish colour circuits in the central and peripheral retina,add_now,Zebrafish retinal calcium HDF5 data are a distinct reusable inner-retina functional resource.,signals,calcium_response_analysis,4,datasets,official Dryad file listing (.h5 data files),10.1016/j.celrep.2023.112055,5,5,1599209651,,,high
10.5061/dryad.w0vt4b8n3,Fovea-like photoreceptor specialisations underlie single UV-cone driven prey capture behaviour in zebrafish,exclude,Only a single Tau-results spreadsheet is deposited; no standalone imaging/omics resource is supplied.,,,,,not assessed (excluded),10.1016/j.neuron.2020.04.021,3,1,84491926,,,high
10.5061/dryad.w3r2280tq,The power of vision: Calibration of auditory space after sight restoration from congenital cataracts,exclude,Auditory-space calibration is not an ocular resource; cataract history is contextual only.,,,,,not assessed (excluded),10.1098/rspb.2022.0768,4,8,369013,,,high
10.5061/dryad.w3r228143,Photoreceptor loss does not recruit neutrophils despite strong microglial activation,add_now,Large AOSLO/microscopy lesion dataset is a distinct retinal degeneration imaging resource.,cell_microscopy,retinal_degeneration_analysis,,,not stated in official deposit metadata,10.7554/elife.98662.4,5,2,9123577630,,,high
10.5061/dryad.wdbrv15rj,Natural disease history of a canine model of oligogenic RPGRIP1-cone-rod dystrophy establishes variable effects of previously and newly mapped modifier loci,add_now,Canine cone-rod-dystrophy raw sequencing and pedigree data are a distinct ocular genetics resource.,omics,variant_analysis,,,not stated in official deposit metadata,10.1093/hmg/ddad046,5,19,212240887027,,,high
10.5061/dryad.wstqjq2n5,Data from: Spectral inference reveals principal cone-integration rules of the zebrafish inner retina,add_now,Zebrafish bipolar-cell traces and metadata are a reusable retinal functional dataset.,signals,calcium_response_analysis,,,not stated in official deposit metadata,10.1016/j.cub.2021.09.047,4,4,310660490,,,high
10.5061/dryad.wwpzgmssx,Comprehensive study for SNARE involved in the post-Golgi transport in Drosophila photoreceptors,exclude,"Deposit contains plasmid/construct files and README only; code/materials deposit, not ocular data.",,,,,not assessed (excluded),10.3389/fcell.2024.1442192,6,24,818124,,,high
10.5061/dryad.x0k6djhf8,In the corner of the eye: camouflaging motion in the peripheral visual field,exclude,Peripheral-vision behavioral data are not ophthalmology or ocular data under the catalog boundary.,,,,,not assessed (excluded),10.1098/rspb.2019.2537,2,2,232786,,,high
10.5061/dryad.x69p8czhv,eNOS/NO and their role in modifying the vascular barrier in retinopathy - Source data,exclude,"Figure-by-figure source-data workbooks are article support, not a distinct reusable ocular resource.",,,,,not assessed (excluded),10.7554/elife.64944,6,6,296331,,,high
10.5061/dryad.x95x69pmq,Robust cone-mediated signaling persists late into rod photoreceptor degeneration,add_now,Raw retinal-degeneration microscopy files form a distinct reusable retinal imaging resource.,cell_microscopy,retinal_degeneration_analysis,19,images,official Dryad file listing (.nd2 images excluding README),10.7554/elife.80271,5,20,5659015815,,,high
10.5061/dryad.xgxd254d1,Systemic paralogy and function of retinal determination network homologs in arachnids,add_now,Arachnid eye-development RNA-seq/RNAi result archives are a distinct ocular developmental-omics resource.,omics,gene_expression_analysis|eye_development_analysis,5,archives,official Dryad file listing (data archives excluding README),10.1186/s12864-020-07149-x,9,6,275905271,,,high
10.5061/dryad.xgxd254pk,"Supporting information for: Discrimination ability of central visual field testing using stimulus size I, II, and III and relationship with macular ganglion cell thickness in chiasmal compression",add_now,Visual-field and macular-ganglion-cell clinical measurements are a meaningful ophthalmic cohort table.,tabular,visual_field_analysis|retinal_layer_analysis,60,eyes,official Dryad abstract,10.1371/journal.pone.0300103,5,2,333966,,,high
10.5061/dryad.xgxd254w6,Data from: Photodynamic therapy with infracyanine green induces keratocyte depopulation in the normal equine cornea,exclude,"Three small experimental result tables are article support, without a broader reusable ocular research object.",,,,,not assessed (excluded),10.1002/evj.70159,3,4,5722,,,high
10.5061/dryad.xpnvx0kb6,"Data from: Oxidative stress in the retina and retinal pigment epithelium (RPE): role of aging, and DJ-1",add_now,Raw retina/RPE microscopy and quantitative files are a distinct retinal experimental imaging resource.,cell_microscopy,retinal_degeneration_analysis,117,data_files,official Dryad file listing (118 files less README),10.1016/j.redox.2020.101623,9,118,736182399,,,high
10.5061/dryad.xwdbrv1kd,GTPBP2 in-frame deletion in a canine model with progressive retinal degeneration,add_now,Canine progressive-retinal-degeneration raw sequencing/genotype files are a distinct ocular genetics resource.,omics,variant_analysis,,,not stated in official deposit metadata,10.1038/s41598-025-89446-7,7,11,199231877370,,,high
10.5061/dryad.z08kprrk3,Data from: A naturally occurring canine model of syndromic congenital microphthalmia ,add_now,Canine congenital-microphthalmia sequencing and GWAS files are a direct ocular genetics resource.,omics,variant_analysis,,,not stated in official deposit metadata,10.1093/g3journal/jkae067,8,5,26446559668,,,high
10.5061/dryad.z08kprrk6,Frameshift variant in AMPD2 in Cirneco dell’ Etna with retinopathy and tremors,add_now,Canine retinopathy raw sequencing/genotype files are a distinct ocular genetics resource.,omics,variant_analysis,,,not stated in official deposit metadata,10.3390/genes15020238,4,7,123431491592,,,high
10.5061/dryad.z8w9ghx9c,Accuracy of intraocular lens calculation formulas in cataract patients with steep corneal curvature,add_now,Unprocessed IOL-calculation data from 112 eyes are directly reusable ophthalmic biometry data.,tabular,ocular_biometry_analysis|iol_calculation,112,eyes,official Dryad methods,10.1371/journal.pone.0241630,3,1,120727,,,high
10.5061/dryad.z8w9ghx9f,Inflation test on eye globe for: Experimental evaluation of stiffening effect induced by UVA/riboflavin corneal cross-linking using intact porcine eye globes,add_now,Paired porcine-eye corneal inflation/stiffness measurements form a distinct corneal biomechanics resource.,tabular,corneal_biomechanics_analysis,7,eye_globes,official Dryad methods,,4,15,8482952,,,high
10.5061/dryad.z8w9ghxpp,ApoM-bound S1P acts via endothelial S1PR1 to suppress choroidal neovascularization and vascular leak,add_now,Raw choroidal-neovascularization images and quantitative data are a distinct retinal vascular resource.,cell_microscopy,choroidal_neovascularization_analysis,,,not stated in official deposit metadata,10.1007/s10456-025-09975-7,11,47,4159288366,,,high
10.5061/dryad.zcrjdfngp,Data from: Behavior shapes retinal motion statistics during natural locomotion,defer_insufficient_metadata,"Official metadata confirms an eye-tracking/motion package, but the sole opaque archive does not enumerate included processed data and raw data are explicitly absent.",eye_tracking,gaze_motion_analysis,,,official Dryad metadata and top-level file listing insufficient for a primary quantity,10.1371/journal.pcbi.1009575,6,2,13534531787,,,medium
10.5061/dryad.zkh18938j,Data from: Integration of genomics and transcriptomics predicts diabetic retinopathy susceptibility genes,exclude,"Two Figure 3 source-data files are article-level derived results, not a standalone reusable retinal-omics resource.",,,,,not assessed (excluded),10.7554/elife.59980,4,2,717892172,,,high
10.5061/dryad.zkh1893nt,Glaucoma-associated optineurin mutations increase transcellular degradation of mitochondria in a vertebrate optic nerve,add_now,"Extensive optic-nerve microscopy, movies, and analysis archives form a distinct glaucoma-related ocular resource.",cell_microscopy,optic_nerve_analysis|mitochondria_analysis,,,not stated in official deposit metadata,10.7554/elife.103844,7,32,130554606106,,,high
10.5061/dryad.zs7h44jd9,Data for: Impact of alpha crystallin loss on zebrafish lens development,add_now,Zebrafish lens and eye micrographs form a reusable lens-development imaging resource.,cell_microscopy,lens_development_analysis,,,not stated in official deposit metadata,10.1016/j.exer.2022.109358,4,2,1795736344,,,high
10.5061/dryad.zw3r228km,Seeing in the deep: evolution of the opsin gene expression in Bermin crater lake cichlids,add_now,Processed expression data from 109 retinal transcriptomes are a distinct retinal-omics resource.,omics,gene_expression_analysis,109,retinal_transcriptomes,official Dryad abstract,10.1093/molbev/msaf286,2,7,107709,,,high
10.5068/d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,add_now,Three human retinal-organoid single-cell matrices provide a distinct ocular developmental-omics resource.,omics,single_cell_analysis,3,matrices,official Dryad file listing,10.3389/fcell.2021.653305,9,4,44225447,,,high
10.6075/j0707ztm,Early removal of  senescent cells protects retinal ganglion cells loss in experimental ocular hypertension,add_now,Raw ocular-hypertension retinal-ganglion-cell measurements constitute a distinct retinal experimental table.,tabular,retinal_ganglion_cell_analysis,,,not stated in official deposit metadata,10.1111/acel.13089,4,1,382720,,,medium
10.6078/d12d9f,Excitatory neurotransmission activates compartmentalized calcium transients in Müller glia without affecting lateral process motility,add_now,Müller-glia calcium-imaging and morphology matrices are a distinct retinal functional resource.,signals,calcium_response_analysis|glial_morphology_analysis,,,not stated in official deposit metadata,10.7554/elife.73202,4,16,2052296419,,,high
10.6078/d1895r,Directed Evolution of AAV for Efficient Gene Delivery to Canine and Primate Retina - Raw counts of variants from deep sequencing,add_now,Retinal AAV directed-evolution deep-sequencing counts form a distinct ocular gene-delivery resource.,omics,variant_analysis|gene_delivery_analysis,,,not stated in official deposit metadata,10.1172/jci.insight.135112,1,3,180282926,,,high
10.6078/d18t35,"Data from: Idiosyncratic perception: a link between acuity, perceived position and apparent size",exclude,General visual-perception psychophysics lacks a documented ophthalmology or ocular data object.,,,,,not assessed (excluded),10.1098/rspb.2020.0825,2,3,88957,,,high
10.7272/q6rf5rzx,Retinofugal projections from melanopsin-expressing retinal ganglion cells revealed by intraocular injections of Cre-dependent virus,exclude,Four paper figure images do not establish a separately reusable retinal projection resource.,,,,,not assessed (excluded),10.1371/journal.pone.0149501,1,4,22491944,,,high
10.7272/q6rv0kz3,Asymmetric retinal direction tuning predicts optokinetic eye movements across stimulus conditions,add_now,"Mouse eye-tracking, electrophysiology, confocal, and behavioral matrices are a distinct retinal-circuit resource.",multimodal,eye_movement_analysis|electrophysiology_analysis,,,not stated in official deposit metadata,10.7554/elife.81780,6,19,693075185,,,high
10.7272/q6w37t8b,10x Lacrimal Gland scRNA seq data matrix,add_now,Lacrimal-gland single-cell count matrices are a direct ocular-surface adnexal resource.,omics,single_cell_analysis,2,count_matrices,official Dryad file listing (E16 and P4 matrices),10.1242/dev.150789,1,6,15630284,,,high
