doi,title,decision,reason,modality,tasks,primary_quantity_count,primary_quantity_unit,quantity_evidence_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.9kd51c5g5,Pupil and masking responses to light as functional measures of retinal degeneration in mice Mus Musculus,add_now,"Three deposited experiment files expose retinal-function response measurements, not a publication-only table.",physiological_signals,"functional_assessment;behavior",,, ,10.1371/journal.pone.0244702,2,3,52239100,,,medium
10.5061/dryad.b971k,Data from: Rab6 is required for multiple apical transport pathways but not the basolateral transport pathway in Drosophila photoreceptors,add_now,"The file listing contains genomic alignment/variant data directly tied to photoreceptor transport biology.",genomics,"variant_analysis;cell_biology",,, ,10.1371/journal.pgen.1005828,1,5,1452314239,,,medium
10.5061/dryad.bcc2fqzf1,Gene augmentation prevents retinal degeneration in a CRISPR/Cas9-based mouse model of PRPF31 retinitis pigmentosa,add_now,"Thirty-eight sequencing files plus README constitute a substantial retinal gene-therapy omics resource.",transcriptomics,"differential_expression;gene_therapy",,, ,10.1038/s41467-022-35361-8,6,39,265695797,,,high
10.5061/dryad.bcc2fqzj1,miRNAs in primary open-angle glaucoma and ocular hypertension,defer_insufficient_metadata,"Only a normalized CSV and README are listed; current metadata does not identify samples, assay scope, or a primary reusable quantity.",omics,"biomarker_analysis",,, ,10.3389/fmed.2023.1157773,3,2,142778,,,medium
10.5061/dryad.bcc2fqzpz,Compromised 2-start zigzag chromatin folding in immature mouse retina cells driven by irregularly spaced nucleosomes with short DNA linkers,exclude,"Manifest is principally cryo-EM/model archives and a README for one article; no distinct ocular data resource is documented.",retinal_cell_biology,article_support_only,,, ,10.1093/nar/gkaf457,3,4,24778330593,,,high
10.5061/dryad.bg79cnpb4,GABAA presynaptic inhibition regulates the gain and kinetics of retinal output neurons,exclude,"Eight figure-named spreadsheets are article source data without a separately defined reusable research object.",retinal_physiology,article_support_only,,, ,10.7554/elife.60994,5,8,20751415,,,high
10.5061/dryad.bk3j9kdjf,Data from: Phase-dependent differential in vitro and ex vivo susceptibility of Aspergillus flavus and Fusarium keratoplasticum to azole antifungals,add_now,"Raw corneal-coverage and absorbance CSVs plus README provide a reusable fungal-keratitis assay dataset.",corneal_assay,"measurement;drug_response",,, ,10.3390/jof9100966,3,3,74796,,,high
10.5061/dryad.bk3j9kdps,Data from: Htr1b is necessary for normal retinal function in mice,add_now,"Separate ERG, MEA, optomotor, and retinal-thickness data files define a multi-modal retinal function resource.",physiological_signals,"functional_assessment;phenotyping",,, ,10.3389/fncel.2025.1690447,7,5,113358,,,high
10.5061/dryad.bm8nv,Data from: Intra- and intersession repeatability of an optical quality and intraocular scattering measurement system in children,add_now,"The deposited raw measurement workbook is a direct ocular-optics repeatability dataset.",ocular_biometry,"measurement;repeatability",42,eyes,official_deposit_abstract,10.1371/journal.pone.0142189,1,1,73320,,,high
10.5061/dryad.c2fqz615c,"Age-related change of axial length, spherical equivalent, prevalence of myopia and high myopia in school-age children in Shanghai: 2014 to 2018",add_now,"Data and README files expose school-age refractive/biometric measurements as a reusable cohort.",ocular_biometry,"epidemiology;measurement",,, ,10.1155/2020/4235893,4,2,5062221,,,high
10.5061/dryad.c2fqz61hr,NMR spectroscopy-based metabolomics of organotypic retinal explants,add_now,"The release provides a dedicated retinal-metabolomics raw-data archive and README.",metabolomics,"metabolite_profiling;differential_analysis",,, ,10.7554/elife.91141.3,4,2,9581295,,,high
10.5061/dryad.c2fqz61pc,Retinal proteome profiling of inherited retinal degeneration across three different mouse models suggests common drug targets in retinitis pigmentosa,add_now,"Nineteen named proteomic result tables and README provide a reusable multi-model retinal proteome resource.",proteomics,"differential_analysis;biomarker_analysis",3,mouse_models,official_deposit_abstract,10.1016/j.mcpro.2024.100855,4,19,7826521,,,high
10.5061/dryad.c6147,Data from: Visual and non-visual navigation in blind patients with a retinal prosthesis,add_now,"The released participant dataset is specifically a retinal-prosthesis navigation experiment.",behavioral_data,"navigation_analysis;visual_function",4,retinal_prosthesis_participants,official_deposit_abstract,10.1371/journal.pone.0134369,1,1,62075,,,medium
10.5061/dryad.c7p60,Data from: Pushing the limits of photoreception in twilight conditions: The rod-like cone retina of the deep-sea pearlsides,add_now,"Assemblies, alignments, and phylogenetic files form a documented retinal photoreceptor genomics resource.",transcriptomics,"assembly;phylogenetics",,, ,10.1126/sciadv.aao4709,3,16,179860298,,,high
10.5061/dryad.cf860,Data from: miR-17-3p exacerbates oxidative damage in human retinal pigment epithelial cells,exclude,"Only one opaque statistics file is listed; metadata does not establish a reusable retinal data object.",retinal_cell_biology,article_support_only,,, ,10.1371/journal.pone.0160887,1,1,2339413,,,high
10.5061/dryad.cp4j7,Data from: Dichoptic metacontrast masking functions to infer transmission delay in optic neuritis,add_now,"The deposited experiment archive is a direct optic-neuritis visual-function dataset.",psychophysics,"visual_function;case_control",17,participants,official_deposit_abstract,10.1371/journal.pone.0163375,1,1,330125,,,medium
10.5061/dryad.d1k3b,Data from: Repeated eye reduction events reveal multiple pathways to degeneration in a family of marine snails,exclude,"The sole deposited file is a supplementary PDF, not a reusable data release.",comparative_morphology,article_support_only,,, ,10.1111/evo.13022,1,1,366353491,,,high
10.5061/dryad.d35s0,Data from: Changes in corneal biomechanical properties after long-term topical prostaglandin therapy,add_now,"A primary clinical corneal-biomechanics workbook is exposed with a directly stated study cohort.",corneal_biomechanics,"measurement;case_control",88,eyes,official_deposit_abstract,10.1371/journal.pone.0155527,1,1,77158,,,high
10.5061/dryad.d4mb3pn,Data from: Axial length elongation and myopia incidence increase in primary school-age children: 3-year follow-up study,add_now,"The record releases longitudinal pediatric ocular-biometry data rather than only aggregate figures.",ocular_biometry,"longitudinal_analysis;epidemiology",452,participants,official_deposit_abstract,10.1136/bmjopen-2019-029896,3,1,376630,,,high
10.5061/dryad.d51c5b0hd,Data from: A combinatorial synthetic strategy for developing genome-editing protein-delivery agents targeting mouse retina,exclude,"Figure archives and source-data workbook support one paper; the deposit does not define a standalone retinal resource.",retinal_gene_therapy,article_support_only,,, ,10.1038/s41467-026-69077-w,12,13,322805104,,,high
10.5061/dryad.d9v38,Data from: The functional diversity of retinal ganglion cells in the mouse,add_now,"The MAT release is a named dense retinal recording dataset with more than 11,000 cells and a README.",calcium_imaging,"cell_type_clustering;functional_analysis",11000,cells,official_deposit_abstract,10.1038/nature16468,1,2,426115237,,,high
10.5061/dryad.dbrv15fbk,Influence of amyloid pathology on retina and dLGN in 5xFAD mouse model,defer_insufficient_metadata,"Workbook and README indicate relevant mouse data, but no linked publication or file-level contents establish a standalone reusable scope.",retinal_phenotyping,"disease_model_analysis",,, ,,2,2,108816,,,medium
10.5061/dryad.dncjsxkwn,Longitudinal changes in the retinal microstructures of eyes with chiasmal compression,exclude,"Manifest contains only two supplementary tables and a figure rather than the underlying OCT resource.",oct,article_support_only,,, ,10.1212/wnl.0000000000011087,3,3,1450396,,,high
10.5061/dryad.dp4kt5t,Data from: Daytime eyeshine contributes to pupil camouflage in a cryptobenthic marine fish,add_now,"Raw-data tables archive and README document a distinct ocular-reflectance experiment.",ocular_optics,"measurement;comparative_analysis",,, ,10.1038/s41598-018-25599-y,1,2,401446,,,high
10.5061/dryad.f4qrfj6wp,Emergence of a geometric pattern of cell fates from tissue-scale mechanics in the Drosophila eye,exclude,"Files are trained model/checkpoint and article-specific simulation data; no separately described ocular resource.",developmental_imaging,article_support_only,,, ,10.7554/eLife.72806,3,5,2160687864,,,high
10.5061/dryad.f4qrfj730,"Loss of alpha Ba-crystallin, but not alpha A-crystallin, increases age-related cataract in the zebrafish lens",defer_insufficient_metadata,"Lens-image archive is potentially useful, but metadata supplies no image count, annotations, or stated reusable access scope.",lens_images,"image_analysis",,, ,10.1016/j.exer.2024.109918,4,2,4451422309,,,medium
10.5061/dryad.ffbg79d50,Eye saccades align optic flow with retinal specializations during object pursuit in freely moving ferrets,add_now,"Multiview and configuration archives with README expose a substantial freely moving animal eye-tracking resource.",eye_tracking,"gaze_analysis;behavior",,, ,10.1016/j.cub.2024.12.032,6,3,101456465,,,high
10.5061/dryad.fttdz0933,Data from: Development and patterning of a highly versatile visual system in spiders,add_now,"Multiple transcriptome assemblies and readme constitute a documented comparative ocular-development resource.",transcriptomics,"assembly;comparative_analysis",7,species,official_deposit_abstract,10.1098/rspb.2024.2069,5,9,19394754247,,,medium
10.5061/dryad.gf1vhhmsc,Rhesus macaque cone ratio heritability,add_now,"Cone-expression and pedigree CSVs are a distinct primate retinal phenotype/genetics resource.",retinal_genetics,"heritability_analysis;measurement",,, ,10.1111/evo.14552,4,3,614670,,,high
10.5061/dryad.gf1vhhn2x,Characterization of postsynaptic glutamate transporter functionality in the zebrafish retinal first synapse across different wavelengths,defer_insufficient_metadata,"The source-files archive is relevant, but current metadata does not expose which data versus article assets it contains.",retinal_physiology,"functional_assessment",,, ,10.7554/eLife.102346.2,6,2,9227915994,,,medium
10.5061/dryad.gmsbcc2p2,"Simple and complex, sexually dimorphic retinal mosaic of fritillary butterflies",add_now,"Anatomy/eyeshine archives and spectral workbooks establish a reusable retinal-mosaic resource.",retinal_physiology,"spectral_analysis;comparative_analysis",2,species,official_deposit_abstract,10.1098/rstb.2021.0276,4,5,9577845,,,high
10.5061/dryad.gt410,Data from: The association of outdoor activity and age-related cataract in a rural population of Taizhou Eye Study: phase 1 report,add_now,"The original-data workbook contains a directly described population eye-study cohort.",clinical_tabular,"epidemiology;risk_factor_analysis",2006,participants,official_deposit_abstract,10.1371/journal.pone.0135870,1,1,1380897,,,high
10.5061/dryad.gv5k2j3,Data from: S-cone photoreceptors in the primate retina are functionally distinct from L and M cones,defer_insufficient_metadata,"A single generic archive is listed without a README or file-level description sufficient to distinguish raw resource data from article support.",retinal_physiology,"functional_assessment",,, ,10.7554/eLife.39166,1,1,188469725,,,medium
10.5061/dryad.gxd25480h,Retinal polyunsaturated fatty acid supplementation reverses aging-related vision decline in mice,add_now,"Fourteen named retinal lipidomic/transcript/protein tables and README expose a multi-assay retinal aging resource.",multiomics,"differential_analysis;aging_analysis",,, ,10.1126/scitranslmed.ads5769,5,14,13798287,,,high
10.5061/dryad.h18931zr2,Circuit mechanisms underlying embryonic retinal waves,add_now,"Thirty-four raw retinal image files plus README are a reusable embryonic retinal-wave imaging dataset.",calcium_imaging,"event_analysis;developmental_analysis",,, ,10.7554/eLife.81983,2,35,7923932801,,,high
10.5061/dryad.h18931zxf,Caecilians maintain a functional long-wavelength-sensitive cone opsin gene despite signatures of relaxed selection and more than 200 million years of fossoriality,add_now,"The data archive and README provide comparative ocular genomics across explicitly stated caecilian species.",genomics,"phylogenetics;comparative_analysis",13,species,official_deposit_abstract,10.1093/evolut/qpaf190,10,2,9059362,,,high
10.5061/dryad.h44j0zpnp,"Accuracy of biomicroscopy, ultrasonography and spectral-domain OCT in detection of complete posterior vitreous detachment",add_now,"The diagnostic workbook and README are a direct multi-modality ocular-imaging validation dataset.",multimodal,"diagnostic_evaluation;measurement",123,eyes,official_deposit_abstract,10.1186/s12886-023-03233-4,8,2,410897,,,high
10.5061/dryad.h44j0zpv3,Utility index and vision related quality of life in patients awaiting specialist eye care,add_now,"Dataset workbook and README expose a distinct eye-care quality-of-life cohort.",clinical_tabular,"quality_of_life;health_services",536,participants,official_deposit_abstract,10.1371/journal.pone.0307691,7,2,95224,,,high
10.5061/dryad.h544560,Data from: Observational study of clinical characteristics of dome-shaped macula in Chinese Han with high myopia at Zhongshan Ophthalmic Center,add_now,"The high-myopia database workbook and README are a reusable macular clinical cohort.",clinical_tabular,"phenotyping;epidemiology",1384,eyes,official_deposit_abstract,10.1136/bmjopen-2018-021887,1,2,604505,,,high
10.5061/dryad.h70rxwdtn,Data from: Light-sensitive Ca2+ signaling in the mammalian choroid,exclude,"Twenty-two figure-named processed spreadsheets comprise article source data without a separately documented reusable resource.",choroid_physiology,article_support_only,,, ,10.1073/pnas.2418429121,7,22,410777,,,high
10.5061/dryad.hf50r,Data from: An extracellular biochemical screen reveals that FLRTs and Unc5s mediate neuronal subtype recognition in the retina,exclude,"The only release is a single paper-specific biochemical-screen spreadsheet.",retinal_cell_biology,article_support_only,,, ,10.7554/eLife.08149,1,1,128125,,,high
10.5061/dryad.hg000c2,Data from: Individual variation in the transmission of ultraviolet radiation in the young adult eye.,add_now,"The UV threshold/eye measurement workbook is a direct reusable human ocular-optics dataset.",ocular_optics,"measurement;visual_function",42,participants,official_deposit_abstract,10.1371/journal.pone.0199940,1,1,28408,,,high
10.5061/dryad.hhmgqnkjc,Corneal endothelial morphology of healthy myopic Malaysian children of Chinese ethnicity aged 8-9 years and its association with axial length,add_now,"Raw corneal-endothelial data and README define a pediatric ocular-biometry cohort.",corneal_imaging,"measurement;association_analysis",111,participants,official_deposit_abstract,10.12688/f1000research.110560.2,5,2,118991,,,high
10.5061/dryad.hp60p89,Data from: Human macular Müller cells rely more on serine biosynthesis to combat oxidative stress than those from the periphery,exclude,"Two supplementary spreadsheets are not described as an independent reusable retinal cell resource.",retinal_cell_biology,article_support_only,,, ,10.7554/eLife.43598,1,2,1908320,,,high
10.5061/dryad.ht76hdr9z,Influence of polydimethylsiloxane substrate stiffness on corneal epithelial cells,exclude,"Figure data, a blot PDF, and one supplementary image are article-support materials rather than a standalone corneal resource.",corneal_cell_biology,article_support_only,,, ,10.1098/rsos.191796,5,3,13258458,,,high
10.5061/dryad.hx3ffbgmv,Data from: Inactivation of adenosine receptor 2A suppresses endothelial-to-mesenchymal transition and inhibits subretinal fibrosis in mice,add_now,"Forty-five raw proteomics/metabolomics files plus sample-treatment metadata establish a substantial subretinal-fibrosis resource.",multiomics,"proteomics;metabolomics",,, ,10.1126/scitranslmed.adk3868,6,45,10972741,,,high
10.5061/dryad.j0zpc86kg,Plane wave ultrasound and OCT angiography of the eye in preeclampsia,add_now,"The dataset and README describe a direct ocular blood-flow/OCTA clinical measurement release.",multimodal,"vascular_measurement;case_control",,, ,10.1167/tvst.9.10.14,4,2,308996,,,high
10.5061/dryad.j9kd51crg,Photopic flicker optoretinography captures the light-driven length modulation of photoreceptors during phototransduction,defer_insufficient_metadata,"Figure archives and README indicate relevant optoretinography material, but no file-level documentation distinguishes reusable recordings from source figures.",optoretinography,"signal_analysis",,, ,10.1073/pnas.2421722122,8,6,14441898,,,medium
10.5061/dryad.j9kd51ct4,Data from: Divergence of visual morphology and opsin expression in an African cichlid linked with turbidity,add_now,"Named morphology and gene-expression CSVs provide a reusable comparative retinal/visual phenotype dataset.",transcriptomics,"comparative_analysis;expression_analysis",,, ,10.1111/mec.70278,2,3,11586,,,high
10.5061/dryad.jh8j7,Data from: Albinism in phylogenetically and geographically distinct populations of Astyanax cavefish arises through the same loss-of-function Oca2 allele,exclude,"The release concerns pigmentation genetics; it does not document an ophthalmology or ocular research object.",not_applicable,keyword_collision,,, ,10.1038/hdy.2013.26,1,6,85017810,,,high
10.5061/dryad.k3j9kd5fx,Data from: Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,add_now,"Counts, metadata, identifier map, and README define a directly reusable keratitis transcriptomic cohort.",transcriptomics,"differential_expression;biomarker_analysis",22,participants,official_deposit_abstract,10.1097/ico.0000000000003545,4,4,5160475,,,high
10.5061/dryad.k3r485h,Data from: The RNA-binding protein Celf1 post-transcriptionally regulates p27Kip1 and Dnase2b to control fiber cell nuclear degradation in lens development,exclude,"Thirteen figure-labelled spreadsheets are paper source data without a separately documented dataset object.",lens_cell_biology,article_support_only,,, ,10.1371/journal.pgen.1007278,1,13,474210,,,high
10.5061/dryad.k6djh9w37,"Data from: Visual system development of the spotted unicornfish, Naso brevirostris (Acanthuridae)",add_now,"Transcriptome assemblies, retinal map images, and phylogenetic files provide a distinct comparative ocular-development resource.",transcriptomics,"assembly;comparative_analysis",,, ,10.1242/jeb.209916,3,18,995768816,,,high
10.5061/dryad.k6djh9w8z,Ocular graft vs host disease mouse model,add_now,"A raw-data workbook and README provide a clearly ocular graft-versus-host disease model resource.",clinical_tabular,"disease_model_analysis;treatment_response",,, ,,5,2,197224,,,high
10.5061/dryad.k7455,Data from: Identification of novel variants in LTBP2 and PXDN using whole-exome sequencing in developmental and congenital glaucoma,add_now,"Four subject-level exome difference files constitute a directly glaucoma-specific variant dataset.",genomics,"variant_analysis",3,families,official_deposit_abstract,10.1371/journal.pone.0159259,1,4,442139301,,,high
10.5061/dryad.kkwh70shq,Eye size across avian lineages covaries with participation in a specialized foraging behavior,add_now,"The repository supplies its own data archive and README for a large documented eye-size comparative dataset.",ocular_morphology,"comparative_analysis;measurement",3303,species,official_deposit_abstract,10.1093/jeb/voaf136,4,2,2262618,,,medium
10.5061/dryad.kprr4xhk3,Conserved optical adaptations enable amphibious vision in compound eyes,add_now,"Fifty-seven raw behavior archives expose a large independent compound-eye optics/behavior resource.",ocular_optics,"behavior;comparative_analysis",,, ,10.1098/rspb.2026.0072,4,57,95847385772,,,high
10.5061/dryad.kq230,"Data from: Variable light environments induce plastic spectral tuning by regional opsin coexpression in the African cichlid fish, Metriaclima zebra",add_now,"qPCR, genotype, parentage, and probe files are a distinct retinal opsin-expression resource.",transcriptomics,"expression_analysis;comparative_analysis",,, ,10.1111/mec.13312,1,6,33776,,,high
10.5061/dryad.ks48tt4,Data from: Expression of matrix Metalloproteinases-2 and aquaporin-1 in corneoscleral junction after angle-closure in rabbits,add_now,"Raw ocular images and ELISA/PCR/IOP files establish a multi-modal rabbit angle-closure resource.",multimodal,"measurement;disease_model_analysis",30,rabbits,official_deposit_abstract,10.1186/s12886-019-1058-5,1,21,133811260,,,high
10.5061/dryad.ks824,Data from: Evolution of iris colour in relation to cavity nesting and parental care in passerine birds,add_now,"Trait matrices and phylogenetic trees form a reusable ocular-phenotype comparative resource.",ocular_morphology,"comparative_analysis;phylogenetics",,, ,10.1098/rsbl.2016.0783,1,5,625494,,,medium
10.5061/dryad.kv3j7,"Data from: Cambrian origin of the CYP27C1-mediated vitamin A1-to-A2 switch, a key mechanism of vertebrate sensory plasticity",add_now,"Retinal response, microspectrophotometry, qPCR, and fitting data are a documented ocular physiology resource.",retinal_physiology,"spectral_analysis;expression_analysis",,, ,10.1098/rsos.170362,1,14,403370,,,high
10.5061/dryad.m0cfxppdj,"Lanes, clusters, lines of Sight: Modelling diagnostic eyecare clinics to improve patient flow",exclude,"The manifest contains collection templates and a simulation/model archive, not reusable ophthalmic patient or ocular data.",health_services,software_only,,, ,10.5334/bc.545,3,3,13542229,,,high
10.5061/dryad.m905qfv2r,Corneal Laser Procedure for safety and efficacy in vision improvement,add_now,"Two documented clinical workbooks and README release a corneal-procedure outcome cohort.",clinical_tabular,"treatment_outcome;visual_acuity",72,eyes,official_deposit_abstract,10.12688/f1000research.109665.1,8,3,600278,,,high
10.5061/dryad.mcvdnck22,Long-term development of lens fluorescence in a twin cohort: Heritability and effects of age and lifestyle,add_now,"The released workbook is a distinct longitudinal ocular-lens phenotype cohort.",ocular_biometry,"longitudinal_analysis;heritability",131,participants,official_deposit_abstract,10.1371/journal.pone.0268458,4,1,112831,,,high
10.5061/dryad.mk4r5,Data from: Effects of nicotine on corneal wound healing following acute alkali burn,exclude,"Figure archives and one figure workbook do not define a separately reusable corneal dataset.",corneal_cell_biology,article_support_only,,, ,10.1371/journal.pone.0179982,1,5,177384,,,high
10.5061/dryad.msbcc2fvr,Data from: Thyroid hormone receptor beta mutations alter photoreceptor development and function in Danio rerio (zebrafish),add_now,"Eight genotype/stage measurement workbooks provide a distinct retinal functional dataset.",retinal_physiology,"functional_assessment;genotype_comparison",,, ,10.1371/journal.pgen.1008869,2,8,586618,,,high
10.5061/dryad.ncjsxksxr,Data from: Is retina affected in Huntington's disease? Is optical coherence tomography a good biomarker?,add_now,"CSV and README expose a direct retinal OCT/visual-function biomarker dataset.",oct,"biomarker_analysis;case_control",,, ,10.1371/journal.pone.0282175,5,2,24663,,,high
10.5061/dryad.ngf1vhj81,Data from: Biofeedback fixation training in the rehabilitation of patients suffering from geographic atrophy,add_now,"A named final dataset CSV and README describe a distinct geographic-atrophy rehabilitation cohort.",clinical_tabular,"rehabilitation;visual_function",18,participants,official_deposit_abstract,10.3390/life16010165,5,2,10256,,,high
10.5061/dryad.nh0fp1b,Data from: Human foveal cone photoreceptor topography and its dependence on eye length,add_now,"The archive contains a direct adaptive-optics human cone-topography resource with explicitly stated eye and subject counts.",retinal_images,"cell_density_measurement;association_analysis",28,eyes,official_deposit_abstract,10.7554/eLife.47148,1,1,33285643,,,high
10.5061/dryad.nv892mp,"Data from: Peripheral synucleinopathy in a DJ1 patient with Parkinson disease, cataracts, and hearing loss",exclude,"Only an appendix workbook is listed and cataract is incidental to a non-ocular case report.",not_applicable,article_support_only,,, ,10.1212/WNL.0000000000007614,1,1,30928,,,high
10.5061/dryad.nvx0k6dqg,Insights from survival analyses during 12 years of anti-VEGF therapy for neovascular age-related macular degeneration,add_now,"The anonymized 12-year AMD outcome CSV is a distinct longitudinal outcome release with a documented overlapping source cohort.",clinical_tabular,"survival_analysis;visual_outcome",7802,eyes,official_deposit_abstract,10.1001/jamaophthalmol.2020.5044,5,4,20398805,dryad_namd_oct_quant;dryad_namd_visual_prediction,same_or_overlapping_cohort_as,high
10.5061/dryad.nvx0k6dr3,"The visual ecology of Holocentridae, a nocturnal coral reef fish family with a deep-sea-like multibank retina",add_now,"Retinal transcriptome assemblies, opsin tables, and phylogeny files form a distinct comparative retinal resource.",transcriptomics,"assembly;comparative_analysis",,, ,10.1242/jeb.233098,3,13,95311119,,,high
10.5061/dryad.p1qq2r1,Data from: Comparison of the efficacy and safety of drug therapies for macular edema secondary to central retinal vein occlusion,exclude,"This is a systematic-review network-meta-analysis workspace, not a primary reusable ocular data resource.",clinical_tabular,article_support_only,,, ,10.1136/bmjopen-2018-022700,1,3,658777,,,high
10.5061/dryad.pc866t21r,Semaphorin 3f and post-embryonic regulation of retinal progenitors,exclude,"Fifty-six figure-labelled measurement files are paper source data; no distinct reusable resource or access route beyond the article supplement is documented.",retinal_cell_biology,article_support_only,,, ,10.1371/journal.pgen.1011748,5,56,1640808,,,high
