doi,title,scope_decision,rationale,normalized_primary_category,normalized_tasks,primary_quantity_count,primary_quantity_unit,file_level_research_object,confidence
10.5061/dryad.hx3ffbgmv,Data from: Inactivation of adenosine receptor 2A suppresses endothelial-to-mesenchymal transition and inhibits subretinal fibrosis in mice,adjacent_add,"Forty-five raw omics files with treatment metadata define a translational mouse subretinal-fibrosis mechanism resource.",omics,classification,,,"Raw proteomics/metabolomics files plus sample-treatment metadata",high
10.5061/dryad.j0zpc86kg,Plane wave ultrasound and OCT angiography of the eye in preeclampsia,core_add,"The defined plane-wave ultrasound/OCTA data file and README directly support human ocular vascular measurement.",octa,vessel_analysis,,,"PE_ran.sav plus README",high
10.5061/dryad.j9kd51ct4,Data from: Divergence of visual morphology and opsin expression in an African cichlid linked with turbidity,exclude_scope,"Cichlid opsin ecology and morphology are comparative biology rather than a direct translational ocular resource.",,,,,"genes.csv and morphology.csv",high
10.5061/dryad.k3j9kd5fx,Data from: Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,core_add,"Counts and metadata for 22 people form a directly translational human keratitis transcriptomics resource.",omics,classification,22,participants,"Conjunctival count matrix metadata and identifier map",high
10.5061/dryad.k6djh9w37,"Data from: Visual system development of the spotted unicornfish, Naso brevirostris (Acanthuridae)",exclude_scope,"Unicornfish visual-system assemblies and maps are comparative ecology without a direct ophthalmic method or disease-mechanism role.",,,,,"Fish transcriptome assemblies and retinal maps",high
10.5061/dryad.k6djh9w8z,Ocular graft vs host disease mouse model,adjacent_add,"The named raw-data workbook and README define a clinically relevant ocular graft-versus-host disease model.",tabular,evaluation,,,"OGVHD_Raw_data_compiled.xlsx plus README",high
10.5061/dryad.k7455,Data from: Identification of novel variants in LTBP2 and PXDN using whole-exome sequencing in developmental and congenital glaucoma,core_add,"Four exome difference files for three congenital-glaucoma families are directly translational human ocular genetics data.",omics,classification,3,families,"Four WES difference files",high
10.5061/dryad.kkwh70shq,Eye size across avian lineages covaries with participation in a specialized foraging behavior,exclude_scope,"Avian eye-size ecology is outside the human ophthalmology and translational ocular boundary.",,,,,"Supplement archive plus README",high
10.5061/dryad.kprr4xhk3,Conserved optical adaptations enable amphibious vision in compound eyes,exclude_scope,"Compound-eye amphibious behavior is comparative invertebrate ecology rather than an ophthalmic modality or translational method.",,,,,"Fifty-seven raw behavior archives",high
10.5061/dryad.kq230,"Data from: Variable light environments induce plastic spectral tuning by regional opsin coexpression in the African cichlid fish, Metriaclima zebra",exclude_scope,"Cichlid retinal opsin plasticity is comparative ecology and falls outside the narrowed catalog scope.",,,,,"qPCR genotype parentage and probe files",high
10.5061/dryad.ks48tt4,Data from: Expression of matrix Metalloproteinases-2 and aquaporin-1 in corneoscleral junction after angle-closure in rabbits,adjacent_add,"Rabbit corneoscleral images and IOP ELISA and PCR files provide a defined angle-closure disease-mechanism model.",external_eye,measurement,30,rabbits,"Ocular images plus ELISA PCR and IOP files",high
10.5061/dryad.ks824,Data from: Evolution of iris colour in relation to cavity nesting and parental care in passerine birds,exclude_scope,"Passerine iris-colour evolution is comparative ecology rather than a translational ocular phenotype resource.",,,,,"Trait matrices and phylogenetic trees",high
10.5061/dryad.kv3j7,"Data from: Cambrian origin of the CYP27C1-mediated vitamin A1-to-A2 switch, a key mechanism of vertebrate sensory plasticity",exclude_scope,"Lamprey sensory-plasticity evolution is comparative physiology without a direct ophthalmic or translational use.",,,,,"Retinal response and microspectrophotometry files",high
10.5061/dryad.m905qfv2r,Corneal Laser Procedure for safety and efficacy in vision improvement,core_add,"Two clinical workbooks cover 72 treated eyes and directly support surgical corneal outcome evaluation.",tabular,evaluation,72,eyes,"Two corneal laser procedure workbooks plus README",high
10.5061/dryad.mcvdnck22,Long-term development of lens fluorescence in a twin cohort: Heritability and effects of age and lifestyle,core_add,"The 131-participant longitudinal lens-fluorescence workbook is core human ocular biometrics data.",tabular,progression_analysis,131,participants,"Data_for_repository_paper_1_v3.xlsx",high
10.5061/dryad.msbcc2fvr,Data from: Thyroid hormone receptor beta mutations alter photoreceptor development and function in Danio rerio (zebrafish),adjacent_add,"Eight genotype/stage functional workbooks provide a defined photoreceptor disease-mechanism model.",electrophysiology,evaluation,,,"Eight zebrafish photoreceptor workbooks",high
10.5061/dryad.ncjsxksxr,Data from: Is retina affected in Huntington's disease? Is optical coherence tomography a good biomarker?,core_add,"The named CSV and README form a direct human retinal OCT biomarker resource.",oct,classification,,,"data.csv plus README",high
10.5061/dryad.ngf1vhj81,Data from: Biofeedback fixation training in the rehabilitation of patients suffering from geographic atrophy,core_add,"The 18-participant final CSV is a direct human geographic-atrophy rehabilitation outcome resource.",tabular,evaluation,18,participants,"AMD-Biofeedback_dataset_final.csv plus README",high
10.5061/dryad.nh0fp1b,Data from: Human foveal cone photoreceptor topography and its dependence on eye length,core_add,"The 28-eye human adaptive-optics archive is directly reusable for foveal cellular imaging and biometric measurement.",adaptive_optics,measurement,28,eyes,"HUMAN_FOVEAL_CONES.zip",high
10.5061/dryad.nvx0k6dqg,Insights from survival analyses during 12 years of anti-VEGF therapy for neovascular age-related macular degeneration,core_add,"The anonymized 7,802-eye human AMD CSV is a clearly defined long-term ophthalmic survival resource.",tabular,survival_analysis,7802,eyes,"MEH_AMD_survivaloutcomes_database.csv plus README",high
10.5061/dryad.nvx0k6dr3,"The visual ecology of Holocentridae, a nocturnal coral reef fish family with a deep-sea-like multibank retina",exclude_scope,"Holocentrid retinal transcriptomes and visual ecology are comparative biology rather than translational ophthalmic data.",,,,,"Fish retinal transcriptome assemblies and opsin tables",high
