source_record_id,relationship_type,target_record_id,evidence_url,evidence_source_type,evidence_summary,confidence,review_date,notes,source_canonical_name,target_canonical_name,catalog_version
dr_arranged,subset_of,eyepacs,https://tianchi.aliyun.com/dataset/93926,official_platform_page,"The Tianchi record republishes the 35,126-image EyePACS competition training split.",confirmed,2026-08-01,,Diabetic Retinopathy Arranged Dataset (Tianchi 93926),EyePACS — Diabetic Retinopathy Detection (Kaggle 2015),0.3.0
dryad_namd_oct_quant,same_or_overlapping_cohort_as,dryad_namd_visual_prediction,https://doi.org/10.5061/dryad.2rbnzs7m4,official_repository_metadata,Both records draw from the Moorfields AMD database; public descriptions do not establish exact containment.,confirmed,2026-08-01,,Moorfields nAMD Quantitative OCT Biomarker Dataset,Moorfields nAMD Visual-Change Prediction Dataset,0.3.0
dryad_namd_visual_prediction,same_or_overlapping_cohort_as,dryad_namd_oct_quant,https://doi.org/10.5061/dryad.573n5tb5d,official_repository_metadata,Both records draw from the Moorfields AMD database; public descriptions do not establish exact containment.,confirmed,2026-08-01,,Moorfields nAMD Visual-Change Prediction Dataset,Moorfields nAMD Quantitative OCT Biomarker Dataset,0.3.0
eyeq,derived_from,eyepacs,https://github.com/HzFu/EyeQ,official_repository_readme,"EyeQ provides quality labels for 28,792 images from the EyePACS train and test partitions.",confirmed,2026-08-01,,EyeQ Retinal Image Quality Assessment Dataset,EyePACS — Diabetic Retinopathy Detection (Kaggle 2015),0.3.0
fundus_domain_generalization,derived_from,drishti_gs,https://zenodo.org/records/8009107,official_repository_metadata,"The official description states that the benchmark is based on REFUGE, Drishti-GS, ORIGA, and RIGA.",confirmed,2026-08-01,ORIGA is not a separate EyeDataHub record.,Fundus Dataset for Domain Generalization in Optic Disc/Cup Segmentation,DRISHTI-GS: Optic Disc and Cup Segmentation,0.3.0
fundus_domain_generalization,derived_from,refuge2018,https://zenodo.org/records/8009107,official_repository_metadata,"The official description states that the benchmark is based on REFUGE, Drishti-GS, ORIGA, and RIGA.",confirmed,2026-08-01,ORIGA is not a separate EyeDataHub record.,Fundus Dataset for Domain Generalization in Optic Disc/Cup Segmentation,REFUGE 2018: Retinal Fundus Glaucoma Challenge,0.3.0
fundus_domain_generalization,derived_from,riga,https://zenodo.org/records/8009107,official_repository_metadata,"The official description states that the benchmark is based on REFUGE, Drishti-GS, ORIGA, and RIGA.",confirmed,2026-08-01,ORIGA is not a separate EyeDataHub record.,Fundus Dataset for Domain Generalization in Optic Disc/Cup Segmentation,RIGA: Retinal Fundus Images for Glaucoma Analysis,0.3.0
fundus_report_dataset,derived_from,deepdrid,https://huggingface.co/datasets/zzzzineun/fundus-report-dataset,official_dataset_card,The dataset card reports 203 source images from DeepDRiD and 219 from OUWFD.,confirmed,2026-08-01,OUWFD is not a separate EyeDataHub record.,Fundus Report Dataset,DeepDRiD: Diabetic Retinopathy Grading and Image Quality Dataset,0.3.0
gamma,component_of,ichallenge_oct,http://hdmilab.cn/ichallenge,official_project_page,GAMMA is one of the named resources exposed through the cataloged iChallenge OCT portal record.,confirmed,2026-08-01,,GAMMA — Glaucoma Grading from Multi-Modality Images,iChallenge OCT Datasets (HDMILab / OMIA Workshops),0.3.0
hrf_seg_plus,derived_from,hrf,https://zenodo.org/records/16744782,official_repository_metadata,HRF-Seg+ adds multi-structure annotations to the 45 HRF images.,confirmed,2026-08-01,,HRF-Seg+: Multi-Structure Fundus Annotations,HRF: High-Resolution Fundus Image Database,0.3.0
ichallenge_oct,has_component,gamma,http://hdmilab.cn/ichallenge,official_project_page,The cataloged iChallenge OCT portal record explicitly includes the GAMMA multimodal challenge resource.,confirmed,2026-08-01,,iChallenge OCT Datasets (HDMILab / OMIA Workshops),GAMMA — Glaucoma Grading from Multi-Modality Images,0.3.0
insegcat,derived_from,cadis,https://ftp.itec.aau.at/datasets/ovid/InSegCat/,official_project_page,InSegCat Dataset 2 converts CaDIS semantic masks to instance masks and boxes.,confirmed,2026-08-01,,InSegCat: Instance Segmentation for Cataract Surgery,CaDIS: Cataract Dataset for Image Segmentation,0.3.0
insegcat,derived_from,cataract_101,https://ftp.itec.aau.at/datasets/ovid/InSegCat/,official_project_page,InSegCat Dataset 1 selects and annotates frames from Cataract-101 videos.,confirmed,2026-08-01,,InSegCat: Instance Segmentation for Cataract Surgery,Cataract-101: 101 Cataract Surgery Videos with Phase Annotations,0.3.0
intraretinal_cystoid_fluid,derived_from,kermany_oct,https://www.kaggle.com/datasets/zeeshanahmed13/intraretinal-cystoid-fluid,official_platform_metadata,"The source states that 1,000 training images were selected from the Kermany Retinal OCT Images DME class; 200 test images were collected separately.",confirmed,2026-08-01,,Intraretinal Cystoid Fluid OCT Segmentation Dataset,Kermany OCT 2018: Retinal OCT Image Classification,0.3.0
lmod_cataract_1k,derived_from,cataract1k,https://huggingface.co/datasets/mehti/LMOD-Cataract-1K,official_dataset_card,The dataset card identifies Cataract-1K as the source of the processed surgical frames.,confirmed,2026-08-01,,LMOD-Cataract-1K,Cataract-1K: Large-Scale Cataract Surgery Video Dataset,0.3.0
lmod_cataract_1k_cot,derived_from,lmod_cataract_1k,https://huggingface.co/datasets/mehti/LMOD-Cataract-1K-surgical-analysis-cot,official_dataset_card,The dataset card identifies LMOD-Cataract-1K as its image source.,confirmed,2026-08-01,,Cataract-1K Surgical Analysis Chain-of-Thought Dataset,LMOD-Cataract-1K,0.3.0
lmod_plus,derived_from,cataract1k,https://kfzyqin.github.io/lmod_plus/,official_project_page,"The LMOD+ project page lists nine component datasets, including the five cataloged targets represented by these edges.",confirmed,2026-08-01,"Harvard FairSeg, CAU001, CatDet2, and ORIGA are not separate EyeDataHub records.",LMOD+ Multimodal Ophthalmology Benchmark,Cataract-1K: Large-Scale Cataract Surgery Video Dataset,0.3.0
lmod_plus,derived_from,g1020,https://kfzyqin.github.io/lmod_plus/,official_project_page,"The LMOD+ project page lists nine component datasets, including the five cataloged targets represented by these edges.",confirmed,2026-08-01,"Harvard FairSeg, CAU001, CatDet2, and ORIGA are not separate EyeDataHub records.",LMOD+ Multimodal Ophthalmology Benchmark,G1020: Glaucoma Benchmark Fundus Dataset,0.3.0
lmod_plus,derived_from,idrid,https://kfzyqin.github.io/lmod_plus/,official_project_page,"The LMOD+ project page lists nine component datasets, including the five cataloged targets represented by these edges.",confirmed,2026-08-01,"Harvard FairSeg, CAU001, CatDet2, and ORIGA are not separate EyeDataHub records.",LMOD+ Multimodal Ophthalmology Benchmark,IDRiD: Indian Diabetic Retinopathy Image Dataset,0.3.0
lmod_plus,derived_from,oimhs,https://kfzyqin.github.io/lmod_plus/,official_project_page,"The LMOD+ project page lists nine component datasets, including the five cataloged targets represented by these edges.",confirmed,2026-08-01,"Harvard FairSeg, CAU001, CatDet2, and ORIGA are not separate EyeDataHub records.",LMOD+ Multimodal Ophthalmology Benchmark,OIMHS: OCT Image Macular Hole Segmentation Dataset,0.3.0
lmod_plus,derived_from,refuge2018,https://kfzyqin.github.io/lmod_plus/,official_project_page,"The LMOD+ project page lists nine component datasets, including the five cataloged targets represented by these edges.",confirmed,2026-08-01,"Harvard FairSeg, CAU001, CatDet2, and ORIGA are not separate EyeDataHub records.",LMOD+ Multimodal Ophthalmology Benchmark,REFUGE 2018: Retinal Fundus Glaucoma Challenge,0.3.0
mm_retinal_reason,derived_from,acrima,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,ACRIMA: Glaucoma Optic Disc Fundus Database,0.3.0
mm_retinal_reason,derived_from,aptos2019,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,APTOS 2019 Blindness Detection,0.3.0
mm_retinal_reason,derived_from,chaksu,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,CHAKSU: Multi-Device Glaucoma Fundus Dataset,0.3.0
mm_retinal_reason,derived_from,ddr,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,DDR: Diabetic Retinopathy Detection & Grading,0.3.0
mm_retinal_reason,derived_from,deepdrid,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,DeepDRiD: Diabetic Retinopathy Grading and Image Quality Dataset,0.3.0
mm_retinal_reason,derived_from,drishti_gs,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,DRISHTI-GS: Optic Disc and Cup Segmentation,0.3.0
mm_retinal_reason,derived_from,duke_chiu_boe,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,Duke OCT DME Dataset (Chiu BOE 2014),0.3.0
mm_retinal_reason,derived_from,e_ophtha,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,E-ophtha (EX + MA): Exudate and Microaneurysm Segmentation,0.3.0
mm_retinal_reason,derived_from,eyepacs,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,EyePACS — Diabetic Retinopathy Detection (Kaggle 2015),0.3.0
mm_retinal_reason,derived_from,fives,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,FIVES: Fundus Image Vessel Segmentation,0.3.0
mm_retinal_reason,derived_from,g1020,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,G1020: Glaucoma Benchmark Fundus Dataset,0.3.0
mm_retinal_reason,derived_from,gamma,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,GAMMA — Glaucoma Grading from Multi-Modality Images,0.3.0
mm_retinal_reason,derived_from,goals,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,GOALS — Glaucoma OCT Layer Segmentation (MICCAI 2022),0.3.0
mm_retinal_reason,derived_from,hassan_composite_retina,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,Composite Retinal Fundus and OCT Dataset with Clinical Markings,0.3.0
mm_retinal_reason,derived_from,hrf,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,HRF: High-Resolution Fundus Image Database,0.3.0
mm_retinal_reason,derived_from,idrid,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,IDRiD: Indian Diabetic Retinopathy Image Dataset,0.3.0
mm_retinal_reason,derived_from,jichi,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,Jichi Medical University Diabetic Retinopathy Dataset,0.3.0
mm_retinal_reason,derived_from,kermany_oct,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,Kermany OCT 2018: Retinal OCT Image Classification,0.3.0
mm_retinal_reason,derived_from,lag,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,LAG: Large-scale Attention-based Glaucoma Database,0.3.0
mm_retinal_reason,derived_from,oct_c8,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,Retinal OCT-C8: 8-Class OCT Classification,0.3.0
mm_retinal_reason,derived_from,octa_500,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,OCTA-500: Large-scale OCTA Multi-task Benchmark,0.3.0
mm_retinal_reason,derived_from,octdl,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,OCTDL: OCT Deep Learning Dataset,0.3.0
mm_retinal_reason,derived_from,octid,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,OCTID: OCT Image Database,0.3.0
mm_retinal_reason,derived_from,oimhs,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,OIMHS: OCT Image Macular Hole Segmentation Dataset,0.3.0
mm_retinal_reason,derived_from,palm,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,PALM — iChallenge Pathologic Myopia,0.3.0
mm_retinal_reason,derived_from,papila,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,PAPILA: Glaucoma Fundus Dataset with Clinical Data,0.3.0
mm_retinal_reason,derived_from,paraguay_dr,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,Paraguay Color Fundus DR Dataset,0.3.0
mm_retinal_reason,derived_from,refuge2018,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,REFUGE 2018: Retinal Fundus Glaucoma Challenge,0.3.0
mm_retinal_reason,derived_from,rfmid,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,RFMiD: Retinal Fundus Multi-disease Image Dataset,0.3.0
mm_retinal_reason,derived_from,roc,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,ROC: Retinopathy Online Challenge,0.3.0
