record_id,canonical_name,catalog_version,catalog_search_cutoff,identity_review_date,current_catalog_record,resource_role,resource_role_definition,dataset_family_id,dataset_family_member_count,dataset_family_members,outgoing_relationship_types,outgoing_relationship_targets,incoming_relationship_sources,relationship_evidence_urls,official_source_url,counting_rule
anterior_uveitis_corneal_endothelium,Anterior Uveitis Corneal Endothelium Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,anterior_uveitis_corneal_endothelium,1,anterior_uveitis_corneal_endothelium,,,,,https://doi.org/10.6084/m9.figshare.32054064.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
aod,AOD: Augmented Ocular Diseases Dataset,0.6.0,2026-08-02,2026-08-02,True,derivative_dataset,"A distinct data product that reuses one or more cataloged resources and adds processing, representations, synthesis, aggregation, or benchmark structure.",aod,1,aod,derived_from,odir2019,,https://doi.org/10.17632/d73g6m8d5m.1,https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
aptos2019,APTOS 2019 Blindness Detection,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,aptos2019,1,aptos2019,,,aptos_arcade_onh_masks|mm_retinal_reason|x_pcr,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af|https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef|https://zenodo.org/records/20711325,https://www.kaggle.com/c/aptos2019-blindness-detection,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
aptos_arcade_onh_masks,APTOS Vascular Arcade and Optic Nerve Head Masks,0.6.0,2026-08-02,2026-08-02,True,annotation_layer,"A data product whose principal addition is labels, masks, reports, questions, reasoning records, or other annotations for existing data.",aptos_arcade_onh_masks,1,aptos_arcade_onh_masks,derived_from,aptos2019,,https://zenodo.org/records/20711325,https://zenodo.org/records/20711325,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
aqp4_optic_neuritis_oct_layers,AQP4 Optic Neuritis OCT Layers Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,aqp4_optic_neuritis_oct_layers,1,aqp4_optic_neuritis_oct_layers,,,,,https://doi.org/10.6084/m9.figshare.3209908.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
aroi,AROI: Annotated Retinal OCT Images Database,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,aroi,1,aroi,,,,,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
aroma_octa,AROMA Retinal OCTA Artifact Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,aroma_octa,1,aroma_octa,,,,,https://doi.org/10.5281/zenodo.18258095,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
as_oct_keratitis,AS-OCT Keratitis Segmentation Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,as_oct_keratitis,1,as_oct_keratitis,,,,,https://doi.org/10.6084/m9.figshare.c.7036994.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
asd_eye_tracking,Autism Spectrum Disorder Eye-Tracking Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,asd_eye_tracking,1,asd_eye_tracking,,,,,https://doi.org/10.6084/m9.figshare.20113592.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,bajwa_multi_eye,1,bajwa_multi_eye,,,,,https://data.mendeley.com/datasets/rgwpd4m785/3,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
beh,BEH: Bangladesh Eye Hospital Glaucoma Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,beh,1,beh,,,smdg|x_pcr,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af|https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,belo,1,belo,,,,,https://belo-dataset.vercel.app/,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
binocular_fundus_images,Binocular Fundus Image Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,binocular_fundus_images,1,binocular_fundus_images,,,,,https://doi.org/10.6084/m9.figshare.31981557.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
birdshot_wide,Birdshot-WIDE Widefield Fundus Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,birdshot_wide,1,birdshot_wide,,,,,https://doi.org/10.5281/zenodo.19474623,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
bmrd,Bangladesh Multi-Disease Retinal Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,bmrd,1,bmrd,,,,,https://data.mendeley.com/datasets/959whsbc6v/1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
brasil_glaucoma_brg,Brazil Glaucoma (BrG) Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,brasil_glaucoma_brg,1,brasil_glaucoma_brg,,,,,https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
brset,BRSET: Brazilian Multilabel Ophthalmological Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,brset,1,brset,,,brset_mbrset_embeddings,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
brset_mbrset_embeddings,Embedding-Based Representations for BRSET and mBRSET,0.6.0,2026-08-02,2026-08-02,True,derivative_dataset,"A distinct data product that reuses one or more cataloged resources and adds processing, representations, synthesis, aggregation, or benchmark structure.",brset_mbrset_embeddings,1,brset_mbrset_embeddings,derived_from,brset|mbrset,,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cadis,CaDIS: Cataract Dataset for Image Segmentation,0.6.0,2026-08-02,2026-08-02,True,annotation_layer,"A data product whose principal addition is labels, masks, reports, questions, reasoning records, or other annotations for existing data.",cadis,1,cadis,derived_from,cataracts2017,insegcat,https://cataracts-semantic-segmentation2020.grand-challenge.org/|https://ftp.itec.aau.at/datasets/ovid/InSegCat/,https://cataracts-semantic-segmentation2020.grand-challenge.org/,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
casia2_as_oct_repeatability,CASIA2 Anterior-Segment OCT Repeatability Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,casia2_as_oct_repeatability,1,casia2_as_oct_repeatability,,,,,https://doi.org/10.6084/m9.figshare.29302664.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
casia2_keratometric_astigmatism,CASIA2 Keratometric Astigmatism Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,casia2_keratometric_astigmatism,1,casia2_keratometric_astigmatism,,,,,https://doi.org/10.6084/m9.figshare.26395018.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
casia_iris_v4,CASIA-IrisV4 Iris Image Database,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,casia_iris_v4,1,casia_iris_v4,,,,,https://hycasia.github.io/dataset/casia-irisv4/,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cataract,Cataract Fundus Classification Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cataract,1,cataract,,,,,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cataract101_extended_labels,Cataract-101 Extended Labels,0.6.0,2026-08-02,2026-08-02,True,annotation_layer,"A data product whose principal addition is labels, masks, reports, questions, reasoning records, or other annotations for existing data.",cataract101_extended_labels,1,cataract101_extended_labels,derived_from,cataract_101,,https://zenodo.org/records/4984167,https://zenodo.org/records/4984167,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cataract1k,Cataract-1K: Large-Scale Cataract Surgery Video Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cataract1k,1,cataract1k,,,lmod_cataract_1k|lmod_plus,https://huggingface.co/datasets/mehti/LMOD-Cataract-1K|https://kfzyqin.github.io/lmod_plus/,https://www.synapse.org/#!Synapse:syn53404917,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cataract_101,Cataract-101: 101 Cataract Surgery Videos with Phase Annotations,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cataract_101,1,cataract_101,,,cataract101_extended_labels|insegcat|itec_iris_pupil,https://ftp.itec.aau.at/datasets/ovid/InSegCat/|https://ftp.itec.aau.at/datasets/ovid/iris_pupil_seg/index.html|https://zenodo.org/records/4984167,https://ftp.itec.aau.at/datasets/ovid/cat-101/,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cataract_iol_biometry_outcomes,Cataract IOL Biometry and Outcomes Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cataract_iol_biometry_outcomes,1,cataract_iol_biometry_outcomes,,,,,https://doi.org/10.6084/m9.figshare.22736687.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cataract_lenstar_biometric_symmetry,Cataract LenStar Biometric Symmetry Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cataract_lenstar_biometric_symmetry,1,cataract_lenstar_biometric_symmetry,,,,,https://doi.org/10.6084/m9.figshare.32833895.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cataract_lmm,Cataract-LMM: Large-Scale Multi-Source Multi-Task Cataract Surgery Benchmark,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cataract_lmm,1,cataract_lmm,,,,,https://huggingface.co/datasets/mjahmadi/Cataract-LMM,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cataracts2017,CATARACTS 2017: Surgical Tool Detection Challenge,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cataracts2017,1,cataracts2017,,,cadis,https://cataracts-semantic-segmentation2020.grand-challenge.org/,https://ieee-dataport.org/open-access/cataracts,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cavri,CAVRI: Computer Analysis of VitreoRetinal Interface Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cavri,1,cavri,,,,,https://dsp.put.poznan.pl/cavri_database-191/,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
central_retinal_vessel_trunk_oag,Central Retinal Vessel Trunk Open-Angle Glaucoma Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,central_retinal_vessel_trunk_oag,1,central_retinal_vessel_trunk_oag,,,,,https://doi.org/10.1371/journal.pone.0158443.s001,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
chaksu,CHAKSU: Multi-Device Glaucoma Fundus Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,chaksu,1,chaksu,,,mm_retinal_reason,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,https://doi.org/10.6084/m9.figshare.20123135,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
chase_db1,CHASE_DB1: Child Heart and Health Study in England,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,chase_db1,1,chase_db1,,,retinal_vessel_robustness,https://zenodo.org/records/12659652,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
china_fundus_cimt,China Fundus and Carotid Intima-Media Thickness Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,china_fundus_cimt,1,china_fundus_cimt,,,,,https://doi.org/10.6084/m9.figshare.27907056.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
chronic_corneal_disorders,Chronic Corneal Disorders Clinical Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,chronic_corneal_disorders,1,chronic_corneal_disorders,,,,,https://data.mendeley.com/datasets/mcwv6thk8m/1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
coph100,COph100: Comprehensive Infant Fundus Image Registration Dataset (RIDIRP),0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,coph100,1,coph100,,,,,https://doi.org/10.6084/m9.figshare.27061084.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
corn1500,CORN-1500: Corneal Nerve Tortuosity Grading,0.6.0,2026-08-02,2026-08-02,True,component_dataset,A separately named and citable component of a cataloged collection.,corn_collection,3,corn1500|corn_collection|corn_pro,component_of,corn_collection,corn_collection,https://zenodo.org/records/19689814,https://zenodo.org/records/5880419,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
corn_collection,CORN: Corneal Confocal Microscope Dataset Collection,0.6.0,2026-08-02,2026-08-02,True,collection,A combined deposit or portal that exposes multiple named component datasets.,corn_collection,3,corn1500|corn_collection|corn_pro,has_component,corn1500|corn_pro,corn1500|corn_pro,https://zenodo.org/records/19689814,https://zenodo.org/records/19689814,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
corn_pro,CORN Pro: Corneal Nerve Confocal Microscopy Dataset,0.6.0,2026-08-02,2026-08-02,True,component_dataset,A separately named and citable component of a cataloged collection.,corn_collection,3,corn1500|corn_collection|corn_pro,component_of,corn_collection,corn_collection,https://zenodo.org/records/19689814,https://zenodo.org/records/14263883,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
corneal_curvature_fundus,Corneal Curvature Prediction Using Fundus Photography,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,corneal_curvature_fundus,1,corneal_curvature_fundus,,,,,https://data.mendeley.com/datasets/bc2jfr7dv9/1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
corneal_epithelium_confocal,Keratoconus Corneal Epithelium Confocal Fluorescence Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,corneal_epithelium_confocal,1,corneal_epithelium_confocal,,,,,https://data.mendeley.com/datasets/n3gky25brh/2,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
corneal_nerve_parkinsons,Corneal Nerve Parkinson Disease Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,corneal_nerve_parkinsons,1,corneal_nerve_parkinsons,,,,,https://doi.org/10.6084/m9.figshare.28189571.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
corneal_parameters_kc,Corneal Parameters Keratoconus Study,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,corneal_parameters_kc,1,corneal_parameters_kc,,,,,https://data.mendeley.com/datasets/3nz4fkwn3y/1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
corneal_tomography_iol,Multi-Parameter Corneal Tomography Dataset for IOL Selection,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,corneal_tomography_iol,1,corneal_tomography_iol,,,,,https://data.mendeley.com/datasets/wddj7bh9p9/1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cornorb,CornOrb: Orbscan Corneal Topography and Clinical Annotations,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cornorb,1,cornorb,,,,,https://zenodo.org/records/20542091,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
csc_fundus_segmentation,Central Serous Chorioretinopathy Fundus Segmentation Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,csc_fundus_segmentation,1,csc_fundus_segmentation,,,,,https://data.mendeley.com/datasets/4k64fwnp4k/5,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
csdi,CSDI: Cataract Severity Diagnostic Image Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,csdi,1,csdi,,,,,https://huggingface.co/datasets/RainyNight/CSDI,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
cyp1b1_poag_genotypes,CYP1B1 Primary Open-Angle Glaucoma Genotype Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,cyp1b1_poag_genotypes,1,cyp1b1_poag_genotypes,,,,,https://doi.org/10.25451/flinders.16545561.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
data_oct_fundus_glaucoma,Data on OCT and Fundus Images,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,data_oct_fundus_glaucoma,1,data_oct_fundus_glaucoma,,,,,https://data.mendeley.com/datasets/2rnnz5nz74/2,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
