doi,title,decision,reason,modality,tasks,primary_quantity_count,primary_quantity_unit,quantity_evidence_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.1g6vm34,"Data from: Ophthalmologic evaluation of severely obese patients undergoing bariatric surgery: a pilot, monocentric, prospective, open-label study",add_now,Patient-level longitudinal ophthalmic and OCT measurements are documented for the bariatric cohort.,tabular|oct,longitudinal_analysis|regression,57,participants,official_Dryad_description,https://doi.org/10.1371/journal.pone.0216351,1,1,32456,,no_documented_catalog_relationship,high
10.5061/dryad.1jwstqk8h,Supplementary data from: Early vertebrate biomineralisation and eye structure determined by synchrotron X-ray analyses of Silurian jawless fish,exclude,"Deposit contains only a supplementary-information PDF and README for fossil research, not reusable ocular data.",document,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rspb.2025.2248,5,2,6869142,,no_documented_catalog_relationship,high
10.5061/dryad.1n50q,Data from: Axial myopia is associated with visual field prognosis of primary open-angle glaucoma,add_now,Glaucoma visual-field and clinical table covers 270 eyes with explicit variables.,visual_field|tabular,prognosis|regression,270,eyes,official_Dryad_description,https://doi.org/10.1371/journal.pone.0133189,1,1,77824,,no_documented_catalog_relationship,high
10.5061/dryad.1qh4c,"Data from: The core planar cell polarity gene, Vangl2, directs adult corneal epithelial cell alignment and migration",exclude,"Prism/figure files are paper-specific supporting materials, not a distinct corneal data resource.",tabular,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rsos.160658,1,17,15940971,,no_documented_catalog_relationship,high
10.5061/dryad.1vhhmgqp7,The functional organization of excitation and inhibition in the dendritic arbors of retinal direction-selective ganglion cells,exclude,Figure-source spreadsheets are article support files without a separately described reusable retinal resource.,tabular,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.7554/eLife.52949,4,11,8187425,,no_documented_catalog_relationship,high
10.5061/dryad.1zcrjdfq7,"Eye size and investment in frogs and toads correlate with adult habitat, activity pattern and breeding ecology",add_now,Raw anuran eye/cornea morphology and specimen tables form a reusable ocular comparative dataset.,ocular_morphology|tabular,measurement|comparative_analysis,640,specimens,official_Dryad_description,https://doi.org/10.1098/rspb.2020.1393,5,6,656860,,no_documented_catalog_relationship,high
10.5061/dryad.21705km,Data from: Convergent evolution of body color between sympatric freshwater fishes via different visual sensory evolution,exclude,"Files are phylogenetic contigs for fish colour evolution, not direct ocular measurements or annotations.",omics,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1002/ece3.5211,1,4,13720887,,no_documented_catalog_relationship,high
10.5061/dryad.23rj4pm,Data from: Bumblebee visual allometry results in locally improved resolution and globally improved sensitivity,add_now,Bee-eye morphology archives and MATLAB data are a named reusable ocular-structure resource.,ocular_morphology|micro_ct,measurement|comparative_analysis,8,specimens,official_Dryad_description,https://doi.org/10.7554/eLife.40613,1,4,59991139,,no_documented_catalog_relationship,high
10.5061/dryad.246qg,Data from: Transformation of stimulus correlations by the retina,add_now,Retinal population recordings and stimulus archives are explicitly documented for reuse.,electrophysiology,neural_decoding|time_series_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pcbi.1003344,1,8,638548041,,no_documented_catalog_relationship,high
10.5061/dryad.24732,Data from: Near absence of differential gene expression in the retina of rainbow trout after exposure to a magnetic pulse: implications for magnetoreception,add_now,"Retinal RNA-seq counts, assemblies, and sample sheet form a reusable retinal transcriptomics resource.",omics,differential_expression|variant_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rsbl.2018.0209,1,10,602881490,,no_documented_catalog_relationship,high
10.5061/dryad.27m63,Data from: Vascular patterns in iguanas and other squamates: blood vessels and sites of thermal exchange,exclude,General iguana head vascular CT deposit is not an ocular resource despite eye-adjacent anatomy.,micro_ct,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pone.0139215,2,6,3159768983,,no_documented_catalog_relationship,high
10.5061/dryad.280gb5mtf,Multiple rod layers increase the speed and sensitivity of vision in nocturnal reef fishes,add_now,Species eye-diameter and ERG sensitivity/resolution tables are direct comparative retina data.,ocular_morphology|electrophysiology,measurement|comparative_analysis,3,species,official_Dryad_description,https://doi.org/10.1098/rspb.2023.1749,8,5,26748,,no_documented_catalog_relationship,high
10.5061/dryad.2gn8c,Data from: Oxidative stress-mediated NFκB phosphorylation upregulates p62/SQSTM1 and promotes retinal pigmented epithelial cell survival through increased autophagy,defer_insufficient_metadata,Generic supporting-data archive lacks a file-level description sufficient to establish a reusable RPE data object without download.,microscopy|omics,unknown,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pone.0171940,1,1,10901661,,no_documented_catalog_relationship,medium
10.5061/dryad.2jn03,Data from: The flashlight fish Anomalops katoptron uses bioluminescent light to detect prey in the dark,add_now,"Named fish blink, wavelength, and anatomy table is direct ocular/visual-system data.",ocular_morphology|tabular,behavior_analysis|measurement,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pone.0170489,1,1,968028,,no_documented_catalog_relationship,high
10.5061/dryad.2k4v4,Data from: Measurement of systemic mitochondrial function in advanced primary open-angle glaucoma and Leber hereditary optic neuropathy,add_now,Glaucoma/LHON mitochondrial-function archive is a documented disease-linked clinical molecular dataset.,omics|tabular,case_control_analysis|regression,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pone.0140919,1,1,14688,,no_documented_catalog_relationship,high
10.5061/dryad.2rbnzs7jm,"Ectopic expression of BBS1 rescues male infertility, but not retinal degeneration, in a BBS1 mouse model ",add_now,Raw-data table documents retinal-degeneration mouse phenotypes including OCT eye measurements.,tabular|oct,phenotyping|regression,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1038/s41434-021-00241-1,6,1,58847,,no_documented_catalog_relationship,high
10.5061/dryad.2v7m744,Data from: Longitudinal optic neuritis-unrelated visual evoked potential changes in NMO spectrum disorders,exclude,"Deposit provides only supplemental-figure PDFs, with no reusable VEP table or signal archive.",document,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1212/WNL.0000000000008684,2,3,164114,,no_documented_catalog_relationship,high
10.5061/dryad.2z34tmpnc,Visual pursuit behavior in mice maintains the pursued prey on the retinal region with least optic flow,add_now,"Mouse eye/head trajectories, meshes, scans, and behavioral labels support a distinct visual-behavior resource.",eye_tracking|behavioral,tracking|behavior_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.7554/eLife.70838,4,5,995489475,,no_documented_catalog_relationship,high
10.5061/dryad.32j0040,Data from: The evolution of iris colour in relation to nocturnality in owls,add_now,Raw owl iris-colour comparative table is a reusable ocular morphology dataset.,external_eye|tabular,comparative_analysis|classification,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1111/jav.01908,1,1,20684,,no_documented_catalog_relationship,high
10.5061/dryad.33kh1,Data from: Eye and head movements are complementary in visual selection,add_now,Human gaze-contingent experiment provides eye/head movement distribution data with metadata.,eye_tracking,behavior_analysis|measurement,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rsos.160569,1,1,82791,,no_documented_catalog_relationship,high
10.5061/dryad.37pvmcvzx,Data from: Bulk-seq results from peripheral blood mononuclear cells (PBMCs) of VKH patients and proteomic profiling of shAPOE-transduced HMC3 cells were employed to uncover potential downstream targets of APOE,add_now,VKH clinical/transcriptomic and proteomic archives provide a documented uveitis molecular resource.,omics|tabular,differential_expression|biomarker_discovery,unknown,unknown,not_reported_in_official_metadata,unknown,3,5,68879258875,,no_documented_catalog_relationship,high
10.5061/dryad.3b65k44,Data from: Reverting ontogeny: rapid phenotypic plasticity of color vision in cichlid fish,add_now,qPCR observations of fish retinal opsin expression are reusable visual-system molecular data.,omics,differential_expression|measurement,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rsos.190841,1,1,30387,,no_documented_catalog_relationship,high
10.5061/dryad.3cp54,"Data from: Analysis of potential ischemic effect of intravitreal bevacizumab on unaffected retina in treatment-naïve macular edema due to branch retinal vein occlusion: a prospective, interventional case-series",add_now,"Named OCT, fluorescein, and mfERG archives form a multimodal BRVO ocular resource.",oct|retinal_imaging|electrophysiology,measurement|longitudinal_analysis,27,eyes,official_Dryad_description,https://doi.org/10.1371/journal.pone.0162533,1,3,61440336,,no_documented_catalog_relationship,high
10.5061/dryad.3gq6t,Data from: Zinc supplementation inhibits complement activation in age-related macular degeneration,add_now,Clinical-trial spreadsheet and README provide AMD complement/zinc outcome data.,tabular|omics,case_control_analysis|regression,72,participants,official_Dryad_description,https://doi.org/10.1371/journal.pone.0112682,1,2,62634,,no_documented_catalog_relationship,high
10.5061/dryad.3q7p2,Data from: Co-expression of two subtypes of melatonin receptor on rat M1-type intrinsically photosensitive retinal ganglion cells,exclude,Figure archives are paper-support materials rather than a separately documented reusable ipRGC resource.,microscopy,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pone.0117967,1,5,2860878257,,no_documented_catalog_relationship,high
10.5061/dryad.3r2280gxj,Data from: MFRP is a molecular hub that organizes the apical membrane of RPE cells by engaging in interactions with specific proteins and lipids,exclude,"Extensive figure-labelled molecular values remain paper-specific source data, not a distinct reusable MFRP resource.",omics,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1073/pnas.2425523122,2,87,160656,,no_documented_catalog_relationship,high
10.5061/dryad.3tx95x6n6,"Data from: Two genes, one culprit - a functional candidate validation of a <em>SPATA7</em> deletion in dogs with day blindness/retinal degeneration",add_now,Canine retinal-degeneration GWAS and sequencing files are a direct reusable disease-genomics resource.,omics,variant_analysis|association_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pgen.1011961,4,5,34380282367,,no_documented_catalog_relationship,high
10.5061/dryad.3vv31qq,Data from: Mutation in the intracellular chloride channel CLCC1 associated with autosomal recessive retinitis pigmentosa,add_now,Raw WES/SNP files from retinitis-pigmentosa families constitute a distinct retinal genomics resource.,omics,variant_analysis|diagnosis,8,families,official_Dryad_description,https://doi.org/10.1371/journal.pgen.1007504,1,1,36607394,,no_documented_catalog_relationship,high
10.5061/dryad.3xsj3txbr,Microhabitat partitioning correlates with opsin gene expression in coral reef cardinalfishes (Apogonidae),add_now,Raw fish eye-size and microhabitat tables are a reusable visual-system comparative dataset.,ocular_morphology|tabular,comparative_analysis|regression,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1111/1365-2435.13529,2,13,3313628,,no_documented_catalog_relationship,high
10.5061/dryad.444s1,Data from: UV wavelengths experienced during development affect larval newt visual sensitivity and predation efficiency,add_now,Newt retinal opsin-expression and visual-sensitivity experiments are direct reusable visual-system data.,omics|tabular,differential_expression|behavior_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rsbl.2015.0954,1,3,38086,,no_documented_catalog_relationship,high
10.5061/dryad.475bv7s,Data from: Predation selects for smaller eye size in a vertebrate: effects of environmental conditions and sex,add_now,Eye-size predator-selection experiment tables are a reusable ocular morphology resource.,ocular_morphology|tabular,comparative_analysis|regression,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rspb.2018.2625,1,4,93161,,no_documented_catalog_relationship,high
10.5061/dryad.47d7wm3dt,Influence of COVID‑19 on the prognosis and medication compliance of glaucoma patients in the Nile Delta Region,defer_insufficient_metadata,Single opaque Mastersheet document does not expose variables or a reusable schema in official metadata.,tabular,unknown,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.2147/opth.s342682,4,1,38912,,no_documented_catalog_relationship,medium
10.5061/dryad.47d7wm3kx,An ON-type direction selective ganglion cell in primate retina,add_now,README plus primate retinal EDF and figure/data archives document a direct retinal-cell resource.,omics|electrophysiology,cell_type_classification|neural_decoding,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1038/s41586-023-06659-4,4,13,64655258350,,no_documented_catalog_relationship,high
10.5061/dryad.47d7wm3tz,Cone bipolar cell synapses generate transient versus sustained signals in parallel ON pathways of the mouse retina,add_now,"MATLAB, EM, and imaging data files with README form a reusable mouse-retinal circuit resource.",electrophysiology|microscopy,neural_decoding|measurement,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.7554/elife.98817.3,5,7,1519297,,no_documented_catalog_relationship,high
10.5061/dryad.4fn70,Data from: The effect of Speed of Processing training on microsaccade magnitude,add_now,Archive explicitly includes participant eye-tracking/behavior data and analysis code.,eye_tracking|behavioral,behavior_analysis|measurement,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pone.0107808,1,2,755249031,,no_documented_catalog_relationship,high
10.5061/dryad.4j0zpc8mm,Data from: Biomarker detection and validation for corneal involvement in patients with acute infectious conjunctivitis: A multi-country study,add_now,"Raw counts, sample metadata, mapping file, and README form a reusable conjunctivitis transcriptomics resource.",omics|tabular,biomarker_discovery|classification,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1001/jamaophthalmol.2024.2891,3,4,8983041,,no_documented_catalog_relationship,high
10.5061/dryad.4mw6m906b,Data from: The Moorfields AMD database report 2 - fellow eye involvement with neovascular age-related macular degeneration,add_now,Distinct fellow-eye nAMD outcome table; related to cataloged Moorfields resources but not an unmodified duplicate.,tabular|oct,prognosis|regression,6265,patients,official_Dryad_description,https://doi.org/10.1136/bjophthalmol-2019-314446,7,2,15505168,dryad_namd_oct_quant;dryad_namd_visual_prediction,shared_source_cohort_distinct_outcome_task,high
10.5061/dryad.4mw6m90d7,Ocular lens morphology is influenced by ecology and metamorphosis in frogs and toads,add_now,Lens-shape data from 179 microCT scans form a distinct ocular morphology resource.,ocular_morphology|micro_ct,measurement|comparative_analysis,179,scans,official_Dryad_description,https://doi.org/10.1098/rspb.2022.0767,4,2,128490,,no_documented_catalog_relationship,high
10.5061/dryad.4p55b,Data from: Outcomes of cataract surgery in urban and rural population in the South Indian State of Andhra Pradesh: Rapid Assessment of Visual Impairment (RAVI) Project,add_now,Population cataract outcome table is a reusable ophthalmic epidemiology resource.,tabular,epidemiology|outcome_analysis,1228,eyes,official_Dryad_description,https://doi.org/10.1371/journal.pone.0167708,1,1,1216284,,no_documented_catalog_relationship,high
10.5061/dryad.4qrfj6qm8,Larval salamander retinal population data in response to natural movies from the Chicago Motion Database,add_now,Salamander retinal spiking and natural-movie stimuli are a documented neural-recording resource.,electrophysiology,neural_decoding|time_series_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1073/pnas.2313676121,3,8,1950953657,,no_documented_catalog_relationship,high
10.5061/dryad.4xgxd2593,The cell adhesion molecule Sdk1 shapes assembly of a retinal circuit that detects localized edges,add_now,Retinal RGC imaging/registration archive supports a distinct circuit and edge-detection task.,microscopy|electrophysiology,segmentation|neural_decoding,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.7554/eLife.70870,3,2,3453042981,,no_documented_catalog_relationship,high
10.5061/dryad.56f1h,Data from: Quantitative analysis of fundus-image sequences reveals phase of spontaneous venous pulsations,add_now,Twelve near-infrared fundus sequences are explicitly documented with acquisition details.,fundus,measurement|time_series_analysis,12,sequences,official_Dryad_description,https://doi.org/10.1167/tvst.4.5.3,1,2,118583295,,no_documented_catalog_relationship,high
10.5061/dryad.58791,Data from: Retinal capillary rarefaction in patients with type 2 diabetes mellitus,add_now,Retinal capillary measurement file documents a clinical case-control resource.,retinal_imaging|tabular,case_control_analysis|regression,73,participants,official_Dryad_description,https://doi.org/10.1371/journal.pone.0162608,1,1,54983,,no_documented_catalog_relationship,high
10.5061/dryad.597ch,Data from: Comprehensive analysis of vitreous specimens for uveitis classification: a prospective multicentre observational study,add_now,Vitreous biomarker and clinical table covers 234 eyes in a multicentre uveitis study.,omics|tabular,classification|biomarker_discovery,234,eyes,official_Dryad_description,https://doi.org/10.1136/bmjopen-2016-014549.,1,1,74836,,no_documented_catalog_relationship,high
10.5061/dryad.59zw3r233,Data from: Elovanoids counteract oligomeric β-Amyloid-induced gene expression and protect photoreceptors,exclude,Deposit is supplementary PDFs/tables for one article and lacks a separately documented reusable retinal resource.,document|tabular,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1073/pnas.1912959116,1,9,26051128,,no_documented_catalog_relationship,high
10.5061/dryad.59zw3r2b7,Analysis of rod-cone dystrophy genes reveals unique mutational patterns,add_now,Gene-association table and labels are a defined rod-cone-dystrophy mutation-pattern resource.,omics,variant_analysis|classification,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1136/bmjos-2022-100291,7,3,69576,,no_documented_catalog_relationship,high
10.5061/dryad.59zw3r2bk,Utility of standard diffusion-weighted magnetic resonance imaging for the identification of ischemic optic neuropathy in giant cell arteritis,add_now,Optic-nerve MRI assessment table with README is a direct ocular-neuroimaging resource.,mri|tabular,classification|case_control_analysis,37,scans,official_Dryad_description,https://doi.org/10.1038/s41598-022-20916-y,4,2,695487,,no_documented_catalog_relationship,high
10.5061/dryad.5bc8vd7,Data from: Zebrafish differentially process colour across visual space to match natural scenes,add_now,Preprocessed/processed zebrafish retinal traces and data-structure documentation form a reusable resource.,microscopy|electrophysiology,neural_decoding|time_series_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1016/j.cub.2018.04.075,1,4,553198835,,no_documented_catalog_relationship,high
10.5061/dryad.5dn13,Data from: Significant correlation between retinal venous tortuosity and aqueous vascular endothelial growth factor concentration in eyes with central retinal vein occlusion,add_now,CRVO eye-level tortuosity and VEGF table is a documented clinical ocular resource.,tabular|retinal_imaging,regression|biomarker_discovery,32,eyes,official_Dryad_description,https://doi.org/10.1371/journal.pone.0134267,1,1,18399,,no_documented_catalog_relationship,high
10.5061/dryad.5qfttdz19,Association of cataract and sun exposure in geographically diverse populations of India: the case study. first report of the ICMR-EYE SEE study group,add_now,"Person-wise cataract/UV exposure archive includes data, code, and codebook.",tabular,epidemiology|regression,9735,participants,official_Dryad_description,https://doi.org/10.1371/journal.pone.0227868,6,2,2438708,,no_documented_catalog_relationship,high
10.5061/dryad.5qfttdz5d,WES of the proband with a novel RPGR mutation,add_now,Paired FASTQ files provide a direct cone-rod-dystrophy sequencing resource for the documented proband.,omics,variant_analysis|diagnosis,1,sequencing_samples,official_Dryad_description,https://doi.org/10.1186/s12886-021-02166-0,2,2,4478935663,,no_documented_catalog_relationship,high
10.5061/dryad.5t9d1,Data from: Long-term visual outcomes of secondary intraocular lens implantation in children with congenital cataract,add_now,Pediatric secondary-IOL outcome spreadsheet is a reusable clinical ophthalmology table.,tabular,outcome_analysis|regression,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pone.0134864,1,1,21814,,no_documented_catalog_relationship,high
10.5061/dryad.5tb2rbp1k,Data from: Novel roles of chloroquine and hydroxychloroquine in Graves’ orbitopathy therapy by targeting orbital fibroblasts,exclude,Only a supplemental-data PDF is deposited; no reusable orbital-fibroblast data object is documented.,document,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1210/clinem/dgaa161,10,1,10134172,,no_documented_catalog_relationship,high
10.5061/dryad.612jm649r,Data from: Plane wave Doppler determination of blood flow in retinopathy of prematurity,add_now,ROP Doppler examination table with README is a documented retinal clinical measurement resource.,tabular|ultrasound,measurement|classification,unknown,unknown,not_reported_in_official_metadata,unknown,4,2,33701,,no_documented_catalog_relationship,high
10.5061/dryad.61dr5,"Data from: Avian cephalic vascular anatomy, sites of thermal exchange, and the rete ophthalmicum",exclude,General avian cephalic vascular CT collection is not a direct ocular resource despite rete ophthalmicum mention.,micro_ct,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1002/ar.23375,2,5,3439562821,,no_documented_catalog_relationship,high
10.5061/dryad.66t1g1k1x,Examples of misclassified images of papilledema severity by the Deep Learning System,exclude,"Deposit provides only examples of model misclassifications, not the fundus-image dataset or a distinct annotation layer.",fundus,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1212/WNL.0000000000012226,2,2,1746060,,no_documented_catalog_relationship,high
10.5061/dryad.69p8cz982,Multimodal mucosal and systemic immune characterization of a non-human primate trachoma model highlights the critical role of local immunity during acute phase disease ,add_now,README and data archive document a nonhuman-primate trachoma ocular immune resource.,omics|tabular,biomarker_discovery|classification,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pntd.0012388,3,2,1715551877,,no_documented_catalog_relationship,high
10.5061/dryad.6cp6f,Data from: Controlled iris radiance in a diurnal fish looking at prey,add_now,Ocular-spark spectral and experimental tables are a direct reusable iris-radiance resource.,external_eye|spectroscopy,behavior_analysis|measurement,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rsos.170838,1,4,448698,,no_documented_catalog_relationship,high
10.5061/dryad.6djh9w17c,Data for: Global frequency analyses of canine progressive rod-cone degeneration–progressive retinal atrophy and collie eye anomaly using commercial genetic testing data,add_now,"Canine PRCD/CEA genotype table is a large, direct inherited-eye-disease resource.",omics|tabular,variant_analysis|epidemiology,86667,genotypes,official_Dryad_description,https://doi.org/10.3390/genes14112093,5,2,5825605,,no_documented_catalog_relationship,high
10.5061/dryad.6kg1sd7,Data from: Association of diabetic retinopathy and diabetic macular edema with renal function in southern Chinese patients with type 2 diabetes mellitus: a single-center observational study,add_now,Diabetic-retinopathy/macular-edema clinical table covers 413 patients.,tabular,association_analysis|classification,413,participants,official_Dryad_description,https://doi.org/10.1136/bmjopen-2019-031194,1,1,202240,,no_documented_catalog_relationship,high
10.5061/dryad.6m3n9,Data from: Pigmented anatomy in Carboniferous cyclostomes and the evolution of the vertebrate eye,exclude,Fossil phylogenetic character matrix concerns eye evolution but is not an ophthalmology or ocular data resource.,tabular,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rspb.2016.1151,1,2,130572,,no_documented_catalog_relationship,high
10.5061/dryad.6np02kb,Pinopsin evolved as the ancestral dim-light visual opsin in vertebrates,exclude,Archive is described only as TIFF figure files and does not establish a reusable retinal dataset.,microscopy,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1038/s42003-018-0164-x,2,1,181159647,,no_documented_catalog_relationship,high
10.5061/dryad.6t1g1jx9s,Comparison of antimicrobial resistance genes on the ocular surface of patients with corneal infections in California and Malawi,add_now,"Per-patient ocular-surface AMR counts, metadata, and README are a reusable keratitis resource.",omics|tabular,classification|biomarker_discovery,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1093/inthealth/ihaf042,7,3,12880,,no_documented_catalog_relationship,high
10.5061/dryad.71hp4,"Data from: Cataract surgery visual outcomes and associated risk factors in secondary level eye care centers of L V Prasad Eye Institute, India",add_now,"Cataract-surgery outcome file covers a random sample of 2,049 surgeries.",tabular,outcome_analysis|regression,2049,surgeries,official_Dryad_description,https://doi.org/10.1371/journal.pone.0144853,1,1,452222,,no_documented_catalog_relationship,high
10.5061/dryad.75r59p2,Data from: Optical coherence tomography is highly sensitive in detecting prior optic neuritis,exclude,"Deposit contains supplemental presentation/PDF figures only, not OCT measurements or image data.",document,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1212/wnl.0000000000006873,1,2,273723,,no_documented_catalog_relationship,high
10.5061/dryad.76hdr7t64,Data from: Phagocytosed photoreceptor outer segment particles within the retinal pigment epithelium show diurnal rhythmicity and variation between cone subtypes in larval zebrafish,add_now,Dataset archive and README document zebrafish retinal/RPE phagosome imaging data.,microscopy,measurement|time_series_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1096/fj.202500211R,3,2,6627585574,,no_documented_catalog_relationship,high
10.5061/dryad.79cnp5hw7,Distinct type II opsins in the eye decode light properties for background adaptation and behavioural background preference,exclude,"Figure-labelled text values are article support materials, not a separately documented ocular dataset.",tabular,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1111/mec.16203,7,26,49201,,no_documented_catalog_relationship,high
10.5061/dryad.7pvmcvf8d,Plasma metabolomes of aged rhesus macaques with and without maculopathies,add_now,Workbook and README provide a defined NHP maculopathy/metabolomics phenotype resource.,omics|tabular,biomarker_discovery|case_control_analysis,unknown,unknown,not_reported_in_official_metadata,unknown,8,2,659872,,no_documented_catalog_relationship,high
