doi,title,decision,reason,matched_existing_record,relationship_type,confidence
10.5061/dryad.1f1rc,Data from: Error-robust modes of the retinal population code,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.1g1jwstzs,Comparison of allosteric signaling in DnaK and BiP using mutual information between simulated residue conformations,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1g1jwsv8g,"Data from: North American barn swallows pair, mate, and interact assortatively",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1g1jwsv9d,Retinal calcium waves coordinate uniform tissue patterning of the Drosophila eye,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.1g23q,Data from: Diagnostic value of transthoracic echocardiography in patients with coarctation of aorta: the Chinese experience in 53 patients studied between 2008 and 2012 in one major medical center,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1g6vm34,"Data from: Ophthalmologic evaluation of severely obese patients undergoing bariatric surgery: a pilot, monocentric, prospective, open-label study",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.1gm77f6,Data from: Number of neighbors instead of group size significantly affects individual vigilance levels in large animal aggregations,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1h272,Data from: The opsin genes of Amazonian cichlids,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1j1f3,Data from: Sexual dimorphism and retinal mosaic diversification following the evolution of a violet receptor in butterflies,exclude,Retina term is not sufficient here to establish a distinct reusable eye-data resource from the supplied metadata.,,,high
10.5061/dryad.1jwstqk8h,Supplementary data from: Early vertebrate biomineralisation and eye structure determined by synchrotron X-ray analyses of Silurian jawless fish,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.1kf36,Data from: Dendritic network structure and dispersal affect temporal dynamics of diversity and species persistence,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1kv63,Data from: Loss of reproductive output caused by an invasive species,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1n50q,Data from: Axial myopia is associated with visual field prognosis of primary open-angle glaucoma,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.1pj40,Data from: A qualitative study exploring the health literacy issues in the care of Chinese American immigrants with diabetes,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1qh4c,"Data from: The core planar cell polarity gene, Vangl2, directs adult corneal epithelial cell alignment and migration",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.1rn8pk0wz,"Functional and ecomorphological evolution of orbit shape in Mesozoic archosaurs is driven by body size and diet: Geometric morphometric data, 3D models (stl files), FEA models (Hypermesh, Abaqus files)",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1rn8pk11k,Data from: Current-induced switching of a van der Waals ferromagnet at room temperature,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1rn8pk13p,Supplementary data from: 2'-O-Galloylhyperin prevents tissue remodeling in thyroid eye disease: prospects as a thyrotropin receptor antagonist,needs_manual_review,"Thyroid-eye-disease supplement is relevant, but supplied metadata does not describe reusable data contents well enough for automatic inclusion.",,,medium
10.5061/dryad.1v8kj,Data from: Nocturnality in Synapsids predates the origin of mammals by over 100 million years,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1vhhmgqp7,The functional organization of excitation and inhibition in the dendritic arbors of retinal direction-selective ganglion cells,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.1zcrjdfq7,"Eye size and investment in frogs and toads correlate with adult habitat, activity pattern and breeding ecology",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.21705km,Data from: Convergent evolution of body color between sympatric freshwater fishes via different visual sensory evolution,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.224h5kr,Data from: Pest suppression in cultivar mixtures is influenced by neighbor-specific plant-plant communication,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2280gb5qw,Data from: Are acute and acclimated thermal effects on metabolic rate modulated by cell size? A comparison between diploid and triploid zebrafish larvae,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2306t,Data from: Shear-induced orientational dynamics and spatial heterogeneity in suspensions of motile phytoplankton,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.23rj4pm,Data from: Bumblebee visual allometry results in locally improved resolution and globally improved sensitivity,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.245j1p8,Data from: Predicted tracking error triggers catch-up saccades during smooth pursuit,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.246qg,Data from: Transformation of stimulus correlations by the retina,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.24732,Data from: Near absence of differential gene expression in the retina of rainbow trout after exposure to a magnetic pulse: implications for magnetoreception,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.2547d7wpr,Quantum interference between spin-orbit split partial waves in the F+HD→HF+D reaction,exclude,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",,,high
10.5061/dryad.26530,Data from: Macroevolutionary and morphofunctional patterns in theropod skulls: a morphometric approach,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.27812c7,Data from: Reconstruction of larval origins based on genetic relatedness and biophysical modeling,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.27m63,Data from: Vascular patterns in iguanas and other squamates: blood vessels and sites of thermal exchange,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.27sk4,Data from: Patients’ subjective assessment of the duration of cataract surgery: a case series,exclude,"Ocular keyword hit, but title/metadata does not establish a distinct reusable eye or ophthalmology data resource.",,,high
10.5061/dryad.280gb5mtf,Multiple rod layers increase the speed and sensitivity of vision in nocturnal reef fishes,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.280gb5mxc,"Structural, electronic, and magnetic properties of CrTe2",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.29j22tt,Data from: Visual approach computation in feeding hoverflies,exclude,Vision/behaviour search hit without direct ocular or ophthalmic data in the repository metadata.,,,high
10.5061/dryad.2fqz612kr,Parallel CRISPR-Cas9 screens clarify impacts of p53 on screen performance,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2fqz612mk,"Data from: Global vegetation patterns of the past 140,000 years",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2fqz612r4,Factors associated with coronary heart disease in COPD patients and controls,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2fqz612x7,Eccentric orbits may enhance the habitability of Earth-like exoplanets,exclude,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",,,high
10.5061/dryad.2gn8c,Data from: Oxidative stress-mediated NFκB phosphorylation upregulates p62/SQSTM1 and promotes retinal pigmented epithelial cell survival through increased autophagy,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.2jm63xskb,Ventral motion parallax enhances fruit fly steering to visual sideslip,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2jm63xt1s,"Data from: Comprehensive first principles study on CO and NO gas adsorption effects on the structural, electronic, and optical properties of ASiSn nanoribbons",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2jm63xt35,Type I hair cells of striolar and central zones in vestibular organs are essential for head stability and postural control,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2jn03,Data from: The flashlight fish Anomalops katoptron uses bioluminescent light to detect prey in the dark,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.2k4v4,Data from: Measurement of systemic mitochondrial function in advanced primary open-angle glaucoma and Leber hereditary optic neuropathy,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.2rbnzs7jm,"Ectopic expression of BBS1 rescues male infertility, but not retinal degeneration, in a BBS1 mouse model",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.2rbnzs7m4,Quantitative analysis of optical coherence tomography for neovascular age-related macular degeneration using deep learning,exclude,Exact Dryad DOI already cataloged; exclude duplicate record.,dryad_namd_oct_quant,exact_duplicate,high
10.5061/dryad.2v6wwq02w,Data from: Structural and mechanical properties facilitate shock wave damping by helmet-like orbital hoods in snapping shrimp,exclude,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",,,high
10.5061/dryad.2v7m744,Data from: Longitudinal optic neuritis-unrelated visual evoked potential changes in NMO spectrum disorders,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.2z34tmpnc,Visual pursuit behavior in mice maintains the pursued prey on the retinal region with least optic flow,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.2z34tmpqk,Optogenetic activation of visual thalamus generates artificial visual percepts,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.2z34tmprn,Data for: Social assessment of miscanthus cultivation in Croatia: Assessing farmers’ preferences and willingness to cultivate the crop,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.31726,Data from: A basal lithostrotian titanosaur (Dinosauria: Sauropoda) with a complete skull: implications for the evolution and paleobiology of Titanosauria,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.31zcrjdh6,Data from: Evaluation of the Laguerre-Gaussian mode purity produced by 3D-printed microwave spiral phase plates,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.31zcrjdmr,Data from: Informing conservation strategies with museum genomics: Long-term effects of past anthropogenic persecution on the elusive European wildcat,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.31zcrjdpb,Proton-transporting heliorhodopsins from marine giant viruses,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.32j0040,Data from: The evolution of iris colour in relation to nocturnality in owls,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.33kh1,Data from: Eye and head movements are complementary in visual selection,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.349h0,Data from: Testing the applicability of a benthic foraminiferal-based transfer function for the reconstruction of paleowater depth changes in Rhodes (Greece) during the early Pleistocene,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.34jb6,Data from: Three decades of cultural evolution in Savannah sparrow songs,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.34tmpg4wn,Data from: Neural categorization of visual words of alphabetic and non-alphabetic languages,exclude,Vision/behaviour search hit without direct ocular or ophthalmic data in the repository metadata.,,,high
10.5061/dryad.37hb7,Data from: Contrast circulation time to assess right ventricular dysfunction in pulmonary embolism: a retrospective pilot study,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.37pvmcvzx,Data from: Bulk-seq results from peripheral blood mononuclear cells (PBMCs) of VKH patients and proteomic profiling of shAPOE-transduced HMC3 cells were employed to uncover potential downstream targets of APOE,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.38889,Data from: Unravelling species boundaries in the Aspergillus viridinutans complex (section Fumigati): opportunistic human and animal pathogens capable of interspecific hybridization,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3b65k44,Data from: Reverting ontogeny: rapid phenotypic plasticity of color vision in cichlid fish,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.3bk3j9kdn,Data from: Redirection of ambient light improves predator detection in a diurnal fish,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3cp54,"Data from: Analysis of potential ischemic effect of intravitreal bevacizumab on unaffected retina in treatment-naïve macular edema due to branch retinal vein occlusion: a prospective, interventional case-series",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.3d7c900,Data from: Soluble hexamethyl-substituted subphthalocyanine as a dopant-free hole transport material for planar perovskite solar cells,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3f863,Data from: Moving in groups: how density and unpredictable motion affect predation risk,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3ffbg79zd,Data and code from: Deep learning-based autonomous retinal vein cannulation in ex vivo porcine eyes,exclude,Exact Dryad DOI already cataloged; exclude duplicate record.,dryad_retinal_vein_cannulation,exact_duplicate,high
10.5061/dryad.3gq6t,Data from: Zinc supplementation inhibits complement activation in age-related macular degeneration,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.3h3k08d,Data from: Changes in subjective experience elicited by direct stimulation of the human orbitofrontal cortex,exclude,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",,,high
10.5061/dryad.3j9kd51h2,Data from: Association of venous outflow profiles and successful vessel reperfusion after thrombectomy,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3j9kd51ms,High within-clutch repeatability of eggshell phenotype in Barn Swallows (Hirundo rustica erythrogaster) despite less maculated last-laid eggs,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3j9kd51rz,Exploring the potential of biphenylamine and triphenylamine-based sensitizers for enhanced efficiency more than 8% in dye-sensitized solar cells,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3j9kd51tm,Preprocessed behavioral data from: Volitional spatial attention is lateralized in crows,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3j9kd51vs,Lightning data for Jupiter's stealth superstorms in 2021-2022,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3jn35,"Data from: Stress response, gut microbial diversity, and sexual signals correlate with social interactions",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3jt35,Data from: Sectional relationships in the Eurasian bearded iris (subgen. Iris) based on phylogenetic analyses of sequence data,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3q7p2,Data from: Co-expression of two subtypes of melatonin receptor on rat M1-type intrinsically photosensitive retinal ganglion cells,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.3r2280gwt,Data from: Choosing tight-binding models for accurate optoelectronic responses,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3r2280gxj,Data from: MFRP is a molecular hub that organizes the apical membrane of RPE cells by engaging in interactions with specific proteins and lipids,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.3td7f,Data from: Sharpening coarse-to-fine stereo vision by perceptual learning: asymmetric transfer across the spatial frequency spectrum,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3tx95x6n6,"Data from: Two genes, one culprit - a functional candidate validation of a SPATA7 deletion in dogs with day blindness/retinal degeneration",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.3tx95x6s3,Development of xanthone derivatives as effective broad-spectrum antimicrobials: Disrupting cell wall and inhibiting DNA synthesis,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.3vv31qq,Data from: Mutation in the intracellular chloride channel CLCC1 associated with autosomal recessive retinitis pigmentosa,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.3xsj3txbr,Microhabitat partitioning correlates with opsin gene expression in coral reef cardinalfishes (Apogonidae),include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.40br385,Data from: Always a price to pay: hibernation at low temperatures comes with a trade-off between energy savings and telomere damage,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.41ns1rnr9,Depth-dependent microskeletal features modify light harvesting in Turbinaria reniformis corals,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.41r04,Data from: Multi-segmented arthropods from the middle Cambrian of British Columbia (Canada),exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.43vk5fm,Data from: Deep-sea ostracod faunal dynamics in a marginal sea: Biotic response to oxygen variability and mid-Pleistocene global changes,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.444s1,Data from: UV wavelengths experienced during development affect larval newt visual sensitivity and predation efficiency,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.44j0zpcpj,Data from: Tunable anti-ambipolar vertical bilayer organic electrochemical transistor enable neuromorphic retinal pathway,exclude,Retina term is not sufficient here to establish a distinct reusable eye-data resource from the supplied metadata.,,,high
10.5061/dryad.44mt9,Data from: Are pollinators the agents of selection on flower colour and size in irises?,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.475bv7s,Data from: Predation selects for smaller eye size in a vertebrate: effects of environmental conditions and sex,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.47d7wm3dt,Influence of COVID‑19 on the prognosis and medication compliance of glaucoma patients in the Nile Delta Region,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.47d7wm3fc,Data for: Evolutionary history limits species' ability to match color sensitivity to available habitat light,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.47d7wm3kx,An ON-type direction selective ganglion cell in primate retina,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.47d7wm3mw,Animal histological images for in vivo maximum tolerated dose and toxicity,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.47d7wm3tz,Cone bipolar cell synapses generate transient versus sustained signals in parallel ON pathways of the mouse retina,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.47mq9,Data from: Fish prey change strategy with the direction of a threat,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.482tn,Data from: Geometry of wave-formed orbital ripples in coarse sand,exclude,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",,,high
