record_id,canonical_name,primary_category,modalities,catalog_version,catalog_search_cutoff,quantity_review_date,official_source_url,primary_quantity_status,primary_count,primary_unit,primary_scope,primary_exactness,primary_evidence_basis,primary_evidence_url,reported_quantity_count,additional_quantity_count,reported_quantities_json,counting_note
anterior_segment_smile,Anterior Segment Parameters After SMILE Surgery,tabular,tabular,0.5.0,2026-08-02,2026-08-02,https://data.mendeley.com/datasets/vkdxsnhkrm/1,primary_quantity_resolved,69,eyes,Source-described cohort: 69 eyes from 35 participants,exact,associated_publication,https://doi.org/10.21203/rs.3.rs-8639765/v1,2,1,"[{""count"": 69, ""evidence_basis"": ""associated_publication"", ""evidence_url"": ""https://doi.org/10.21203/rs.3.rs-8639765/v1"", ""exactness"": ""exact"", ""notes"": ""The current Mendeley v1 deposit does not expose an enumerable row count."", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Source-described cohort: 69 eyes from 35 participants"", ""unit"": ""eyes""}, {""count"": 35, ""evidence_basis"": ""associated_publication"", ""evidence_url"": ""https://doi.org/10.21203/rs.3.rs-8639765/v1"", ""exactness"": ""exact"", ""notes"": """", ""primary"": false, ""review_date"": ""2026-08-01"", ""scope"": ""Source-described cohort"", ""unit"": ""participants""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
anterior_uveitis_corneal_endothelium,Anterior Uveitis Corneal Endothelium Dataset,tabular,tabular,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.32054064.v1,primary_quantity_unresolved,,,,,,,0,0,[],Quantities with different units are not interchangeable. Related records and derivative components may overlap.
aod,AOD: Augmented Ocular Diseases Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases,primary_quantity_resolved,14813,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases,1,0,"[{""count"": 14813, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
aptos2019,APTOS 2019 Blindness Detection,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://www.kaggle.com/c/aptos2019-blindness-detection,primary_quantity_resolved,3662,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://www.kaggle.com/c/aptos2019-blindness-detection,1,0,"[{""count"": 3662, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://www.kaggle.com/c/aptos2019-blindness-detection"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
aptos_arcade_onh_masks,APTOS Vascular Arcade and Optic Nerve Head Masks,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://zenodo.org/records/20711325,primary_quantity_resolved,500,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://zenodo.org/records/20711325,1,0,"[{""count"": 500, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://zenodo.org/records/20711325"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
aqp4_optic_neuritis_oct_layers,AQP4 Optic Neuritis OCT Layers Dataset,oct,oct,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.3209908.v1,primary_quantity_unresolved,,,,,,,0,0,[],Quantities with different units are not interchangeable. Related records and derivative components may overlap.
aroi,AROI: Annotated Retinal OCT Images Database,oct,oct,0.5.0,2026-08-02,2026-08-02,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,primary_quantity_resolved,1136,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,1,0,"[{""count"": 1136, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
aroma_octa,AROMA Retinal OCTA Artifact Dataset,octa,octa,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.5281/zenodo.18258095,primary_quantity_resolved,281,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://doi.org/10.5281/zenodo.18258095,1,0,"[{""count"": 281, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://doi.org/10.5281/zenodo.18258095"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
as_oct_keratitis,AS-OCT Keratitis Segmentation Dataset,oct,oct,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.c.7036994.v1,primary_quantity_resolved,1168,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://doi.org/10.6084/m9.figshare.c.7036994.v1,1,0,"[{""count"": 1168, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://doi.org/10.6084/m9.figshare.c.7036994.v1"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
asd_eye_tracking,Autism Spectrum Disorder Eye-Tracking Dataset,eye_tracking,eye_tracking,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.20113592.v1,primary_quantity_unresolved,,,,,,,0,0,[],Quantities with different units are not interchangeable. Related records and derivative components may overlap.
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://data.mendeley.com/datasets/rgwpd4m785/3,primary_quantity_resolved,300,images,Four-class image collection,exact,official_source_description,https://data.mendeley.com/datasets/rgwpd4m785/3,1,0,"[{""count"": 300, ""evidence_basis"": ""official_source_description"", ""evidence_url"": ""https://data.mendeley.com/datasets/rgwpd4m785/3"", ""exactness"": ""exact"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Four-class image collection"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
beh,BEH: Bangladesh Eye Hospital Glaucoma Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7,primary_quantity_resolved,634,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7,1,0,"[{""count"": 634, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,text,text,0.5.0,2026-08-02,2026-08-02,https://belo-dataset.vercel.app/,primary_quantity_resolved,900,questions,Held-out multiple-choice benchmark,exact,official_source_description,https://belo-dataset.vercel.app/,1,0,"[{""count"": 900, ""evidence_basis"": ""official_source_description"", ""evidence_url"": ""https://belo-dataset.vercel.app/"", ""exactness"": ""exact"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Held-out multiple-choice benchmark"", ""unit"": ""questions""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
bidr,BiDR: Diabetic Retinopathy Diagnosis Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://www.kaggle.com/datasets/pkdarabi/diagnosis-of-diabetic-retinopathy,primary_quantity_resolved,35126,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://www.kaggle.com/datasets/pkdarabi/diagnosis-of-diabetic-retinopathy,1,0,"[{""count"": 35126, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://www.kaggle.com/datasets/pkdarabi/diagnosis-of-diabetic-retinopathy"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
binocular_fundus_images,Binocular Fundus Image Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.31981557.v1,primary_quantity_resolved,2885,image_pairs,"Source reports 2,885 paired binocular fundus samples.",exact,official_source_description,https://doi.org/10.6084/m9.figshare.31981557.v1,1,0,"[{""count"": 2885, ""evidence_basis"": ""official_source_description"", ""evidence_url"": ""https://doi.org/10.6084/m9.figshare.31981557.v1"", ""exactness"": ""exact"", ""notes"": ""Source-stated quantity; repository file count is separate."", ""primary"": true, ""review_date"": ""2026-08-02"", ""scope"": ""Source reports 2,885 paired binocular fundus samples."", ""unit"": ""image_pairs""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
birdshot_wide,Birdshot-WIDE Widefield Fundus Dataset,uwf_fundus,uwf_fundus,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.5281/zenodo.19474623,primary_quantity_resolved,6352,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://doi.org/10.5281/zenodo.19474623,1,0,"[{""count"": 6352, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://doi.org/10.5281/zenodo.19474623"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
bmrd,Bangladesh Multi-Disease Retinal Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://data.mendeley.com/datasets/959whsbc6v/1,primary_quantity_resolved,1786,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://data.mendeley.com/datasets/959whsbc6v/1,1,0,"[{""count"": 1786, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://data.mendeley.com/datasets/959whsbc6v/1"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
brasil_glaucoma_brg,Brazil Glaucoma (BrG) Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg,primary_quantity_resolved,2000,images,"Source article reports 2,000 fundus images from 1,000 volunteers.",exact,official_source_description,https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg,1,0,"[{""count"": 2000, ""evidence_basis"": ""official_source_description"", ""evidence_url"": ""https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg"", ""exactness"": ""exact"", ""notes"": ""Source-stated quantity; repository file count is separate."", ""primary"": true, ""review_date"": ""2026-08-02"", ""scope"": ""Source article reports 2,000 fundus images from 1,000 volunteers."", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
brset,BRSET: Brazilian Multilabel Ophthalmological Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,primary_quantity_resolved,16266,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,1,0,"[{""count"": 16266, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://physionet.org/content/brazilian-ophthalmological/1.0.1/"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
brset_mbrset_embeddings,Embedding-Based Representations for BRSET and mBRSET,tabular,tabular,0.5.0,2026-08-02,2026-08-02,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,primary_quantity_resolved,53188,embedding_vectors,Rows across six model-specific CSV files,exact,derived_from_reported_components,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,2,1,"[{""count"": 53188, ""evidence_basis"": ""derived_from_reported_components"", ""evidence_url"": ""https://physionet.org/content/embedding-brset-mbrset/1.0.0/"", ""exactness"": ""exact"", ""notes"": ""Two BRSET files contain 16,266 rows each and four mBRSET files contain 5,164 rows each."", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Rows across six model-specific CSV files"", ""unit"": ""embedding_vectors""}, {""count"": 21430, ""evidence_basis"": ""derived_from_reported_components"", ""evidence_url"": ""https://physionet.org/content/embedding-brset-mbrset/1.0.0/"", ""exactness"": ""exact"", ""notes"": ""This is 16,266 BRSET plus 5,164 mBRSET images; it is not a new image cohort."", ""primary"": false, ""review_date"": ""2026-08-01"", ""scope"": ""Distinct parent images represented by at least one embedding"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
cadis,CaDIS: Cataract Dataset for Image Segmentation,surgical_video,surgical_video,0.5.0,2026-08-02,2026-08-02,https://cataracts-semantic-segmentation2020.grand-challenge.org/,primary_quantity_resolved,4670,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://cataracts-semantic-segmentation2020.grand-challenge.org/,1,0,"[{""count"": 4670, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://cataracts-semantic-segmentation2020.grand-challenge.org/"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
casia2_as_oct_repeatability,CASIA2 Anterior-Segment OCT Repeatability Dataset,corneal_topography,corneal_topography|as_oct,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.29302664.v1,primary_quantity_unresolved,,,,,,,0,0,[],Quantities with different units are not interchangeable. Related records and derivative components may overlap.
casia2_keratometric_astigmatism,CASIA2 Keratometric Astigmatism Dataset,corneal_topography,corneal_topography|as_oct,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.26395018.v1,primary_quantity_unresolved,,,,,,,0,0,[],Quantities with different units are not interchangeable. Related records and derivative components may overlap.
casia_iris_v4,CASIA-IrisV4 Iris Image Database,iris_biometrics,iris_biometrics,0.5.0,2026-08-02,2026-08-02,https://hycasia.github.io/dataset/casia-irisv4/,primary_quantity_resolved,54601,images,Six CASIA-IrisV4 subsets,exact,official_source_description,https://hycasia.github.io/dataset/casia-irisv4/,1,0,"[{""count"": 54601, ""evidence_basis"": ""official_source_description"", ""evidence_url"": ""https://hycasia.github.io/dataset/casia-irisv4/"", ""exactness"": ""exact"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Six CASIA-IrisV4 subsets"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
cataract,Cataract Fundus Classification Dataset,fundus,fundus,0.5.0,2026-08-02,2026-08-02,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,primary_quantity_resolved,601,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,1,0,"[{""count"": 601, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://www.kaggle.com/datasets/jr2ngb/cataractdataset"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
cataract101_extended_labels,Cataract-101 Extended Labels,surgical_video,surgical_video,0.5.0,2026-08-02,2026-08-02,https://zenodo.org/records/4984167,primary_quantity_resolved,101,videos,Cataract-101 videos receiving extended labels,exact,official_source_description,https://zenodo.org/records/4984167,1,0,"[{""count"": 101, ""evidence_basis"": ""official_source_description"", ""evidence_url"": ""https://zenodo.org/records/4984167"", ""exactness"": ""exact"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Cataract-101 videos receiving extended labels"", ""unit"": ""videos""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
cataract1k,Cataract-1K: Large-Scale Cataract Surgery Video Dataset,surgical_video,surgical_video,0.5.0,2026-08-02,2026-08-02,https://www.synapse.org/#!Synapse:syn53404917,primary_quantity_resolved,1000,videos,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://www.synapse.org/#!Synapse:syn53404917,1,0,"[{""count"": 1000, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://www.synapse.org/#!Synapse:syn53404917"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""videos""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
cataract_101,Cataract-101: 101 Cataract Surgery Videos with Phase Annotations,surgical_video,surgical_video,0.5.0,2026-08-02,2026-08-02,https://ftp.itec.aau.at/datasets/ovid/cat-101/,primary_quantity_resolved,101,videos,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://ftp.itec.aau.at/datasets/ovid/cat-101/,1,0,"[{""count"": 101, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://ftp.itec.aau.at/datasets/ovid/cat-101/"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""videos""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
cataract_iol_biometry_outcomes,Cataract IOL Biometry and Outcomes Dataset,tabular,tabular|biometry,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.22736687.v1,primary_quantity_unresolved,,,,,,,0,0,[],Quantities with different units are not interchangeable. Related records and derivative components may overlap.
cataract_lenstar_biometric_symmetry,Cataract LenStar Biometric Symmetry Dataset,tabular,tabular|biometry,0.5.0,2026-08-02,2026-08-02,https://doi.org/10.6084/m9.figshare.32833895.v1,primary_quantity_unresolved,,,,,,,0,0,[],Quantities with different units are not interchangeable. Related records and derivative components may overlap.
