record_id,canonical_name,verification_date,verification_level,official_source_checked,preferred_route_checked,preferred_route_type,resolved_destination,dataset_specific_page_confirmed_by_curator,current_route_visible,authentication_state,access_friction,availability_status,route_check_result,automated_probe_status,automated_probe_http_status,failure_or_limitation,curator,author_source_checked,source_terms_evidence_url,dataset_files_transferred_for_this_row,environment
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,2026-07-21,route_confirmed,https://figshare.com/s/c2d31f850af14c5b5232,https://figshare.com/s/c2d31f850af14c5b5232,official_repository,https://figshare.com/s/c2d31f850af14c5b5232,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,ok,202,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://figshare.com/s/c2d31f850af14c5b5232,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
bmrd,Bangladesh Multi-Disease Retinal Dataset,2026-07-21,route_confirmed,https://data.mendeley.com/datasets/959whsbc6v/1,https://data.mendeley.com/datasets/959whsbc6v/1,official_repository,https://data.mendeley.com/datasets/959whsbc6v/1,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,platform_or_browser_route,403,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://data.mendeley.com/datasets/959whsbc6v/1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
brasil_glaucoma_brg,Brazil Glaucoma (BrG) Dataset,2026-08-02,route_confirmed,https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg,https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg,official_repository,https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,200,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://www.kaggle.com/datasets/clerimar/brasil-glaucoma-brg,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
brset,BRSET: Brazilian Multilabel Ophthalmological Dataset,2026-07-21,route_confirmed,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,data_platform,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,true,true,user_authentication_required,controlled_or_manual,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
brset_mbrset_embeddings,Embedding-Based Representations for BRSET and mBRSET,2026-07-21,route_confirmed,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,data_platform,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,true,true,user_clickthrough_required,controlled_or_manual,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cadis,CaDIS: Cataract Dataset for Image Segmentation,2026-07-21,route_confirmed,https://cataracts-semantic-segmentation2020.grand-challenge.org/,https://cataracts-semantic-segmentation2020.grand-challenge.org/,challenge_platform,https://cataracts-semantic-segmentation2020.grand-challenge.org/,true,true,user_authentication_required,self_service_clickthrough,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://cataracts-semantic-segmentation2020.grand-challenge.org/,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
casia2_as_oct_repeatability,CASIA2 Anterior-Segment OCT Repeatability Dataset,2026-08-02,route_confirmed,https://doi.org/10.6084/m9.figshare.29302664.v1,https://doi.org/10.6084/m9.figshare.29302664.v1,official_repository,https://figshare.com/articles/dataset/Minimal_dataset_for_the_Casia_2_anterior_segment_OCT_repeatability_study/29302664/1,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,202,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.29302664.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
casia2_keratometric_astigmatism,CASIA2 Keratometric Astigmatism Dataset,2026-08-02,route_confirmed,https://doi.org/10.6084/m9.figshare.26395018.v1,https://doi.org/10.6084/m9.figshare.26395018.v1,official_repository,https://figshare.com/articles/dataset/Minimal_dataset_supporting_the_results_of_the_PlosONE_paper_Evaluation_of_keratometric_and_total_corneal_astigmatism_measurements_from_optical_biometers/26395018/1,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,202,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.26395018.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
casia_iris_v4,CASIA-IrisV4 Iris Image Database,2026-07-21,route_confirmed,https://hycasia.github.io/dataset/casia-irisv4/,https://hycasia.github.io/dataset/casia-irisv4/,documented_manual_route,https://hycasia.github.io/dataset/casia-irisv4/,true,true,unauthenticated,anonymous_direct,available,acquisition_route_verified,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://hycasia.github.io/dataset/casia-irisv4/,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cataract,Cataract Fundus Classification Dataset,2026-07-21,route_confirmed,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,data_platform,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,true,true,api_token_required_not_stored,self_service_authenticated,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cataract101_extended_labels,Cataract-101 Extended Labels,2026-07-21,route_confirmed,https://zenodo.org/records/4984167,https://zenodo.org/records/4984167,official_repository,https://zenodo.org/records/4984167,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,platform_or_browser_route,403,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://zenodo.org/records/4984167,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cataract1k,Cataract-1K: Large-Scale Cataract Surgery Video Dataset,2026-07-21,route_confirmed,https://www.synapse.org/#!Synapse:syn53404917,https://www.synapse.org/#!Synapse:syn53404917,documented_manual_route,https://www.synapse.org/#!Synapse:syn53404917,true,true,user_authentication_required,controlled_or_manual,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://www.synapse.org/#!Synapse:syn53404917,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cataract_101,Cataract-101: 101 Cataract Surgery Videos with Phase Annotations,2026-07-21,route_confirmed,https://ftp.itec.aau.at/datasets/ovid/cat-101/,https://ftp.itec.aau.at/datasets/ovid/cat-101/,documented_manual_route,https://ftp.itec.aau.at/datasets/ovid/cat-101/,true,true,unauthenticated,anonymous_direct,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://ftp.itec.aau.at/datasets/ovid/cat-101/,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cataract_iol_biometry_outcomes,Cataract IOL Biometry and Outcomes Dataset,2026-08-02,route_confirmed,https://doi.org/10.6084/m9.figshare.22736687.v1,https://doi.org/10.6084/m9.figshare.22736687.v1,official_repository,https://figshare.com/articles/dataset/Minimal_dataset_for_PONE-D-2304227_This_dataset_includes_measurements_of_the_IOLMaster_700_biometer_and_Casia2_tomographer_before_cataract_surgery_and_Casia2_tomographer_after_cataract_surgery_together_with_the_power_of_the_implanted_lens_a/22736687/1,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,202,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.22736687.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cataract_lenstar_biometric_symmetry,Cataract LenStar Biometric Symmetry Dataset,2026-08-02,route_confirmed,https://doi.org/10.6084/m9.figshare.32833895.v1,https://doi.org/10.6084/m9.figshare.32833895.v1,official_repository,https://figshare.com/articles/dataset/Minimal_dataset_for_PONE-D-25-51348R1_Lateral_similarity_and_symmetry_of_biometric_data_from_the_LenStar_in_a_population_with_cataract/32833895/1,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,202,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.32833895.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cataract_lmm,Cataract-LMM: Large-Scale Multi-Source Multi-Task Cataract Surgery Benchmark,2026-07-21,route_confirmed,https://huggingface.co/datasets/mjahmadi/Cataract-LMM,https://huggingface.co/datasets/mjahmadi/Cataract-LMM,data_platform,https://huggingface.co/datasets/mjahmadi/Cataract-LMM,true,true,api_token_required_not_stored,self_service_authenticated,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://huggingface.co/datasets/mjahmadi/Cataract-LMM,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cataracts2017,CATARACTS 2017: Surgical Tool Detection Challenge,2026-07-21,route_confirmed,https://ieee-dataport.org/open-access/cataracts,https://ieee-dataport.org/open-access/cataracts,documented_manual_route,https://ieee-dataport.org/open-access/cataracts,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://ieee-dataport.org/open-access/cataracts,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
cavri,CAVRI: Computer Analysis of VitreoRetinal Interface Dataset,2026-07-21,route_confirmed,https://dsp.put.poznan.pl/cavri_database-191/,https://dsp.put.poznan.pl/cavri_database-191/,documented_manual_route,https://dsp.put.poznan.pl/cavri_database-191/,true,true,author_correspondence_required,author_contact,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://dsp.put.poznan.pl/cavri_database-191/,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
central_retinal_vessel_trunk_oag,Central Retinal Vessel Trunk Open-Angle Glaucoma Dataset,2026-08-02,route_confirmed,https://doi.org/10.1371/journal.pone.0158443.s001,https://doi.org/10.1371/journal.pone.0158443.s001,official_repository,https://storage.googleapis.com/plos-corpus-prod/10.1371/journal.pone.0158443/1/pone.0158443.s001.csv,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,200,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.1371/journal.pone.0158443.s001,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
chaksu,CHAKSU: Multi-Device Glaucoma Fundus Dataset,2026-07-21,route_confirmed,https://doi.org/10.6084/m9.figshare.20123135,https://doi.org/10.6084/m9.figshare.20123135,official_repository,https://figshare.com/articles/dataset/Ch_k_u_A_glaucoma_specific_fundus_image_database/20123135,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,ok,202,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.20123135,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
chase_db1,CHASE_DB1: Child Heart and Health Study in England,2026-07-21,route_confirmed,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,documented_manual_route,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,true,true,unauthenticated,anonymous_direct,available,acquisition_route_verified,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
